longname,Poverty %,Household Income < $50k %,Household Income $50k - $100k %,Household Income > $100k %,Individual Income < $50k %,Individual Income $50k - $100k %,Individual Income > $100k %
"DE-00, USA",0.11435095363969519,0.3407531415886244,0.31357895758822557,0.34566790082315,0.6269938225435607,0.25817197152275684,0.11483420593368238
"ID-02, USA",0.12343395315139062,0.395552765124348,0.33449518478099016,0.26995205009466183,0.7134968510041296,0.2032747867784379,0.08322836221743238
"ID-01, USA",0.10393359717032677,0.37234174962500965,0.34826827745244027,0.27938997292255013,0.7064577280829452,0.214290936042403,0.07925133587465191
"WV-02, USA",0.1444236712842872,0.44915373925226254,0.30768187826951543,0.24316438247822206,0.717072087014477,0.21107675546046886,0.0718511575250541
"WV-01, USA",0.19291712477746878,0.5359393715507494,0.2831939640214483,0.18086666442780222,0.7687982274713713,0.17416222776616547,0.057039544762463285
"SD-00, USA",0.1245828815893574,0.3908189913210461,0.3341990115073501,0.2749819971716038,0.6882053793238964,0.23532943563416106,0.07646518504194263
"UT-01, USA",0.0876582245682941,0.2943304625733729,0.3368883057751897,0.3687812316514374,0.6497293975314017,0.2411759330558744,0.10909466941272382
"UT-02, USA",0.1006279599071067,0.3351914730953987,0.336961646951516,0.32784687995308526,0.6864699840565938,0.22797879593161915,0.08555122001178703
"UT-03, USA",0.09853467243031677,0.29699873876175376,0.311107190259856,0.3918940709783901,0.6609920469811161,0.2092795710492571,0.1297283819696269
"UT-04, USA",0.06322155188535959,0.2292756039250682,0.3464145546522286,0.4243098414227031,0.6206837050909553,0.27182396849980134,0.10749232640924336
"IA-04, USA",0.11624933153594408,0.3965299285759434,0.33640414638771254,0.2670659250363441,0.6952872678589935,0.2369176193558581,0.06779511278514841
"IA-02, USA",0.10329754253797513,0.38263811844826684,0.3391611937638103,0.27820068778792284,0.6754062878438142,0.24903320554250885,0.07556050661367697
"IA-01, USA",0.1185028243086578,0.3848978474492541,0.3213817103983839,0.2937204421523619,0.6672088355822774,0.2459607273176007,0.08683043710012187
"IA-03, USA",0.1025840355332236,0.3498053896475513,0.32390687791876005,0.32628773243368864,0.6262655623456899,0.27112539179463835,0.10260904585967186
"AZ-09, USA",0.1147919817105351,0.3696284489154349,0.3400739476038351,0.29029760348072997,0.693354918927421,0.2259522411471439,0.08069283992543513
"AZ-05, USA",0.06275834830976819,0.23963000586054337,0.30741363069573924,0.4529563634437175,0.5662763120629187,0.27260552724233417,0.16111816069474713
"AZ-03, USA",0.21577734824791106,0.4613547401038549,0.33711243829276966,0.2015328216033754,0.7739068653432858,0.18053361871470677,0.04555951594200741
"AZ-02, USA",0.17826395705807468,0.44793834416777056,0.319191038371632,0.23287061746059753,0.7356782545076915,0.1977191114371034,0.06660263405520504
"AZ-06, USA",0.10547881262433914,0.3757169503502279,0.31789142763132316,0.30639162201844905,0.6522307476538474,0.23386637022170756,0.11390288212444517
"AZ-04, USA",0.13588043351959161,0.3640872472508099,0.3323390106049861,0.3035737421442041,0.6552688368481562,0.24169778780413342,0.10303337534771059
"AZ-07, USA",0.20432781538099395,0.502435452847269,0.30611261200476486,0.1914519351479661,0.7833322899960212,0.17079905139394533,0.04586865861003353
"AZ-01, USA",0.09086126134731605,0.2991935141802153,0.27863327272179966,0.422173213097985,0.5468501683096807,0.2534845268587176,0.19966530483160166
"AZ-08, USA",0.10493416538305794,0.357499741563355,0.31812896779893146,0.32437129063771347,0.6480496301769982,0.24565291833019257,0.10629745149280904
"OK-01, USA",0.13380872726105753,0.4029805209545624,0.3111517305318945,0.28586774851354324,0.6691001362006854,0.22992703035671716,0.10097283344259725
"OK-03, USA",0.1786190174455408,0.47982034103333576,0.31359440874660344,0.20658525022006072,0.7424254881367305,0.19707742750118118,0.06049708436208839
"OK-02, USA",0.18322548566080768,0.5146163683971864,0.30140206257531116,0.18398156902750235,0.7666085711753337,0.18206098373447177,0.05133044509019454
"OK-05, USA",0.12692248520260557,0.38256461530132535,0.3139466782149852,0.30348870648368953,0.6455792678823428,0.245287414258848,0.10913331785880925
"OK-04, USA",0.13827616297097847,0.4167106210417395,0.32791964426032816,0.2553697346979323,0.6964961906621759,0.22804163428006416,0.07546217505775986
"VA-05, USA",0.12737566464065736,0.40823331554580355,0.30395878945181254,0.28780789500238396,0.6884871895764536,0.21799136319060927,0.09352144723293727
"VA-04, USA",0.13967656572908027,0.41157467229070666,0.31848405335889857,0.26994127435039483,0.687836162345115,0.23254459575982353,0.07961924189506148
"OH-06, USA",0.14674236360205603,0.4737519761208586,0.3184157101767512,0.20783231370239008,0.74420982730503,0.20321617646956508,0.05257399622540481
"OH-04, USA",0.1009290940497853,0.36606592720162284,0.3234245809737005,0.31050949182467663,0.666020479137149,0.23569534882700585,0.09828417203584518
"OH-09, USA",0.14274011287820737,0.4337159707003738,0.31744536971216564,0.24883865958746057,0.6991799590596672,0.2282287771396306,0.07259126380070198
"OH-10, USA",0.1464844472436078,0.42943906871015447,0.30969539256410045,0.2608655387257451,0.6853624211213638,0.22841372822756195,0.0862238506510744
"OH-11, USA",0.22519845763661994,0.5441197963105665,0.2633760095359045,0.19250419415352896,0.7262480736084512,0.20055675668805173,0.07319516970349713
