longname,Population,PW Density (r=1km),AW Density,Area,Compactness
"New York city, New York, USA",8804167.0,19073.639630634236,10014.280124032719,879.1612468350436,0.17734323931472723
"Los Angeles city, California, USA",3898338.0,5725.811739290638,3167.815099258353,1230.6078094370712,0.06382344388527504
"Chicago city, Illinois, USA",2744507.0,6850.228131267907,4575.469191833533,599.8307244420961,0.1355545378921218
"Houston city, Texas, USA",2305349.0,2519.360579587012,1325.413792010122,1739.3428481709916,0.003734958342143858
"Phoenix city, Arizona, USA",1608183.0,2291.1837238097446,1195.3351310012233,1345.3825277041524,0.06300584949382128
"Philadelphia city, Pennsylvania, USA",1604252.0,7197.1155847688715,4339.446961592202,369.69042695970137,0.2951199001354757
"San Antonio city, Texas, USA",1434384.0,1846.8780455167587,1097.2648001524362,1307.235955988682,0.02695981549792857
"San Diego city, California, USA",1387038.0,3325.8099345869996,1572.8163807671028,881.881710389808,0.08853554183249471
"Dallas city, Texas, USA",1305241.0,2518.7374225636245,1314.0260223105583,993.3144228794564,0.0599282163053197
"San Jose city, California, USA",1013014.0,3682.5155111983745,2163.4504987198407,468.23997156367653,0.030960521844339978
"Austin city, Texas, USA",962166.0,2057.245121636422,1135.1493532991449,847.6118117881192,0.016340689574280726
"Jacksonville city, Florida, USA",949605.0,1224.0116012287483,441.45901596466376,2151.0603830911687,0.4082169512313373
"Fort Worth city, Texas, USA",918715.0,1718.1054759363712,991.1597468021428,926.9091112347157,0.01970622913578996
"Columbus city, Ohio, USA",905409.0,2221.808205205469,1543.1458625389932,586.7293701648515,0.008683445034356276
"Indianapolis city (balance), Indiana, USA",887757.0,1438.8573251402588,931.6788676549476,952.8572889438828,0.18497383882984791
"Charlotte city, North Carolina, USA",875026.0,1402.9744761689328,1082.6916813636487,808.1949968414885,0.06576298648939509
"San Francisco city, California, USA",873661.0,10164.018459704692,7132.366578698462,122.492442075156,0.34798293358703464
"Seattle city, Washington, USA",737008.0,4836.4982240401105,2848.209693697907,258.76184665431805,0.26140352028562613
