longname,Commute Car %,Commute Bike %,Commute Walk %,Commute Transit %,Commute Work From Home %,Commute Time < 15 min %,Commute Time 15 - 29 min %,Commute Time 30 - 59 min %,Commute Time > 60 min %,Households With no Vehicle %,Households With 1+ Vehicles %,Households With 2+ Vehicles %,Traffic Fatalities Per Capita Per Year,Pedestrian/Cyclist Fatalities Per Capita Per Year,Total Traffic Fatalities In Last Decade,Total Pedestrian/Cyclist Fatalities In Last Decade
"New York-Jersey City-Newark [Urban Area], NY-NJ, USA",0.533001885133066,0.007887407746549403,0.05688948675535607,0.28645894740760214,0.10502160620749965,0.15257797689818148,0.264111789275798,0.3675420395303629,0.2157681942956576,0.31373044115644017,0.6862695588435598,0.3596014481483832,3.8998377933095235e-05,1.7471026228210826e-05,7576.0,3394.0
"Los Angeles-Long Beach-Anaheim [Urban Area], CA, USA",0.8054525439499742,0.008423421672129474,0.023330494217929234,0.042974630002500215,0.10805864208624572,0.1742995888526051,0.3408394371291003,0.3591970827095857,0.12566389130870878,0.07881319101895908,0.9211868089810409,0.5999294644027159,6.561864242791919e-05,2.885422495803022e-05,8030.0,3531.0
"Chicago [Urban Area], IL-IN, USA",0.7309693618415618,0.007066479860458676,0.029397433080353016,0.11004910356581393,0.11215189530259155,0.17837399724010347,0.3092294906798103,0.3795074450526213,0.1328890670274648,0.12727348285706572,0.8727265171429344,0.5103316770901055,5.53291113462041e-05,1.561392596139232e-05,4798.0,1354.0
"Miami-Fort Lauderdale [Urban Area], FL, USA",0.8465207470535441,0.00647588585954042,0.014479718447481757,0.02596992567078784,0.09230526038257045,0.160927815483194,0.35856681647928057,0.3796601490918419,0.10084521894568357,0.07760419695649322,0.9223958030435068,0.5264619123783592,0.00010800454527355064,3.75646521723821e-05,6564.0,2283.0
"Houston [Urban Area], TX, USA",0.8633363264037304,0.003341101899956164,0.012044584755062652,0.02067464246690966,0.08664386247340497,0.16772333749121587,0.3399770526388994,0.39380294777862246,0.09849666209126239,0.057882102555081597,0.9421178974449185,0.6184868211849653,8.206950453355427e-05,2.547161350115101e-05,4804.0,1491.0
"Dallas-Fort Worth-Arlington [Urban Area], TX, USA",0.856288931286133,0.00221961668111766,0.012895507747200071,0.012684725439720984,0.10651119891387274,0.19779863372011755,0.37093496640523704,0.354489212541491,0.07677718733315435,0.051917478864034694,0.9480825211359653,0.6136388397065885,8.682297010966175e-05,2.29922994986004e-05,4977.0,1318.0
"Philadelphia [Urban Area], PA-NJ-DE-MD, USA",0.747642588384626,0.007025869159057247,0.03401149744114634,0.0850154630559889,0.11660447678863266,0.20506788593153846,0.33926184871186,0.3484313353736937,0.10723892998290792,0.13245737123975262,0.8675426287602475,0.5065754117232899,6.516710921898659e-05,2.2014966314819286e-05,3712.0,1254.0
"Washington-Arlington [Urban Area], DC-VA-MD, USA",0.667479322930622,0.00985912371248864,0.03167465422219628,0.118033355622062,0.16116917981560142,0.13495041814902,0.3021308016756317,0.4180065920027764,0.14491218817257198,0.11525365895704039,0.8847463410429597,0.5286452840425802,4.504557603552165e-05,1.5865473155368203e-05,2331.0,821.0
"Atlanta [Urban Area], GA, USA",0.8049910380349606,0.002584433904495127,0.012481342232467198,0.02788806306117312,0.1402831966992874,0.16039088634662246,0.33181531864656394,0.3796080144977319,0.12818578050908175,0.05937279082215586,0.9406272091778441,0.6009869766218712,9.285376092736944e-05,2.6923990135338055e-05,4642.0,1346.0
"Boston [Urban Area], MA-NH, USA",0.6754796416183463,0.010839975028463534,0.054186728130204295,0.11881025919061965,0.12946441797069766,0.19401873283726484,0.3052264082095294,0.36596132472814247,0.13479353422506338,0.1399001740956108,0.8600998259043893,0.4992589159374721,3.8794991064600735e-05,1.1159265076817507e-05,1700.0,489.0
"Phoenix-Mesa-Scottsdale [Urban Area], AZ, USA",0.8127279486561197,0.009397749192828946,0.015063813526591615,0.01609643357971664,0.1343889670758072,0.21519109269756975,0.4018802337970042,0.31765645108314744,0.06527222242227855,0.05506725496111931,0.9449327450388807,0.5901750683852165,9.357915234540138e-05,3.4277985661591535e-05,3721.0,1363.0
"Detroit [Urban Area], MI, USA",0.8663236995455553,0.0027214601600169344,0.013931282210230943,0.013810507277492228,0.09494267112888524,0.2141414994816128,0.39752308617062365,0.3295891333759077,0.05874628097185586,0.08702093379106213,0.9129790662089379,0.5425392739877256,7.717990198284833e-05,2.3590837964568732e-05,2915.0,891.0
