longname,Population (2010),Population Change (2010-2020),PW Density (r=1km) (2010),PW Density (r=1km) Change (2010-2020),AW Density (2010),White % (2010),Hispanic % (2010),Black % (2010),Asian % (2010),Native % (2010),Hawaiian / PI % (2010),Other / Mixed % (2010),Racial Homogeneity (2010) %,Racial Homogeneity Change (2010-2020) %,Segregation (2010) %,Segregation Change (2010-2020) %,Mean Local Segregation (2010) %,Mean Local Segregation Change (2010-2020) %,Housing Units per Adult (2010),Vacancy % (2010),PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020),geoid
"Los Angeles County, California, USA",9816767.0,0.01966074981712411,4554.18367142593,0.003039735422636833,926.2245702056224,0.2777912524561294,0.4775182094064166,0.08301796304221135,0.13502714284651962,0.001923036372361695,0.0022881260194929755,0.022434269856868354,0.5395042102956247,-0.03217845838717359,0.3116293718589373,-0.04139431424958273,0.14496445243892064,-0.023056603782623017,0.4642642173643836,0.05876180726545533,6263.777225171774,-0.007662770265867992,5224.916803711631,-0.003193126718472317,4035.1373316452305,0.004731908308120669,3492.943208667431,0.008938793240391695,06037
"Cook County, Illinois, USA",5193667.0,0.015383350530559623,4488.161448333631,0.04607933271522343,2094.2582552839945,0.43855699643431123,0.2396566818781412,0.2436991050831715,0.061357996190360295,0.001286566890022021,0.00020082150049281173,0.01524183202350093,0.6337239427028267,-0.059678101802831396,0.4667347714131363,-0.06661221201245643,0.23244236256288148,-0.030201939193882282,0.549428429705752,0.09685068383890733,6232.133215787047,0.042790421997660165,5282.733310913238,0.04733424942851868,3866.527852951945,0.03785261498520805,3416.5077102226232,0.02891084083247045,17031
"Harris County, Texas, USA",4092457.0,0.1560275404237601,2009.3097835031622,0.058310155560790396,892.1842428456961,0.32978794890208984,0.40844412048801,0.18430444107293004,0.061052077028543,0.001991468694722999,0.000552235490806623,0.013867708322897469,0.5269456102264467,-0.053101453548359545,0.31084444423006014,-0.06564666455173429,0.16506212555285765,-0.03174287781593352,0.5424645336481219,0.10154236414868849,3841.1358963952434,0.011018074294710564,2526.3617026230563,0.03756929991528837,1720.354732624525,0.06984628172385768,1519.8357016255513,0.0805557498859723,48201
"Maricopa County, Arizona, USA",3817117.0,0.1580920888723086,1795.6688254961098,0.07850911477442857,159.7575340580345,0.5868447312461211,0.2957051093796706,0.04649844372074526,0.033612016608346035,0.015522709940512696,0.0017612769008652342,0.020055712203739105,0.583023404981834,-0.06725070509374109,0.26113684562730805,-0.048391458462819836,0.08404699306095079,-0.012081986737516481,0.5828721198780032,0.13793141354446004,2813.8395290012813,0.04995460057397664,2116.291334905345,0.07435639281830311,1553.9137617380807,0.08141220072739384,1366.5111615322692,0.07970533899602893,04013
"San Diego County, California, USA",3094605.0,0.06571468733489412,2612.2477702225447,0.029276188286795082,280.6444049165859,0.48454455415149916,0.3203248879905513,0.04736630361548566,0.10600448199366316,0.004554054556235772,0.004363723318484912,0.03284199437408005,0.5060076325120363,-0.048598242998437347,0.2377136673190915,-0.036664453373125405,0.09688787456697195,-0.01428695801238887,0.49098799425762796,0.06623036064413135,4582.6366745658315,0.029002203983797964,3182.8388442454716,0.01631748243577279,2174.0722011924645,0.032386199880750866,1749.2754290938553,0.042305472071953364,06073
"Orange County, California, USA",3009566.0,0.05871843315614278,3218.129278748988,0.0051510587093497,1455.5546295188049,0.44123438396100967,0.33657112022132096,0.014619383658640482,0.17691554197515522,0.002065081809137929,0.0027764800639029016,0.025818008310832856,0.5195708084801357,-0.048249879980125865,0.271914773704503,-0.03589990538823598,0.14124862045482198,-0.014596305239719998,0.4610362099344697,0.052938498930752254,4816.8387022724855,0.0034380548240014294,3766.0907470183765,-0.009606874733274082,2857.872566370841,0.0028241752020992526,2561.210243746851,0.0075871968679488925,06059
"Kings County, New York, USA",2504700.0,0.09237593324549846,17431.02096749688,0.08989204352155103,12191.88487181248,0.3566518944384557,0.19814149399129635,0.31902662993572084,0.10385635006188366,0.0018517187687148162,0.0002527248772308061,0.02021918792669781,0.5564149302253594,-0.09216475942127028,0.3844543911482973,-0.10179060349743113,0.26348643371400143,-0.06032298292416627,0.5235954985599286,0.08336032696283677,20849.42331042184,0.07543355784731676,19315.615082912216,0.08104641102019561,15603.240559805763,0.09492272770932271,13865.681597231373,0.09104721562310003,36047
"Miami-Dade County, Florida, USA",2495812.0,0.08223335732018278,3287.9280568939503,0.07326576744878055,477.3749725713826,0.15349313169421414,0.6505726392853308,0.17054409546872923,0.014358453280936224,0.0008069518056648498,0.00018751412365995517,0.01003721434146482,0.6553586757168708,-0.01177427334803538,0.34191671846475463,-0.07046589325924124,0.13518316654560508,-0.04006008139807145,0.5068893408282797,0.1229185466346718,5129.115979793769,0.10068935578835009,3916.211386225449,0.08365771448059307,2775.659149234632,0.05324297083017251,2293.3316125772076,0.04619392544002741,12086
"Dallas County, Texas, USA",2368291.0,0.10355484186698341,2055.5694992187146,0.05169439345331557,1006.4579949240631,0.3313743961362856,0.3825340720376001,0.2190419167239161,0.04974515378388889,0.003095058842008858,0.00036904248675521717,0.013840359989545204,0.5345151986101782,-0.0358844189617224,0.3284741440402231,-0.03780380444003706,0.183605865370486,-0.022036941728447168,0.5501400534075773,0.09218142521109643,3549.9991159615147,0.013891890162092368,2557.2544266361156,0.02641090009175614,1703.3594183605715,0.07177006416850465,1456.679262944834,0.08328681946502832,48113
"Riverside County, California, USA",2189641.0,0.10437510075852617,1658.769933967276,0.05084053082704395,115.76988639505574,0.39689976576068864,0.45452976081467233,0.05974632371242592,0.05750760056100521,0.0049921425475683,0.0026712141396694707,0.02365319246397012,0.5031194946296856,-0.024884975371002538,0.2091872316468635,-0.02896289006957778,0.09343037783279128,-0.012700826097266707,0.5088175909649558,0.14067763077161954,3088.120059164284,-0.018355768792754912,2086.8176506174627,0.02302900006874418,1310.613480624467,0.06871488817608751,1005.8239945791055,0.08144139743300069,06065
"Queens County, New York, USA",2230628.0,0.07838510051877767,13435.848752983986,0.043628460547442224,6995.847851768706,0.27649702236320894,0.27514852319615823,0.17742985383488416,0.22787887536604043,0.0029094945459305632,0.0004904448433355988,0.03964578585044212,0.4646257330470133,-0.03314177423511894,0.2982231864678357,-0.03872983481464909,0.24165557154349906,-0.038115392544080834,0.4718567383713567,0.06530871445859644,17933.975293126714,0.03677827865687278,15535.381930959906,0.040646945577067745,11180.999428747447,0.058563925678189195,9512.717179308702,0.07693616698320181,36081
"King County, Washington, USA",1931237.0,0.17518875207962564,2131.0436452389326,0.2808860946933906,340.2207953123699,0.647919442305631,0.0892578176578017,0.060233932966280164,0.14499981100196402,0.006695708501856582,0.007284450328986033,0.043608837237480436,0.5297681886147512,-0.09745721392322992,0.1385331417176553,-0.017501316162206668,0.06087446987344268,-0.0006639188689930992,0.5603876033858304,0.07206406426178777,3288.465843918266,0.28795060908830034,2544.174356437799,0.28265683571578426,1793.4939271078167,0.264677559380186,1436.4161710757978,0.22339191148451315,53033
