longname,Housing Units per Adult,Vacancy %,Renter %,Rent/Income < 20%,Rent/Income 20%-40%,Rent/Income > 40%,1BR Rent < $750 %,1BR Rent $750 - $1500 %,1BR Rent > $1500 %,2BR Rent < $750 %,2BR Rent $750 - $1500 %,2BR Rent > $1500 %,% units built pre-1970,% units built in 1970s,% units built in 1980s,% units built in 1990s,% units built in 2000s,% units built in 2010s+
"California, USA",0.46655936240647405,0.06329884772672952,0.4450180341857487,0.22068862697777406,0.40173863598446247,0.37757273703776345,0.13125820798388046,0.398241753914531,0.47050003810158847,0.05867826297560323,0.3148134530401015,0.6265082839842953,0.40817767599235977,0.17376298841340176,0.1499827373387586,0.10801065331358191,0.10934630107439103,0.050719643867506985
"Texas, USA",0.5293742410097342,0.09440708272559285,0.37584032037858817,0.25888052779654563,0.41566859327097283,0.3254508789324815,0.20121198119589265,0.6877566368463672,0.11103138195774022,0.1433944737190261,0.6392004137111649,0.21740511256980896,0.22309026571740584,0.14372363013542866,0.1572641293296317,0.14640119517136632,0.18413544846393115,0.14538533118223618
"Florida, USA",0.5685979798595052,0.13514083785513792,0.33550824407250623,0.19299893968193108,0.41069526688624886,0.39630579343182004,0.184331801728447,0.6307251914975102,0.1849430067740429,0.0916194956922902,0.5820932799182447,0.32628722438946506,0.19551922129392607,0.17061775193220835,0.19861319106547623,0.16406695095546778,0.18432818793499492,0.08685469681792655
"New York, USA",0.527022176002576,0.0905106897676281,0.45610270750793863,0.2612073977377718,0.37801437058924414,0.36077823167298423,0.21759002234911207,0.37590257778441993,0.406507399866468,0.15599604005334514,0.3931939184404507,0.45081004150620413,0.6636635080781318,0.09836050755055732,0.0757768327564283,0.062354044880428824,0.061253164954589295,0.0385919417798644
"Pennsylvania, USA",0.5536021804997108,0.09180043860796927,0.3082582855108403,0.28915405981555836,0.3887936407484718,0.3220522994359698,0.39254801184922783,0.49304995384171263,0.11440203430905957,0.21255345471630935,0.6087478975538014,0.17869864772988933,0.5635665884312807,0.12506125026068968,0.09619162774082857,0.09402246593305649,0.0802084042812784,0.04094966335286611
"Illinois, USA",0.5415095085082707,0.0786466607891043,0.33483042349438075,0.28270633537010803,0.39532772673696387,0.3219659378929281,0.32656757439242506,0.48702010041671584,0.18641232519085904,0.18018187650302664,0.590550608336862,0.22926751516011132,0.5077985013158116,0.1439288733127866,0.09093408675385597,0.11095654364363502,0.10891616152095315,0.03746583345295765
"Ohio, USA",0.5687320065959613,0.08241887098881102,0.3340442760595878,0.3093740028190788,0.39440550679715,0.29622049038377113,0.5940214922287844,0.3668088263249435,0.03916968144627218,0.2984600659378363,0.6305256148010986,0.07101431926106515,0.511468544214578,0.14143381309664732,0.09094093292255716,0.11720993378927316,0.09456086745030041,0.044385908526643834
"Georgia, USA",0.536101699204047,0.08822839969401841,0.35479633006589134,0.26206740326027256,0.3992682762957913,0.3386643204439361,0.2896579327118085,0.5626805212598721,0.14766154602831943,0.2254669479904443,0.6037226453009533,0.17081040670860234,0.20781836973135281,0.13263658465283004,0.1621492792758924,0.19964491470929957,0.20949607569653594,0.08825477593408923
"North Carolina, USA",0.5766049595890425,0.11558933388007825,0.3406012079677371,0.28124050086264357,0.40425737051139626,0.31450212862596016,0.3662851738346669,0.5613766606136346,0.07233816555169853,0.29708642951976993,0.6031245247206559,0.09978904575957402,0.23519548030013715,0.13118476586737493,0.14847092319337926,0.1909461651720286,0.1870668647673661,0.10713580069971411
"Michigan, USA",0.5759569619843667,0.11439469002782944,0.27814537585429044,0.2743046229261766,0.38966204474511484,0.3360333323287086,0.4857618878744314,0.459723649064609,0.05451446306095971,0.2215954897226845,0.6716318667837292,0.10677264349358627,0.48168806717119694,0.15326783696575041,0.09813893763650842,0.13008025708591256,0.09927686802587402,0.037548033114757635
"New Jersey, USA",0.5159103685391919,0.08811266033806833,0.361774027104834,0.25059966789865284,0.3969709537656696,0.35242937833567756,0.17150934031445225,0.5538917068119372,0.27459895287361064,0.06842706289773316,0.42334313473791574,0.5082298023643511,0.5266034737661986,0.12447710473493573,0.11793455910704174,0.09479172353682724,0.08868989128715193,0.047503247567844624
"Virginia, USA",0.5360254098687564,0.08179402739522937,0.3335317858847055,0.2685379620277831,0.41629234205082244,0.31516969592139443,0.21080000701956605,0.438894712709595,0.3503052802708389,0.16051511192515408,0.4958331999653283,0.34365168810951774,0.3036561868944794,0.1515733990112252,0.161778715631673,0.15447653736506256,0.14750638650061157,0.08100877459694829
"Washington, USA",0.5310291064087487,0.07069933113002637,0.3639269129044792,0.25558787354550533,0.43029634394340066,0.31411578251109395,0.20073293441751394,0.44963213422366294,0.3496349313588231,0.08895688960238352,0.47074609691412356,0.440297013483493,0.307178383621492,0.15260245066362238,0.12831339617341922,0.1627403365435758,0.1505332882322161,0.09863214476567454
"Arizona, USA",0.5552180305364007,0.1212955455061009,0.34204565060477565,0.2588663592746046,0.41967784626032306,0.32145579446507233,0.2654043879828994,0.6335241504423488,0.10107146157475183,0.12614661317934436,0.6638443161202954,0.21000907070036026,0.14916663667976277,0.16201924177840876,0.17292411568620394,0.19427228326828902,0.23273261386572627,0.08888510872160922
"Massachusetts, USA",0.529026659771411,0.0826801661415622,0.3758315780558482,0.2554877323955303,0.41293697201552293,0.3315752955889469,0.3109132288017018,0.3326611930030691,0.35642557819522924,0.12355663978537539,0.3681985493807393,0.5082448108338854,0.5822008989692272,0.11335905613830438,0.10779519331305316,0.07774089759040154,0.07083066945491405,0.048073284534099654
"Tennessee, USA",0.5622393087692913,0.09476482541930813,0.3308024322480517,0.27545849521248844,0.4108031976968257,0.31373830709068584,0.4377888251415935,0.47559747210854586,0.08661370274986072,0.3107605247605978,0.5944405221426243,0.09479895309677792,0.28426235695333446,0.1487254713196378,0.13652776085161197,0.17352900864352327,0.15894746076646846,0.09800794146542402
"Indiana, USA",0.5620180261099542,0.08718911511851156,0.301473691916829,0.291087474027493,0.39949912622294387,0.3094133997495631,0.5268159603490729,0.44247265224073473,0.03071138741019246,0.2589137556558112,0.6869941807165177,0.05409206362767101,0.4366680153127428,0.1360317932436266,0.09718116942040046,0.14503142986479423,0.12076679115883501,0.0643208009996009
"Maryland, USA",0.5253602962615914,0.08254994531008805,0.32714341970417615,0.2422041944486355,0.4154150381004184,0.34238076745094614,0.19794351334445762,0.5051240086687829,0.2969324779867595,0.07387084354356456,0.40599926228578653,0.5201298941706488,0.39186246741711034,0.13782820033493032,0.15060047395503812,0.1403969418218718,0.11200266886053814,0.06730924761051132
"Missouri, USA",0.5810449742651216,0.1096088076832982,0.3239293106374136,0.3028187272304301,0.39776297759997314,0.29941829516959667,0.5213104766124789,0.43080118530006367,0.04788833808745742,0.3107862683764285,0.6224648547527404,0.06674887687083128,0.3954140399441263,0.15227698909686752,0.11963875801883489,0.14050274670751603,0.12896649050141346,0.06320097573124175
"Wisconsin, USA",0.5895642776730252,0.10869104694765924,0.3256485861294197,0.3227554396147124,0.3937071328629651,0.2835374275223225,0.49968975656542336,0.4415917839716174,0.05871845946295919,0.2160954951868073,0.6951586453188173,0.08874585949437537,0.4449297647109207,0.14522976855830871,0.09644228327876422,0.1370009236611709,0.12199581046454064,0.05440144932629503
"Colorado, USA",0.5511243185612128,0.09268119373750924,0.3386418865360153,0.22465800740392033,0.4305304471600199,0.3448115454360597,0.16702455102881655,0.5388187392452921,0.29415670972589125,0.08804507255502135,0.44867282726190777,0.46328210018307087,0.25275636675299873,0.1729738779613681,0.14013007655827497,0.16271912637044364,0.16881396999098117,0.1026065823659334
"Minnesota, USA",0.5639234230416241,0.09218751199495434,0.2773809234657647,0.27559779493874537,0.4228836990245958,0.3015185060366588,0.3266145741627053,0.5372650919254309,0.1361203339118639,0.16796425562449235,0.6067845152403273,0.22525122913518042,0.3947076811926872,0.1461958540610582,0.12539069059779553,0.13205250630334736,0.13430868015806577,0.067344587687046
"South Carolina, USA",0.583393905939171,0.1258326697309795,0.296709096541978,0.2646510475063918,0.3939304279501396,0.3414185245434686,0.37748391708363116,0.5569096974029069,0.065606385513462,0.2860413033584326,0.6157021255503135,0.09825657109125402,0.2169337980746789,0.1389838894400509,0.1543943008845816,0.18384239692771698,0.18602359243908426,0.11982202223388748
"Alabama, USA",0.5829718815626154,0.12029722221249076,0.30605733279872527,0.28860800738856907,0.38408384033401494,0.32730815227741605,0.580500951805692,0.3882449204748857,0.03125412771942242,0.4106453687532887,0.5473550724656923,0.041999558781019034,0.2777032233146281,0.1578276669322634,0.1449265130422561,0.1767072418393937,0.1548780027810295,0.08795735209042906
"Louisiana, USA",0.5799744296022865,0.11622744431068094,0.33329567129206383,0.25231450816576306,0.36197489715430897,0.385710594679928,0.4481979616487417,0.5079939895119783,0.04380804883928011,0.28304561930447586,0.6494368226653302,0.06751755803019396,0.31684667920539616,0.17650169197036256,0.14473766701353585,0.12596205506591168,0.14270147460337324,0.09325043214142058
"Kentucky, USA",0.5715606052430053,0.09812473509661064,0.32209225008242887,0.32086727727537273,0.3912489698218427,0.28788375290278445,0.6186473106743441,0.3599913440853801,0.02136134524027585,0.39328063528475943,0.5792636271413968,0.027455737573843907,0.3332589994569849,0.16141166758804168,0.12373292290932178,0.1667895398862073,0.14204387396109294,0.07276299619835151
"Oregon, USA",0.5371880377380882,0.07746903591314923,0.3684503991558866,0.23990461212886038,0.41462077042026085,0.3454746174508788,0.25394840204557323,0.5477060054869104,0.19834559246751646,0.10383019137157923,0.623932236228009,0.27223757240041185,0.32978939792168677,0.18349147127392537,0.10799820632731712,0.16308243702141792,0.1398297976656536,0.07580868978999919
"Oklahoma, USA",0.5777747810646406,0.12004012624244759,0.3394426865844097,0.3141961874360356,0.3921231451894741,0.2936806673744902,0.5973726665130215,0.3697472535914573,0.03288007989552124,0.33722418226394785,0.6297793458111582,0.032996471924893855,0.33564322536748337,0.18330887577773758,0.14345063046232265,0.11442885999509413,0.13112496503355703,0.09204344336380524
"Connecticut, USA",0.533230904577436,0.07319365786570028,0.3376673354441568,0.2420644722207423,0.40329251466851024,0.35464301311074753,0.2599476073356329,0.5587866261294109,0.18126576653495624,0.09791530408084584,0.5515374955450544,0.3505472003740997,0.5580533854131948,0.13520806233985147,0.12543583144681372,0.07735812237624233,0.06845281818183242,0.035491780242065056
