longname,No internet access %,Uninsured %,Public Insurance %,Private Insurance %,Never Married %,Married (not divorced) %,Divorced %
"Northridge Local School District (Montgomery County), Ohio, USA",0.1990411336978424,0.09577800566062435,0.39638010894893055,0.5078418853904452,0.37211549453538356,0.4592811509366848,0.16860335452793165
"Evergreen Union Elementary School District, California, USA",0.07410406978644425,0.05722074844216306,0.27488396085069267,0.6678952907071444,0.2066174711028355,0.6679481730790662,0.12543435581809828
"Brooklyn Center School District, Minnesota, USA",0.07685754076567537,0.126060145053118,0.22131950566524805,0.6526203492816339,0.3920146770983833,0.4574007435911339,0.15058457931048272
"Grant Public School District, Michigan, USA",0.1373628267102961,0.0970362249667568,0.22635435017088085,0.6766094248623623,0.29636965267768006,0.5910639844658364,0.11256636285648353
"Richmond R-XVI School District, Missouri, USA",0.17090417370018907,0.16397679383423863,0.14189420724043397,0.6941289989253274,0.2584494139836779,0.6051050833595101,0.13644550265681202
"Lanier County School District, Georgia, USA",0.24199489940493057,0.2159400544959128,0.24165531335149865,0.5424046321525886,0.29023349234245543,0.5628922922420286,0.14687421541551593
"Narragansett School District, Massachusetts, USA",0.10373114580576873,0.01359940872135994,0.24478935698447893,0.7416112342941611,0.2856093080220453,0.5895897121861604,0.12480097979179425
"Wattsburg Area School District, Pennsylvania, USA",0.12582156362394525,0.026408813858743885,0.23179641256982472,0.7417947735714314,0.2324429044809047,0.6791179867566631,0.0884391087624321
"Farmersville Independent School District, Texas, USA",0.11702523095748908,0.23007801901755598,0.132700246487151,0.6372217344952931,0.23648623588187043,0.6841879334581145,0.07932583066001513
"Hull School District, Massachusetts, USA",0.04931302329489463,0.02249866804027943,0.17636787374762972,0.8011334582120908,0.3015087019819573,0.549184482793503,0.14930681522453987
"Sturbridge School District, Massachusetts, USA",0.06478149100257069,0.024334100624794474,0.20305820453798093,0.7726076948372246,0.22820250575300435,0.6366658143697264,0.13513167987726923
"Algona Community School District, Iowa, USA",0.14251081460459222,0.05503905205677215,0.20850055194287484,0.736460396000353,0.250731873733565,0.6577549007267113,0.09151322553972373
"Eureka Community Unit District 140, Illinois, USA",0.09819939685216969,0.05208860665796045,0.1474037975339518,0.8005075958080877,0.20977156652499843,0.7022558664234695,0.08797256705153207
"Pulaski County School District, Georgia, USA",0.26491569390402075,0.1449438202247191,0.27490636704119853,0.5801498127340824,0.3460324880215029,0.4964356667056211,0.157531845272876
"Bristol Borough School District, Pennsylvania, USA",0.0944486441046089,0.08824031509444086,0.1598171937976778,0.7519424911078814,0.33431268938201997,0.5412306206207603,0.12445668999721962
"Perryton Independent School District, Texas, USA",0.14099384946524057,0.28264140947396266,0.09059793994949564,0.6267606505765417,0.2843439738740752,0.6131629851908874,0.10249304093503736
"Washington Central Unified Union School District #92, Vermont, USA",0.07495656490444279,0.058944396568800204,0.19846612509443418,0.7425894783367656,0.25661597413483417,0.5877140462220093,0.15566997964315651
"Trinidad School District 1, Colorado, USA",0.16102733510025666,0.15804186672831907,0.34872195085554525,0.49323618241613565,0.3238336270538527,0.529566360022673,0.14660001292347427
"Freedom Area School District, Wisconsin, USA",0.08100742656090598,0.023715609596066157,0.10810813219790444,0.8681762582060294,0.18404817483916847,0.765333864787478,0.05061796037335346
"Creswell School District 40, Oregon, USA",0.061614335946351934,0.07251844948761617,0.1714272665606854,0.7560542839516985,0.20738795170088997,0.6499850596140232,0.14262698868508691
"Eden Central School District, New York, USA",0.10558415208690458,0.03382695539373269,0.15680094844854492,0.8093720961577224,0.2613908657046967,0.6334040064620544,0.10520512783324881
"Emery School District, Utah, USA",0.14840579710144927,0.11668237511781339,0.1464655984919887,0.736852026390198,0.22169122527545468,0.6912252754546662,0.0870834992698792
"Conway School District, New Hampshire, USA",0.10844372966447734,0.11471114788057893,0.21166390696752982,0.6736249451518913,0.3271585012015532,0.5017055826447763,0.17113591615367044
"Cambria Heights School District, Pennsylvania, USA",0.1496579268521003,0.04464972642303305,0.22208226730725217,0.7332680062697149,0.26364559549410793,0.6355312741084646,0.10082313039742752
"Winona-Montgomery County Consolidated School District, Mississippi, USA",0.25425691500932834,0.1204769529011343,0.2943980429192292,0.5851250041796365,0.31960057375727025,0.5269379875275444,0.15346143871518542
"Hamshire-Fannett Independent School District, Texas, USA",0.11582296152503335,0.23131056585724144,0.08286052286208481,0.6858289112806738,0.25910787617179604,0.6434851468971786,0.09740697693102546
"Palos Heights School District 128, Illinois, USA",0.05741308020985069,0.041021967305293776,0.09624631726192273,0.8627317154327836,0.29985147935766127,0.6158986257060064,0.08424989493633239
"Regional School Unit 73, Maine, USA",0.10582784686661789,0.11705006765899864,0.2496617050067659,0.6332882273342354,0.24697885196374622,0.5677240684793555,0.18529707955689828
"Amery School District, Wisconsin, USA",0.11465471264449352,0.07572652294781475,0.14726051711341556,0.7770129599387696,0.22197083433905,0.6597302203288218,0.11829894533212819
"Chartiers-Houston School District, Pennsylvania, USA",0.05752636625119847,0.029523809523809525,0.18492063492063493,0.7855555555555556,0.21011488807295986,0.6823404003316357,0.10754471159540448
"Tarkington Independent School District, Texas, USA",0.10524065020809194,0.22395765542003734,0.10342793718451616,0.6726144073954465,0.2540282696448021,0.6193027148347625,0.12666901552043539
"Rensselaer Central School Corporation, Indiana, USA",0.12441731542912662,0.076945599549094,0.26541007215418566,0.6576443282967204,0.2821661374404417,0.5736573772602405,0.1441764852993177
"Blanchard Public Schools, Oklahoma, USA",0.09291237726196097,0.1473827235932549,0.0796955409873607,0.7729217354193844,0.19037148085448038,0.6923404972958791,0.11728802184964056
"Sullivan West Central School District, New York, USA",0.13683020971733695,0.06022322794044962,0.2127404417431619,0.7270363303163886,0.2776739759612553,0.5959992169652174,0.1263268070735273
"Devine Independent School District, Texas, USA",0.252349523000301,0.22865301127039822,0.09451976850396553,0.6768272202256362,0.21361760946742983,0.6750248061617546,0.11135758437081555
