longname,Population [GHS-POP],PW Density (r=1km) [GHS-POP],AW Density [GHS-POP],Area,Compactness
"Tokyo 200MPC, South Africa-China-Madagascar",260012100.0,3850.1035,2.3705586610388774,109683890.24638264,0.2986937887003088
"New Taipei [Taipei] 200MPC, Indonesia-China-Philippines",210975420.0,3582.5347,17.83226860791953,11831103.974415414,0.17393796160379826
"Quezon City [Manila] 200MPC, Philippines-Vietnam-China",204491260.0,6521.1543,53.08149500683212,3852402.121938727,0.9116958213548854
"New York 200MPC, USA-Canada",197339070.0,1929.2185,60.582240987990396,3257374.913534806,0.8883694843334846
"Jakarta 200MPC, Indonesia",197304400.0,5484.428,100.40120000990676,1965159.7787728796,0.9991339426085132
"Dhaka 200MPC, Bangladesh-India",196901260.0,11902.196,1373.814169854318,143324.5254857721,0.9861344843120456
"Paris 200MPC, Germany-France-Italy",196447940.0,2659.9385,207.29759192554118,947661.4473677136,0.7734569276520352
"Cairo 200MPC, Turkey-Egypt-Syria",196094700.0,12796.133,123.61345137382325,1586354.0886580697,0.9326426619869554
"Bogota 200MPC, Colombia-Peru-Venezuela",195906740.0,5889.8125,13.704819620409653,14294732.906097462,0.9716558618333972
"Bengaluru 200MPC, India",195456560.0,7410.181,367.5464024244108,531787.4388396371,0.9972637037293198
"London 200MPC, Spain-United Kingdom-Algeria",194805820.0,3889.7913,67.6459409414376,2879785.856902296,0.590324752242134
"Lahore 200MPC, Pakistan-India",193880530.0,6385.0786,581.2106588832934,333580.4755757775,0.9581660944605371
"Shanghai 200MPC, China",193773680.0,9037.847,605.1898051578017,320186.6230206472,0.9675098055655067
"Lucknow 200MPC, India",193771470.0,3491.945,406.39117180730216,476810.23959811876,0.2671705450652211
"Zhengzhou 200MPC, China",193693070.0,3693.7952,712.0443516155151,272023.8866589438,0.9399723535961646
"Luanda 200MPC, Democratic Republic of the Congo-Angola-Malawi",192714480.0,5773.395,37.344060040836375,5160512.2685980955,0.977480786209255
"Dar es Salaam 200MPC, Ethiopia-Tanzania-Cameroon",192179980.0,6763.094,26.54855971182956,7238810.168461532,0.2337929283820932
"Varanasi 200MPC, India",191379250.0,4598.1367,1036.9721293435116,184555.82612539333,0.9816460172456939
"Guangzhou 200MPC, China",191367000.0,7921.226,425.02785925909257,450245.79878973216,0.9732340296752591
"São Paulo 200MPC, Brazil-Argentina-Bolivia",190685540.0,4575.17,24.48723526605468,7787140.27648262,0.9814800005349077
"Chongqing 200MPC, China",190408930.0,5894.392,295.37920465321895,644625.3663102109,0.9280696103804055
"Chengdu 200MPC, China-Vietnam",190376210.0,4605.542,207.22739879744873,918682.6119748786,0.7723166123242319
"Moscow 200MPC, Ukraine-Russia-Poland",189674020.0,3465.1807,68.12311322665965,2784282.852266534,0.7300748294404206
"Baghdad 200MPC, Russia-Iraq-Uzbekistan",188732780.0,4401.3613,27.30900437356256,6911009.329315184,0.487520738914802
"Mumbai (Outer) 200MPC, India-Pakistan",188611500.0,7203.1577,226.44716447962642,832916.1658236153,0.13987191280873884
"Nairobi 200MPC, Ethiopia-Kenya-Uganda",188382050.0,3002.6924,100.96904467033605,1865740.619959983,0.9991405196308908
"Beijing 200MPC, China-North Korea",188162460.0,8602.295,249.7843892644896,753299.5338662262,0.8741128394818457
"Mexico City 200MPC, Mexico-USA-Guatemala",188071460.0,3088.9065,42.03503204814424,4474159.928903943,0.9561433250880872
"Osaka [Kyoto] 200MPC, Japan-China-South Korea",187963330.0,5521.111,92.95905861617149,2022001.199217192,0.6625268996951502
"Delhi [New Delhi] 200MPC, India",187702820.0,8542.718,818.0736843008234,229444.8771572728,0.9760528136771479
"Bangkok 200MPC, Myanmar-Thailand-Bangladesh",186747060.0,4364.726,101.50456830965355,1839789.6676955721,0.8279755453896188
"Saint Petersburg 200MPC, Morocco-United Kingdom-Russia",186204720.0,4090.8015,13.542159042187187,13750002.449382411,0.15957834486988806
"Colombo 200MPC, India-Sri Lanka",186202340.0,3496.0776,67.34202565978359,2765024.279796789,0.21467676032957242
"Karachi 200MPC, Iran-Afghanistan-Pakistan",184361710.0,10677.31,49.537143247915125,3721686.3935277346,0.9081104282451695
"Kano 200MPC, Nigeria",184239170.0,4510.1455,228.52723037393443,806202.2530029932,0.9987720785762146
"Riyadh 200MPC, Egypt-Ethiopia-Saudi Arabia",183451070.0,6321.395,36.09667726356972,5082214.926888756,0.9269783356864709
"Taiyuan 200MPC, China",180703870.0,5063.3467,172.29850597905713,1048783.7429186099,0.1365029335086214
"Abidjan 200MPC, Ghana-Ivory Coast-Burkina Faso",177941500.0,3577.4106,37.08238269629305,4798545.591240769,0.933655475476196
"Mumbai (Center) 200MPC, India",177902980.0,10423.263,379.9834022104396,468186.17593585077,0.990458761941873
"Los Angeles 200MPC, USA-Brazil-Mexico",172243260.0,2764.3967,3.1748844629498074,54251821.13240353,0.23346503946187114
