longname,Commute Time < 15 min % [StatCan],Commute Time 15 - 29 min % [StatCan],Commute Time 30 - 59 min % [StatCan],Commute Time > 60 min % [StatCan]
"Toronto Population Center, ON, Canada",0.1764512213435625,0.33543155492840837,0.3758164599792355,0.11230076374879357
"Montréal Population Center, QC, Canada",0.2070343345020177,0.36436480964055645,0.35005503221889533,0.07854582363853048
"Vancouver Population Center, BC, Canada",0.2036555137983501,0.35421177906066936,0.3624215208752202,0.07971118626576032
"Calgary Population Center, AB, Canada",0.21647680554120521,0.47350098367212523,0.26336210291675227,0.046660107869917304
"Edmonton Population Center, AB, Canada",0.24105110916428452,0.4541995345505266,0.2640335123101425,0.04071584397504633
"Ottawa - Gatineau Population Center, QC-ON, Canada",0.2785604897064875,0.4269377495106128,0.24875604617087324,0.04574571461202646
"Winnipeg Population Center, MB, Canada",0.27174298127664537,0.46133328092534187,0.2366100400697058,0.03031369772830689
"Québec Population Center, QC, Canada",0.3341377933195889,0.47059990344839087,0.17512749127116228,0.020134811960857934
"Hamilton Population Center, ON, Canada",0.27586204931855374,0.3890257693155887,0.2541190310475709,0.08099315031828669
"Kitchener Population Center, ON, Canada",0.3216590977426281,0.420505777040081,0.1940667550691925,0.06376837014809847
"London Population Center, ON, Canada",0.3454849317783548,0.43543568211124123,0.17702560080858723,0.04205378530181661
"Victoria Population Center, BC, Canada",0.3519997887788148,0.44140910489560836,0.18693895033645055,0.01965215598912617
"Halifax Population Center, NS, Canada",0.33610906213679353,0.45840110264490375,0.17257759152585828,0.032912243692444394
"Oshawa Population Center, ON, Canada",0.25761644527496386,0.30511624480640587,0.2903963489891722,0.14687096092945812
"Windsor Population Center, ON, Canada",0.3781609400453461,0.4769321489624803,0.1288448173809822,0.01606209361119127
"Saskatoon Population Center, SK, Canada",0.3910636302122925,0.503657640153078,0.0827485832163739,0.022530146418255403
"St. Catharines - Niagara Falls Population Center, ON, Canada",0.4145742295421199,0.38498884783749976,0.14839138367426605,0.05204553894611423
"Regina Population Center, SK, Canada",0.42548299408457957,0.4892266206904042,0.07168811352328483,0.013602271701731377
"St. John's Population Center, NL, Canada",0.4565004838665868,0.4485397754878894,0.07308581918902395,0.021873921456499818
"Kelowna Population Center, BC, Canada",0.40612537947258015,0.42195702326792606,0.14109487162114737,0.030822725638346263
"Barrie Population Center, ON, Canada",0.34711999471070626,0.2737361357599766,0.23127139712097391,0.1478724724083433
"Sherbrooke Population Center, QC, Canada",0.4026778573569404,0.4339433877860658,0.14246880571537462,0.020909949141619286
"Guelph Population Center, ON, Canada",0.40800835404275226,0.31756119501732144,0.20448107076112645,0.06994938017879976
"Kanata Population Center, ON, Canada",0.3053110586161257,0.396200707952982,0.2530611301412659,0.04542710328962633
"Abbotsford Population Center, BC, Canada",0.37000813724471515,0.31471916043657455,0.23162323961324013,0.08364946270547012
"Trois-Rivières Population Center, QC, Canada",0.48663602602992045,0.35795238081696634,0.1253443738401415,0.030067219312971637
"Kingston Population Center, ON, Canada",0.43391247663437654,0.4243220728043003,0.1186262293189047,0.023139221242418535
"Milton Population Center, ON, Canada",0.24227778560532517,0.2588517748418581,0.38741656426451304,0.11145387528830378
"Moncton Population Center, NB, Canada",0.5364359794826388,0.373639264059437,0.07182854509458282,0.01809621136334143
"White Rock Population Center, BC, Canada",0.2600704205090743,0.27833609078934163,0.3836189838912007,0.07797450481038329
"Nanaimo Population Center, BC, Canada",0.4556021375481163,0.37191311298434193,0.12888244666546553,0.04360230280207632
"Brantford Population Center, ON, Canada",0.4165074570895396,0.2720367988084723,0.24176825104808863,0.06968749305389958
"Chicoutimi - Jonquière Population Center, QC, Canada",0.5388573162257176,0.369877055241407,0.08001979335787493,0.01124583517500061
"Saint-Jérôme Population Center, QC, Canada",0.29064533775452506,0.3321840690106321,0.29915769225740235,0.07801290097744032
"Red Deer Population Center, AB, Canada",0.4605991941095123,0.3951832574782687,0.10402203190287046,0.040195516509348654
"Thunder Bay Population Center, ON, Canada",0.5634454848483729,0.36458200803802077,0.05351798068554578,0.018454526428060433
"Lethbridge Population Center, AB, Canada",0.5347651437435764,0.3553016984054653,0.08288960625872618,0.027043551592231978
"Kamloops Population Center, BC, Canada",0.4477390766811634,0.4233499036312401,0.09478919484734215,0.0341218248402543
"Sudbury Population Center, ON, Canada",0.46250931102175646,0.4019428157931259,0.10716826139275384,0.028379611792363906
"Saint-Jean-sur-Richelieu Population Center, QC, Canada",0.413258932916261,0.2639074808992816,0.27521878592528226,0.04761480025917504
"Peterborough Population Center, ON, Canada",0.5213271189281881,0.27721122340085375,0.14185163586796248,0.059610021802995704
"Chilliwack Population Center, BC, Canada",0.38382371235656415,0.29981369188436824,0.22105145799966142,0.09531113775940607
"Châteauguay Population Center, QC, Canada",0.27268380109907736,0.29021845049116934,0.3723774512480367,0.06472029716171665
"Belleville Population Center, ON, Canada",0.5297759900973359,0.30904616591509493,0.1235073202901088,0.037670523697460295
"Sarnia Population Center, ON, Canada",0.5603500944137679,0.3420662011466753,0.0787243173482856,0.01885938709127118
"Airdrie Population Center, AB, Canada",0.29069168797664574,0.30703625336622214,0.35621068025979347,0.04606137839733866
"Drummondville Population Center, QC, Canada",0.5657328941252573,0.3109999272862127,0.09460450550214733,0.028662673086382543
"Welland - Pelham Population Center, ON, Canada",0.3418319330770387,0.3777056876433083,0.22091968707844725,0.05954269220120572
"Fort McMurray Population Center, AB, Canada",0.2633330585150528,0.2543142932208894,0.3457882976091845,0.13656435065487332
"Prince George Population Center, BC, Canada",0.5314722581188197,0.3824063856025608,0.05424492045445763,0.03187643582416206
"Sault Ste. Marie Population Center, ON, Canada",0.6847160773963374,0.2714368855095651,0.03274735808019191,0.011099679013905593
"Fredericton Population Center, NB, Canada",0.5544016779586983,0.3608886151082599,0.06780086296487296,0.016908843968168958
"Medicine Hat Population Center, AB, Canada",0.572829129157535,0.31902763003384443,0.06241602981212129,0.04572721099649917
"Grande Prairie Population Center, AB, Canada",0.5170911727356684,0.3486579242286691,0.07968091992932387,0.054569983106338614
"Granby Population Center, QC, Canada",0.5371739827490456,0.28474275053259784,0.14288355660842708,0.0351997101099294
"Saint John Population Center, NB, Canada",0.5250650506583248,0.3791297276204763,0.08239266154877894,0.01341256017242019
"Bowmanville - Newcastle Population Center, ON, Canada",0.2587373184957741,0.31800197932094315,0.2932485118904993,0.13001219029278346
"Beloeil Population Center, QC, Canada",0.27260448939944454,0.32190218259101117,0.3387222605142829,0.0667710674952615
"Charlottetown Population Center, PE, Canada",0.596115095377609,0.3075192082281696,0.0827846309383186,0.013581065455902886
"Vernon Population Center, BC, Canada",0.5186852075461177,0.2917483722096789,0.1517732443715459,0.03779317587265731
"North Bay Population Center, ON, Canada",0.6181368772146562,0.29702493514181133,0.06350431214312466,0.021333875500407867
"Saint-Hyacinthe Population Center, QC, Canada",0.5409330622761329,0.270235239391274,0.1585305431587809,0.030301155173812433
"Brandon Population Center, MB, Canada",0.6617006926613614,0.24280321002020638,0.07551510953511024,0.019980987783321955
"Joliette Population Center, QC, Canada",0.5020641760001044,0.2555343564587812,0.17166248205004417,0.07073898549107006
"Courtenay Population Center, BC, Canada",0.5570567946775187,0.30333201673156457,0.088847468881639,0.05076371970927781
"Cornwall Population Center, ON, Canada",0.6055007822462813,0.2746104197295652,0.06501429796987876,0.05487450005427472
"Victoriaville Population Center, QC, Canada",0.63264290027193,0.2632857319070846,0.07925988964345831,0.024811478177526956
"Woodstock Population Center, ON, Canada",0.5118480462619904,0.1852724652664358,0.25279382689204244,0.05008566157953141
"St. Thomas Population Center, ON, Canada",0.5017837708812715,0.24239230976123652,0.22743506060671975,0.02838885875077231
"Chatham Population Center, ON, Canada",0.6320141522087276,0.21222776282107264,0.1126976671348468,0.04306041783535299
"Georgetown Population Center, ON, Canada",0.29126290055345927,0.236678732631009,0.3888841539947121,0.08317421282081963
"Salaberry-de-Valleyfield Population Center, QC, Canada",0.4456556697274459,0.2980602944590776,0.2106834487023979,0.04560058711107854
"Spruce Grove Population Center, AB, Canada",0.31683423785989556,0.32936292257696365,0.3149588557907956,0.03884398377234527
"Shawinigan Population Center, QC, Canada",0.48921544103328574,0.30131441983421714,0.17993674777115215,0.029533391361345057
"Rimouski Population Center, QC, Canada",0.6864425559033295,0.22499491789695902,0.07192254200668904,0.016639984193022456
"Bradford Population Center, ON, Canada",0.21633081911986443,0.207715634879205,0.42213373595074155,0.15381981005018916
"Campbell River Population Center, BC, Canada",0.5277077454161605,0.2848326193133419,0.10696416072953122,0.08049547454096638
"Penticton Population Center, BC, Canada",0.6482388966654112,0.212234498583086,0.10295708299495909,0.03656952175654387
"Prince Albert Population Center, SK, Canada",0.713387061134813,0.20011188126981416,0.052308231167462395,0.03419282642791043
"Stouffville Population Center, ON, Canada",0.21717327483331408,0.2553773446977216,0.40072615697624486,0.12672322349271942
"Sorel Population Center, QC, Canada",0.5931138064457195,0.21311831768504358,0.13362395370427124,0.06014392216496559
"Mission Population Center, BC, Canada",0.2675255685495252,0.2601334617939708,0.2979566374846387,0.17438433217186525
"Leamington Population Center, ON, Canada",0.5133957108539697,0.2749633714287548,0.1905379814782211,0.02110293623905441
"Orangeville Population Center, ON, Canada",0.358063990982618,0.11495447406508359,0.37369737094276284,0.15328416400953565
"Leduc Population Center, AB, Canada",0.3865966889937966,0.27607735063093153,0.2783630797198147,0.058962880655457114
"Orillia Population Center, ON, Canada",0.5237873134328359,0.20475746268656708,0.185634328358209,0.08582089552238809
"Stratford Population Center, ON, Canada",0.6326030525758058,0.18085758204680893,0.1490375241634918,0.03750184121389346
"Moose Jaw Population Center, SK, Canada",0.6678002424719859,0.22051357804456476,0.07710811493063235,0.03457806455281687
"Cochrane Population Center, AB, Canada",0.3571683971724277,0.16207770654211986,0.4029333393624378,0.07782055692301469
"Lloydminster Population Center, SK-AB, Canada",0.6823361823361822,0.19907407407407415,0.07763532763532768,0.040954415954416
"Cape Breton - Sydney Population Center, NS, Canada",0.651954012633798,0.26237505444395015,0.07115109450529719,0.014519838416954789
"Okotoks Population Center, AB, Canada",0.3386275447383143,0.2420422679857255,0.3660411670006295,0.053289020275330654
"Innisfil Population Center, ON, Canada",0.1647047567433904,0.23016786793923913,0.3255840557271418,0.2795433195902287
"Timmins Population Center, ON, Canada",0.5816036184598392,0.26830472994647203,0.10395324860060631,0.04613840299308247
"Saint-Georges Population Center, QC, Canada",0.5698262452027927,0.2883063650598213,0.10874806569551539,0.03311932404187063
"Parksville Population Center, BC, Canada",0.5100275813999982,0.2646556162711518,0.18620111697872735,0.03911568535012265
"Keswick - Elmhurst Beach Population Center, ON, Canada",0.21606746062370347,0.26645114618517035,0.3508218048468569,0.16665958834426933
"Fort Saskatchewan Population Center, AB, Canada",0.3458069695992172,0.32637807549662234,0.2948550362677391,0.032959918636421365
"Bolton Population Center, ON, Canada",0.2615799713724452,0.16198712230362453,0.4690137289977061,0.10741917732622398
"Midland Population Center, ON, Canada",0.5933173566192319,0.18190290063228293,0.14923763193290232,0.07554211081558274
"Val-d'Or Population Center, QC, Canada",0.7020574684104604,0.17112794869341752,0.09219760627378772,0.034616976622334386
"Quispamsis - Rothesay Population Center, NB, Canada",0.29997088558641927,0.5686414923577318,0.11320592319049229,0.0181816988653566
"Whitehorse Population Center, YT, Canada",0.5441899281286432,0.40051884304739,0.047410309240162575,0.007880919583804259
"Duncan Population Center, BC, Canada",0.49658727180388507,0.2994981360241458,0.13662927502313665,0.06728531714883253
"Hudson Population Center, QC, Canada",0.2196902130936602,0.3191202628054578,0.37897614377740196,0.08221338032347994
"Tsawwassen Population Center, BC, Canada",0.33015592983941,0.2565243628114215,0.36886525016573835,0.04445445718343008
"Truro Population Center, NS, Canada",0.5921611114231555,0.25152113279074934,0.09404291652222979,0.06227483926386547
"Alliston Population Center, ON, Canada",0.36396018780390643,0.13493795556607077,0.2839437152855967,0.21715814134442607
"Fergus Population Center, ON, Canada",0.38099515637191445,0.2647043235952227,0.26176464009321865,0.09253587993964403
"Rouyn-Noranda Population Center, QC, Canada",0.6834298668606914,0.18664229627063594,0.07277024084462363,0.057157596024049045
