longname,PW Mean Hilliness (Grade),PW Mean Elevation
"New York city, New York, USA",0.04811508711487701,25.774081628402996
"Los Angeles city, California, USA",0.0435384876379067,145.54013782442
"Chicago city, Illinois, USA",0.0373732452986053,184.74232847158117
"Houston city, Texas, USA",0.04206167082107865,25.818932523381104
"Phoenix city, Arizona, USA",0.029414902127939666,375.2285093970652
"Philadelphia city, Pennsylvania, USA",0.03593457352439212,36.38836098038129
"San Antonio city, Texas, USA",0.07065598558139596,236.78561656628347
"San Diego city, California, USA",0.05249147786410317,89.0577907830042
"Dallas city, Texas, USA",0.03813723575445116,168.68094083271845
"San Jose city, California, USA",0.032818099835948224,57.656430750650955
"Austin city, Texas, USA",0.0570753209858639,211.80405273083736
"Jacksonville city, Florida, USA",0.04198558684244652,16.094687282930156
"Fort Worth city, Texas, USA",0.05205385800352902,202.17822190382435
"Columbus city, Ohio, USA",0.04059146508383302,256.67710219013713
"Indianapolis city (balance), Indiana, USA",0.04627278026580536,235.51270452214496
"Charlotte city, North Carolina, USA",0.05508430374119678,212.58050932205663
"San Francisco city, California, USA",0.06737669809065451,62.48361086847991
"Seattle city, Washington, USA",0.07427011176318023,61.63213490266429
"Denver city, Colorado, USA",0.033771509674737556,1633.0671702086072
"Nashville-Davidson metropolitan government (balance), Tennessee, USA",0.059663424850021414,175.31334028833868
"Washington city, District of Columbia, USA",0.046328125639612944,44.84542195646132
"Oklahoma City city, Oklahoma, USA",0.027169692904170494,373.7738151775251
"El Paso city, Texas, USA",0.03586419725817108,1199.4591471053898
"Boston city, Massachusetts, USA",0.043370901792993216,22.95048052078369
"Portland city, Oregon, USA",0.04976314318958839,68.88849105496065
"Las Vegas city, Nevada, USA",0.02846675260550476,726.4977083559967
"Detroit city, Michigan, USA",0.03398976992686871,192.8027954771307
"Memphis city, Tennessee, USA",0.0400405891817106,91.1470081724455
"Baltimore city, Maryland, USA",0.042373141930864854,57.4540148738681
"Milwaukee city, Wisconsin, USA",0.04142392377001017,208.50136718461331
"Albuquerque city, New Mexico, USA",0.03141576216423272,1618.6366504747987
"Tucson city, Arizona, USA",0.031927513364869285,776.524671767121
"Fresno city, California, USA",0.03739014472551319,90.60137054615811
"Sacramento city, California, USA",0.02430774692964398,12.991178263398321
"Kansas City city, Missouri, USA",0.05047459775828704,287.26952864068164
"Mesa city, Arizona, USA",0.03724334533078626,402.1258109965415
"Atlanta city, Georgia, USA",0.05671079334488069,292.1850366239732
"Omaha city, Nebraska, USA",0.045198635345226085,354.9842912195006
"Colorado Springs city, Colorado, USA",0.04550912658255942,1954.0116551213082
"Raleigh city, North Carolina, USA",0.0560916167401901,106.87042864620784
"Long Beach city, California, USA",0.023554645670063084,13.523789908556457
"Virginia Beach city, Virginia, USA",0.026317153334433453,10.764504840531153
"Miami city, Florida, USA",0.03014684785180139,12.460648974900796
"Oakland city, California, USA",0.04963151829116562,53.865925148275295
"Minneapolis city, Minnesota, USA",0.0497156514848626,263.2109709222511
"Tulsa city, Oklahoma, USA",0.038406993238214615,217.80023203253407
"Bakersfield city, California, USA",0.02732071947560387,124.07823117208208
"Wichita city, Kansas, USA",0.026378755393752173,410.5798295343056
"Arlington city, Texas, USA",0.04619751946159938,184.24699385908275
"Louisville/Jefferson County metro government (balance), Kentucky, USA",0.05686668956013484,172.26334403906438
"Aurora city, Colorado, USA",0.035678884684250525,1708.7166800083687
"Tampa city, Florida, USA",0.04519217851218968,15.96317849680794
