longname,Citizen by Birth %,Citizen by Naturalization %,Non-citizen %,Born outside US %,Born in us outside state %,Born in state of residence %,Only English at Home %,Spanish at Home %,Other at Home %,geoid
"Los Angeles County, California, USA",0.6651885759424406,0.18011368752685752,0.15469773653070182,0.3348114240575674,0.14317192833645317,0.5220166476059794,0.4414682056804872,0.386845630666917,0.17168616365259579,06037
"Cook County, Illinois, USA",0.7907137328412709,0.1101522277997459,0.09913403935898332,0.2092862671587318,0.1731750766649923,0.6175386561762759,0.6492394457134121,0.20598150984594182,0.1447790444406463,17031
"Harris County, Texas, USA",0.7382696673018502,0.10118763487661461,0.16054269782153538,0.26173033269814927,0.20445049582826844,0.5338191714735823,0.553323667206564,0.3523958268716585,0.09428050592177745,48201
"Maricopa County, Arizona, USA",0.8550925872029183,0.06350220464532119,0.08140520815176051,0.14490741279708175,0.4687424448341719,0.38635014236874643,0.7350386041239102,0.20143682093278878,0.06352457494330098,04013
"San Diego County, California, USA",0.7727208620145704,0.1307228061294223,0.09655633185600719,0.22727913798542765,0.26616083201605323,0.5065600299985191,0.6327434233814497,0.24086170009095292,0.12639487652759723,06073
"Orange County, California, USA",0.705511410003085,0.16937133825835157,0.12511725173856342,0.2944885899969159,0.17027502978232686,0.5352363802207571,0.549329520051273,0.24312123386767806,0.20754924608104905,06059
"Kings County, New York, USA",0.6469760651240987,0.21797954548806203,0.1350443893878392,0.3530239348759022,0.15464798183132014,0.4923280832927777,0.556957470443544,0.14673292073315838,0.2963096088232975,36047
"Miami-Dade County, Florida, USA",0.46001223424892185,0.325525339268667,0.21446242648241104,0.5399877657510818,0.13179178220029011,0.32822045204862815,0.24867237887623042,0.6649664827880175,0.086361138335752,12086
"Dallas County, Texas, USA",0.7546187270656886,0.07729039797721281,0.1680908749570987,0.2453812729343105,0.21142908916959338,0.5431896378960963,0.5688971385043036,0.3450991036542746,0.08600375784142172,48113
"Riverside County, California, USA",0.7846119939518474,0.116829111483645,0.09855889456450763,0.21538800604815173,0.17125293286808685,0.6133590610837616,0.5865991827020751,0.3446423425134387,0.06875847478448614,06065
"Queens County, New York, USA",0.5302807569197004,0.274817675060002,0.19490156802029757,0.46971924308030016,0.07874269534455403,0.4515380615751458,0.448384827635348,0.23381734189347048,0.31779783047118165,36081
"King County, Washington, USA",0.7583922542460926,0.11385865121858499,0.1277490945353225,0.2416077457539088,0.3633340223067491,0.39505823193934214,0.7110609542331767,0.06621260437840973,0.2227264413884137,53033
"Clark County, Nevada, USA",0.7798343184021497,0.11537921974661447,0.10478646185123582,0.22016568159785269,0.5267676222140422,0.25306669618810523,0.6627864195486585,0.22819985579109384,0.10901372466024774,32003
"San Bernardino County, California, USA",0.793447565740594,0.10630467635558748,0.10024775790381853,0.20655243425940326,0.13890932171264925,0.6545382440279476,0.5782607792392798,0.34691966617598224,0.07481955458473805,06071
"Tarrant County, Texas, USA",0.8373830578411646,0.06785334087333705,0.09476360128549828,0.16261694215883365,0.28893192151066555,0.5484511363305008,0.7102872106029967,0.20791574690853584,0.08179704248846749,48439
