longname,Commute Car %,Commute Bike %,Commute Walk %,Commute Transit %,Commute Work From Home %,Commute Time < 15 min %,Commute Time 15 - 29 min %,Commute Time 30 - 59 min %,Commute Time > 60 min %,Households With no Vehicle %,Households With 1+ Vehicles %,Households With 2+ Vehicles %,Traffic Fatalities Per Capita Per Year,Pedestrian/Cyclist Fatalities Per Capita Per Year,Total Traffic Fatalities In Last Decade,Total Pedestrian/Cyclist Fatalities In Last Decade
"Casablanca 50MPC, Morocco-Portugal-Spain",,,,,,,,,,,,,,,,
"Buenos Aires 50MPC, Argentina-Brazil-Paraguay",,,,,,,,,,,,,,,,
"Rawalpindi [Islamabad] 50MPC, Pakistan-India",,,,,,,,,,,,,,,,
"Ludhiana 50MPC, India",,,,,,,,,,,,,,,,
"Dhaka 50MPC, Bangladesh",,,,,,,,,,,,,,,,
"Hanoi 50MPC, Vietnam-China",,,,,,,,,,,,,,,,
"Kabul 50MPC, Pakistan-India-Afghanistan",,,,,,,,,,,,,,,,
"Tasikmalaya 50MPC, Indonesia",,,,,,,,,,,,,,,,
"Nizhny Novgorod 50MPC, Russia",,,,,,,,,,,,,,,,
"N'Djamena 50MPC, Chad-Sudan-Nigeria",,,,,,,,,,,,,,,,
"Lahore 50MPC, Pakistan",,,,,,,,,,,,,,,,
"Seattle 50MPC, USA-Canada",,,,,,,,,,,,,,,,
"Accra 50MPC, Ghana-Togo-Benin",,,,,,,,,,,,,,,,
"Yangon 50MPC, Myanmar-Thailand",,,,,,,,,,,,,,,,
"Paris 50MPC, France-Germany-Belgium",,,,,,,,,,,,,,,,
"Jaipur 50MPC, India",,,,,,,,,,,,,,,,
"Delhi [New Delhi] 50MPC, India",,,,,,,,,,,,,,,,
"Cairo 50MPC, Egypt",,,,,,,,,,,,,,,,
"Lucknow 50MPC, India",,,,,,,,,,,,,,,,
"Cape Town 50MPC, USA-Somalia-South Africa",,,,,,,,,,,,,,,,
"Tokyo 50MPC, Japan",,,,,,,,,,,,,,,,
"Xi'an 50MPC, China",,,,,,,,,,,,,,,,
"Madrid 50MPC, Spain-Algeria",,,,,,,,,,,,,,,,
"Jodhpur 50MPC, India",,,,,,,,,,,,,,,,
"Hefei 50MPC, China",,,,,,,,,,,,,,,,
"Yichang 50MPC, China",,,,,,,,,,,,,,,,
"Mumbai 50MPC, India",,,,,,,,,,,,,,,,
"Ahmedabad 50MPC, India",,,,,,,,,,,,,,,,
