longname,White %,Hispanic %,Black %,Asian %,Native %,Hawaiian / PI %,Other / Mixed %
"California, USA",0.34682138725408085,0.3940794891348005,0.053599446564724255,0.15122758543371226,0.003947562068333816,0.003493904203263817,0.04683062534108449
"Texas, USA",0.397465092054478,0.3925734744563346,0.1181963123857867,0.05357855208173995,0.002930832477066071,0.0009558420004873741,0.03429989454410725
"Florida, USA",0.515358619620383,0.26452898776671746,0.14520093256995795,0.029234403044202256,0.0019579065644174942,0.0005349707465588509,0.043184179687763
"New York, USA",0.5246587331878911,0.19543550224326464,0.13658038649595777,0.09486506997114423,0.0027180555699941635,0.00030182466051532463,0.0454404278712327
"Pennsylvania, USA",0.7347235071010808,0.08072345372771075,0.10528427895076568,0.03896725143833157,0.0011557564909977812,0.00024317953317374132,0.038902572757939693
"Illinois, USA",0.5832418330857505,0.18244709625597066,0.13859122144048686,0.05830024206648749,0.0012926865633193943,0.00023098185633225167,0.03589593873165279
"Ohio, USA",0.75885951911225,0.04418154402072036,0.1234969768118131,0.02513476768545384,0.0016060329680453768,0.00038080669826523185,0.0463403527034521
"Georgia, USA",0.500570077312622,0.1048814357751637,0.3060311126940109,0.04440749628560533,0.0019021248251328803,0.0005695638556140223,0.04163818925185113
"North Carolina, USA",0.6046160196972962,0.10715889341906944,0.20190083008035628,0.032577447071084835,0.009664711607262693,0.0006686856886988382,0.043413412436231764
"Michigan, USA",0.7239419090843228,0.05601358882008906,0.13482179808712447,0.032978097307146834,0.004699318077834999,0.00025833843625352695,0.04728695018722838
"New Jersey, USA",0.5185011772130653,0.21558658305469916,0.124247466992117,0.10151205856124959,0.001206335213909987,0.0002092918925337809,0.03873708707242522
"Virginia, USA",0.5860425265682432,0.10528422010004547,0.1828305280628427,0.07074379495022347,0.0022103851490109863,0.0007174077388969509,0.05217113743073719
"Washington, USA",0.6383611863364873,0.13747167799200857,0.03843979223951021,0.0938482573787787,0.011834108316234559,0.008110841591972022,0.07193413614500868
"Arizona, USA",0.5336706890384705,0.3065444154248996,0.04434886545511698,0.034795068224828855,0.03690553397034637,0.002002796055989357,0.041732631830348366
"Massachusetts, USA",0.6754594347237928,0.1263020216365784,0.06503224826016485,0.07183720245578253,0.00133540680674707,0.00022866262530021753,0.05980502349163418
"Tennessee, USA",0.7090671861594888,0.06933814007929279,0.15682196802908124,0.019433519181379175,0.00224849558874366,0.000520052329361266,0.04257063863265306
"Indiana, USA",0.7546949920477817,0.08167249475648763,0.0939499475943508,0.024559768967131225,0.0019067049756481735,0.00040689538087529815,0.042809196277725184
"Maryland, USA",0.4716921478993969,0.11813441826476803,0.29059419227983563,0.06766176273945619,0.00195152322417862,0.0004168537787026086,0.04954910181366199
"Missouri, USA",0.7577538363205637,0.049239949627298225,0.11255611566744723,0.02147192465995908,0.0038174332375671433,0.001509848786036409,0.05365089170112825
"Wisconsin, USA",0.7862544993868464,0.07589614856049316,0.06219042190771457,0.02956966577146975,0.008209487956074887,0.00032104237640589664,0.03755873404099535
"Colorado, USA",0.6513420997299139,0.21881755833420222,0.038330613535758784,0.03381185836361136,0.005848575111271532,0.0015596546694207575,0.05028964025582147
"Minnesota, USA",0.7629625761281636,0.06057167030794393,0.06884441158425615,0.05212806617772436,0.009996966527178321,0.0004593144000935102,0.045036994874640114
