longname,Mean high temp,Mean high heat index,Mean high dewpt,High temperature Above 90°F %,High temperature Between 40 and 90°F %,High temperature Below 40°F %,Humid days (dewpt > 70°F) %,Non-humid days (50°F < dewpt < 70°F) %,Dry days (dewpt < 50°F) %,Mean sunny hours,Rainfall,Snowfall [rain-equivalent],High windspeed (>10mph) days %,Mean high temperature in summer,Mean high temperature in winter,Mean high temperature in fall,Mean high temperature in spring,geoid
"Los Angeles County, California, USA",73.70783791707026,73.02372168531693,52.03409850826189,0.07390742707902245,0.9260328065794934,5.9766341479132396e-05,0.0009670103938693665,0.6679714597355441,0.3310615298705783,8.266894006459383,0.3522856872898111,0.0008041200594166643,0.011226339813429556,84.14970688460895,64.66417665605994,72.57407296406146,73.00939781092525,06037
"Cook County, Illinois, USA",57.82192154224803,57.11605465836652,46.54315733890386,0.014350973052779971,0.747709960782981,0.23793906616423796,0.09745787206787379,0.366262060224036,0.5362800677080949,4.660860753688766,0.9036990853708712,0.10763901919917566,0.42224413718298115,79.62704503184914,35.24599890919022,52.31384780264741,63.018075519337984,17031
"Harris County, Texas, USA",79.13743257831875,83.87107637972434,65.0295407716786,0.2129631478007789,0.7845625508458498,0.002474301353368034,0.45048258106696937,0.4055693891355725,0.14394802979745994,5.436430927642004,1.1935737685239733,0.0008826347518961454,0.16797913531394082,91.28789633224558,66.51515868762196,75.18851396750483,82.92433536474766,48201
"Maricopa County, Arizona, USA",86.27563835719941,84.96345776444883,44.33705030593695,0.4563916196070543,0.5436029739741878,5.406418752276543e-06,0.04010094064517583,0.27787946009207615,0.6820195992627563,8.848778223126276,0.23597365945636187,0.00023109478291073035,0.013274648843786156,103.6438278197238,69.55720705974936,79.81406119601193,91.18409816966513,04013
"San Diego County, California, USA",70.04767668045642,69.79925079592617,55.66742662609628,0.015191390285260509,0.9848073665243056,1.2431904336455564e-06,0.007724516024161422,0.8007279989173365,0.1915474850585061,7.560415034562216,0.347977539805584,7.185516346804027e-05,0.027908157570250672,77.8227369463887,63.471070768648126,70.27276486622802,68.3379306178175,06073
"Orange County, California, USA",71.61684273580632,71.42944565929105,55.71448647245848,0.026360492989947474,0.9736395070100545,0.0,0.0065097006172091035,0.8032424967929305,0.19024780258986018,8.012576733650395,0.3510387567733709,4.412254058452008e-06,0.012957333180782042,79.89901417765138,64.56268968993344,71.54095487254263,70.15180034871395,06059
"Kings County, New York, USA",60.88008078362744,60.424853521285115,49.35943135137908,0.010937390025862404,0.8613380409815329,0.12772456899260246,0.1096624495381074,0.4053403677916314,0.48499718267025954,4.9615841668391765,1.053070500735869,0.10357406794122674,0.2576995823353265,80.01454769765449,41.57368747355166,56.6994647738092,64.31168422752654,36047
"Miami-Dade County, Florida, USA",81.12805580778142,86.20618986899181,69.98217291519255,0.029256669030178817,0.9707433309698202,0.0,0.5904694068358285,0.39446693269929656,0.015063660464873204,5.67450748942204,1.1448523092502216,0.0,0.3038661694024291,86.35038329282932,75.54100405955069,80.27780229147146,82.09615825117851,12086
"Dallas County, Texas, USA",76.86216430553237,79.3236188317539,58.56634422668375,0.24051564047428303,0.7454162977384456,0.014068061787273755,0.2831313759184819,0.443567154546762,0.27330146953475143,6.367507544401835,0.9996847295397273,0.007403779162470589,0.30771239866576944,93.12519562835135,61.081376345813396,71.29599551880423,81.11345495318612,48113
"Riverside County, California, USA",75.68097999147763,74.64382767095158,48.838542105604034,0.1574585943519239,0.8423576108263393,0.0001837948217319484,0.0032606851245751537,0.5193867410588097,0.4773525738166199,8.464641187033152,0.3557023517559069,0.001272299980628012,0.001322276810080693,89.574469742224,63.894604099158386,72.89650372489247,75.74215738662139,06065
