longname,Poverty %,Household Income < $50k %,Household Income $50k - $100k %,Household Income > $100k %,Individual Income < $50k %,Individual Income $50k - $100k %,Individual Income > $100k %,geoid
"Los Angeles County, California, USA",0.1385728188543115,0.3390306514389918,0.277760752590377,0.38320859597063117,0.6514495816083302,0.21211294938605657,0.13643746900561324,06037
"Cook County, Illinois, USA",0.1347883231486424,0.3614815512094598,0.2788236091375299,0.3596948396530102,0.6050060195772697,0.24943767310001866,0.14555630732271163,17031
"Harris County, Texas, USA",0.15623611279741104,0.3835948040678949,0.2938632719280592,0.32254192400404585,0.6456817622771605,0.23092317685382205,0.12339506086901748,48201
"Maricopa County, Arizona, USA",0.12044157760477309,0.33435019186337694,0.3169749612627739,0.3486748468738492,0.636271155214462,0.24155588561814725,0.1221729591673908,04013
"San Diego County, California, USA",0.10720900411248883,0.27992156567450166,0.27602085903472573,0.4440575752907725,0.5917666649511133,0.24226315317655,0.1659701818723367,06073
"Orange County, California, USA",0.09896137880234701,0.24455888955662108,0.2531809590089158,0.5022601514344631,0.5718145612915949,0.23457576146098066,0.19360967724742428,06059
"Kings County, New York, USA",0.1879478912253527,0.3961900624093996,0.24725309306187776,0.35655684452872266,0.6188668731466803,0.23753261512286603,0.14360051173045377,36047
"Miami-Dade County, Florida, USA",0.1568575082133999,0.43873529471340844,0.2896604203856093,0.2716042849009823,0.7335838701407279,0.17870833895831065,0.08770779090096142,12086
"Dallas County, Texas, USA",0.14240691816624215,0.3796784950255878,0.318129214420417,0.30219229055399516,0.6567704727061773,0.23092438291820294,0.11230514437561978,48113
"Riverside County, California, USA",0.11955884004089298,0.3315300618766085,0.29430956670168745,0.3741603714217041,0.6656020257601422,0.21752566027280895,0.11687231396704895,06065
"Queens County, New York, USA",0.1141468086346707,0.33238327170051707,0.29297384901141615,0.37464287928806683,0.6316170016290548,0.25201614470102945,0.11636685366991574,36081
"King County, Washington, USA",0.08425790313754095,0.22752144967373675,0.2455650505834562,0.526913499742807,0.4877803554035219,0.2582696718709948,0.25394997272548325,53033
