longname,Population,Population [GHS-POP],Population (2010),Population Change (2010-2020),Population (2000),Population Change (2000-2020),PW Density (r=1km),PW Density (r=1km) [GHS-POP],PW Density (r=1km) (2010),PW Density (r=1km) Change (2010-2020),PW Density (r=1km) (2000),PW Density (r=1km) Change (2000-2020),AW Density,AW Density [GHS-POP],AW Density (2010),AW Density (2000),Area,Compactness
"New Taipei [Taipei] 50MPC, China",,60939130.0,,,,,,8132.5933,,,,,,172.20656622285665,,,353872.26710703474,0.08056918410290032
"Riyadh 50MPC, Iran-Saudi Arabia-United Arab Emirates",,55074004.0,,,,,,8427.493,,,,,,49.397553827524575,,,1114913.5884804174,0.20336569854999337
"Kaohsiung 50MPC, China-Russia-India",,54336584.0,,,,,,3230.7898,,,,,,2.866638867791868,,,18954806.135679975,0.08360907093099898
"Davao City 50MPC, Indonesia-Philippines-Malaysia",,52790140.0,,,,,,2159.625,,,,,,9.989732368931891,,,5284439.867896517,0.08852460891318757
"Baghdad 50MPC, Iran-Iraq",,52708376.0,,,,,,9307.88,,,,,,104.31849746200228,,,505263.94917832164,0.6017624417259038
"Khartoum 50MPC, Sudan-Ethiopia-Yemen",,51813176.0,,,,,,5404.7314,,,,,,44.84504463305895,,,1155382.4156929096,0.2476801771900814
"Abidjan 50MPC, Ivory Coast-Burkina Faso-Nigeria",,51576624.0,,,,,,5878.7583,,,,,,6.401491980329859,,,8056969.243807807,0.16818577416365635
"Dalian 50MPC, China-North Korea",,51318540.0,,,,,,5809.8877,,,,,,101.06908308860321,,,507757.0551917553,0.24220670137387143
"Chennai 50MPC, India",,50570404.0,,,,,,7232.072,,,,,,585.5065872873525,,,86370.34168017184,0.878107348542987
"Pune 50MPC, India",,50287904.0,,,,,,5769.516,,,,,,143.2870014170191,,,350959.2880211323,0.29298488308326587
"Antananarivo 50MPC, Madagascar-Mozambique-Tanzania",,50154468.0,,,,,,2382.8743,,,,,,16.898501882856426,,,2967983.09978483,0.6475514691811081
"Sapporo 50MPC, Japan-China-Russia",,50144276.0,,,,,,2751.3796,,,,,,23.849403283148384,,,2102537.9714817083,0.26475775351380004
"Naples 50MPC, Italy-Serbia-Croatia",,50123164.0,,,,,,2670.992,,,,,,87.28959176335044,,,574216.9597480556,0.761151803273322
"Lima 50MPC, Brazil-Peru-Chile",,50098680.0,,,,,,5178.542,,,,,,1.9844428197741828,,,25245716.077473532,0.14917836362501619
"Saint Petersburg 50MPC, Ukraine-Russia-Bulgaria",,50000336.0,,,,,,3365.1196,,,,,,43.16981124595221,,,1158224.5684404804,0.05434111875736216
"Kolkata 50MPC, India-Bangladesh",,49885416.0,,,,,,17525.992,,,,,,2066.112959376288,,,24144.57339982963,0.9886641404896956
"Wenzhou 50MPC, China",,49871468.0,,,,,,5630.963,,,,,,426.66951048874404,,,116885.47405900394,0.860945789523836
"Chattogram 50MPC, India-Bangladesh",,49816964.0,,,,,,5701.179,,,,,,362.9384301978885,,,137260.09663081917,0.28307435911884304
"Dublin 50MPC, United Kingdom-Algeria-Ireland",,49793412.0,,,,,,2785.8977,,,,,,8.086104278410836,,,6157898.820689697,0.20298799117669702
"New York 50MPC, USA",49777362.0,49465930.0,47276215.0,0.052904975578099894,44911399.0,0.10834583442835971,5183.702280330725,4152.812,4773.268554140946,0.08598588609344347,4814.432167073677,0.07670065761493512,192.944950850379,191.73778326638495,183.2501083437678,174.0837064181256,257987.37816466796,0.8889275145254808
"São Paulo 50MPC, Brazil",,49776220.0,,,,,,7693.5903,,,,,,282.39108367689647,,,176266.967610608,0.9884977604352664
"Quezon City [Manila] 50MPC, Philippines",,49773076.0,,,,,,10906.765,,,,,,375.2497719788082,,,132639.85674802988,0.9968182483612366
"Beni 50MPC, Rwanda-Uganda-Democratic Republic of the Congo",,49441560.0,,,,,,3099.2056,,,,,,249.0092666529353,,,198553.0926803249,0.999175935384044
"Atlanta 50MPC, USA",49398901.0,50317950.0,45751233.0,0.07972829934441329,40414345.0,0.2223110630643649,672.3550330158348,596.24927,613.2199556406365,0.0964337132724576,597.3480080306313,0.12556671149283766,60.959264274138775,62.093392193106276,56.457966611741,49.87213657488491,810359.2060732413,0.774066773602294
"Bhubaneshwar 50MPC, China-India",,49342440.0,,,,,,3254.3218,,,,,,19.57944763032429,,,2520113.9956358797,0.1321456056133231
"Seoul 50MPC, South Korea",,49257412.0,,,,,,10161.274,,,,,,449.3439515027187,,,109620.730033799,0.9304787586469339
"Beijing 50MPC, China",,49194660.0,,,,,,11838.259,,,,,,1409.5660519711626,,,34900.570946076135,0.9041264227718581
"Harbin 50MPC, China",,49179400.0,,,,,,6673.376,,,,,,171.50451815359028,,,286752.7953750907,0.8336882128501543
"Asansol 50MPC, India",,49119170.0,,,,,,5746.477,,,,,,953.2364756162887,,,51528.83807582306,0.8888686040734469
"Guatemala City 50MPC, Guatemala-Mexico-Honduras",,49102340.0,,,,,,2906.625,,,,,,56.08654910454205,,,875474.436989805,0.9957638542035762
"Shanghai 50MPC, China",,49088844.0,,,,,,15724.324,,,,,,2924.4325629716027,,,16785.767133614245,0.9616625015202919
"Istanbul 50MPC, Turkey",,49085960.0,,,,,,12337.531,,,,,,139.6213349921267,,,351564.8951699823,0.9064301316727355
"Ho Chi Minh City 50MPC, Vietnam-Cambodia",,49073996.0,,,,,,6469.045,,,,,,288.04301441801806,,,170370.37367197563,0.9984094277332746
"Kochi 50MPC, India",,49031400.0,,,,,,4627.62,,,,,,513.1581438321025,,,95548.32285004586,0.8735161326026857
"Qingdao 50MPC, China",,49008950.0,,,,,,4503.162,,,,,,324.06657899436726,,,151231.12093842865,0.29897666390941124
"Jinan 50MPC, China",,49007156.0,,,,,,4099.3906,,,,,,788.5377296480871,,,62149.411698881144,0.920762927935159
"Nagpur 50MPC, India",,48979496.0,,,,,,4310.1987,,,,,,252.69524923413402,,,193828.32146012445,0.36040755085150666
"Zhengzhou 50MPC, China",,48965870.0,,,,,,4586.055,,,,,,886.7251322399815,,,55221.02647108459,0.9445049591303016
"Milan 50MPC, Italy-Germany-Switzerland",,48955620.0,,,,,,2342.3933,,,,,,225.29139382000088,,,217299.11280638466,0.813834506664827
"Recife 50MPC, Brazil",,48952250.0,,,,,,4063.1892,,,,,,40.0799569804415,,,1221364.7839963515,0.9988868254405345
"Jakarta 50MPC, Indonesia",,48947020.0,,,,,,9937.253,,,,,,2687.6001244877325,,,18212.166145560623,0.9990543680067754
"Bengaluru 50MPC, India",,48893196.0,,,,,,12866.696,,,,,,734.9800451679624,,,66523.16116803771,0.9982275952313363
"Tashkent 50MPC, Uzbekistan-Tajikistan-Afghanistan",,48892892.0,,,,,,3920.1443,,,,,,116.4125250306801,,,419996.83442236524,0.9063856706310036
"Bangkok 50MPC, Thailand",,48877132.0,,,,,,3881.7236,,,,,,202.7073576973369,,,241121.64726146066,0.9970251365439201
"Sirajganj 50MPC, Bangladesh-India",,48872550.0,,,,,,4161.147,,,,,,1195.47933891103,,,40881.13479612147,0.9843761039642654
"Bucharest 50MPC, Romania-Ukraine-Hungary",,48863572.0,,,,,,2419.4387,,,,,,96.4884460452218,,,506418.8926526894,0.7946712520730164
"Osaka [Kyoto] 50MPC, Japan",,48843690.0,,,,,,3602.5237,,,,,,102.55108903804981,,,476286.3901121264,0.8765436024285529
"Kunming 50MPC, China",,48836676.0,,,,,,5495.6133,,,,,,211.18651739438076,,,231249.02386074123,0.8184765300413597
"London 50MPC, United Kingdom",,48833052.0,,,,,,3699.8455,,,,,,472.5624117532608,,,103336.72502394715,0.7133418941330391
"Multan 50MPC, Pakistan",,48821584.0,,,,,,4349.083,,,,,,585.4437707643556,,,83392.43910010098,0.9375657022168559
"Makassar 50MPC, Indonesia",,48809824.0,,,,,,2847.9856,,,,,,34.47623662482834,,,1415752.6684582857,0.9834006208179163
"Guangzhou 50MPC, China",,48807704.0,,,,,,15611.592,,,,,,3254.0198796828795,,,14999.202772159018,0.9889090237111968
"Surabaya 50MPC, Indonesia",,48798740.0,,,,,,3494.2498,,,,,,615.1219127322591,,,79331.81860364055,0.9989991995560019
"Addis Ababa 50MPC, Ethiopia",,48737700.0,,,,,,4936.606,,,,,,321.1010427679416,,,151783.0636109847,0.9989636326929157
"Bogota 50MPC, Colombia-Venezuela",,48732144.0,,,,,,8867.737,,,,,,71.48028060404734,,,681756.4730886172,0.9989331074038242
"Johannesburg 50MPC, South Africa-Mozambique",,48700520.0,,,,,,3605.34,,,,,,87.27007106335633,,,558043.776137691,0.9800522788114563
"Kano 50MPC, Nigeria-Niger",,48696680.0,,,,,,4566.5547,,,,,,282.3368977997946,,,172477.20853875382,0.9982743867218872
"Xuzhou 50MPC, China",,48671710.0,,,,,,3745.1587,,,,,,679.423228399639,,,71636.80893666935,0.9435344211485862
"Lusaka 50MPC, Malawi-Mozambique-Zimbabwe",,48658100.0,,,,,,1891.4775,,,,,,65.4285020881144,,,743683.539239073,0.9961627070261261
"Dar es Salaam 50MPC, South Africa-Angola-Tanzania",,48637820.0,,,,,,4137.237,,,,,,5.760733245207938,,,8442991.183537155,0.16840257645448245
"Haikou 50MPC, Vietnam-China-Thailand",,48592884.0,,,,,,2119.165,,,,,,59.517129330961254,,,816452.0793633375,0.4171449357262608
"Dortmund 50MPC, Germany-Netherlands-Belgium",,48553176.0,,,,,,2455.122,,,,,,424.5319054950696,,,114368.73264773708,0.7371667970842565
"Colombo 50MPC, India-Sri Lanka",,48522284.0,,,,,,3022.1719,,,,,,81.33986062105386,,,596537.584764936,0.24787096218024032
"Mbuji-Mayi 50MPC, Democratic Republic of the Congo-Tanzania-Zambia",,48510970.0,,,,,,6201.584,,,,,,45.928657174637976,,,1056224.3920074368,0.9030743739589268
"Shijiazhuang 50MPC, China",,48509450.0,,,,,,3040.5845,,,,,,599.9690284249184,,,80853.25358769014,0.2230597384531027
"Chongqing 50MPC, China",,48497708.0,,,,,,5081.669,,,,,,349.1204882929279,,,138913.95557200362,0.2742276944589429
"Singapore 50MPC, Indonesia-Thailand-Singapore",,48484744.0,,,,,,4858.1484,,,,,,31.75407390464188,,,1526882.6338818967,0.39690248941189693
"Mexico City 50MPC, Mexico",,48483572.0,,,,,,5364.792,,,,,,281.5297072691382,,,172214.76365778488,0.9920615289188794
"Santo Domingo 50MPC, Venezuela-USA-Costa Rica",,48453012.0,,,,,,3883.4885,,,,,,11.605289839184465,,,4175079.870595022,0.16617991316976874
"Zhuzhou 50MPC, China",,48426196.0,,,,,,4198.4414,,,,,,318.15575401679644,,,152209.0843513188,0.9561749682245907
"Guadalajara 50MPC, Mexico",,48424624.0,,,,,,3417.7537,,,,,,42.22860339534757,,,1146725.681326583,0.46494889205672474
"Moscow 50MPC, Russia-Ukraine-Belarus",,48408350.0,,,,,,6621.644,,,,,,77.59358299869842,,,623870.5589972822,0.6963164252422235
"Ürümqi 50MPC, China-Russia-Kazakhstan",,48344110.0,,,,,,5078.08,,,,,,13.280712838047933,,,3640174.4838197907,0.7742948862874637
"Casablanca 50MPC, Morocco-Portugal-Spain",,48313450.0,,,,,,7288.9277,,,,,,54.30557385883634,,,889659.100658572,0.7389471083622505
"Buenos Aires 50MPC, Argentina-Brazil-Paraguay",,48265760.0,,,,,,4193.51,,,,,,38.78190931446775,,,1244543.1607977657,0.9677005451315248
"Rawalpindi [Islamabad] 50MPC, Pakistan-India",,48252468.0,,,,,,5055.7944,,,,,,584.0927815790678,,,82610.96442512384,0.9386258368409511
"Ludhiana 50MPC, India",,48190744.0,,,,,,4592.0376,,,,,,591.867923548744,,,81421.44908116682,0.9097663227938323
"Dhaka 50MPC, Bangladesh",,48144188.0,,,,,,21569.145,,,,,,2657.6919703325316,,,18115.036858081105,0.9867383222046123
"Hanoi 50MPC, Vietnam-China",,48110420.0,,,,,,4754.9985,,,,,,207.28845647112,,,232094.0626363479,0.9758135257901484
"Kabul 50MPC, Pakistan-India-Afghanistan",,48096476.0,,,,,,4924.5537,,,,,,221.64608728899302,,,216996.72928261288,0.21251978378332848
"Tasikmalaya 50MPC, Indonesia",,48095860.0,,,,,,3563.5203,,,,,,137.0104141885275,,,351037.9870381217,0.6338774502059374
"Nizhny Novgorod 50MPC, Russia",,48076504.0,,,,,,3147.4917,,,,,,20.05413180532471,,,2397336.5921148914,0.5696667225859297
"N'Djamena 50MPC, Chad-Sudan-Nigeria",,48039600.0,,,,,,5137.9043,,,,,,25.13940214719606,,,1910928.4985664678,0.9508314605414174
"Lahore 50MPC, Pakistan",,48034984.0,,,,,,12631.393,,,,,,1459.1615363442463,,,32919.57936360211,0.9596784909854732
"Seattle 50MPC, USA-Canada",,48023404.0,,,,,,1565.6403,,,,,,11.296775108198851,,,4251071.968773291,0.49450248626208004
"Accra 50MPC, Ghana-Togo-Benin",,48021830.0,,,,,,3926.3784,,,,,,121.42503233131202,,,395485.43721175153,0.9840636917065064
