longname,PW Density (r=2km) [GHS-POP],PW Density (r=4km) [GHS-POP],PW Density (r=250m),PW Density (r=500m),PW Density (r=2km),PW Density (r=4km)
"California, USA",,,4558.306134098268,3598.36957091116,2629.9499302380677,2170.847452779882
"Texas, USA",,,2730.9145887454706,1751.2788147024414,1167.4718188099118,992.7685874609139
"Florida, USA",,,3109.8611476294036,1867.2523667772869,1257.8162917604964,1062.9347569151296
"New York, USA",,,12399.512153591051,10749.232225803687,7742.786686363972,6578.255297262877
"Pennsylvania, USA",,,2906.2834335105645,2213.106597571568,1522.806940383192,1231.0894741261
"Illinois, USA",,,3680.3004270111155,3001.8395396018554,2110.384535209046,1802.932949779686
"Ohio, USA",,,1898.4137912932222,1259.7029492987322,838.4759877890583,690.0603368420735
"Georgia, USA",,,2193.262315912332,1040.2475515652022,673.2581268911662,591.2311006990531
"North Carolina, USA",,,1674.1578109305403,838.9096446851707,519.6865678214319,443.13754099372267
"Michigan, USA",,,1785.9922016812784,1219.947254439995,848.911215486679,729.6126836562572
"New Jersey, USA",,,4516.358645403969,3621.712621798018,2488.9975305230405,2146.2875943963086
"Virginia, USA",,,2798.6758103968214,1668.185372854768,1066.870411743595,887.7691370563829
"Washington, USA",,,2744.3081886012924,1933.0507216173644,1320.6596735403148,1033.459918963276
"Arizona, USA",,,2617.797181868837,1896.9915148085863,1325.167595646711,1127.3929096788404
"Massachusetts, USA",,,3769.636018149874,2902.4778366042874,2049.9663586658717,1679.4844901596534
"Tennessee, USA",,,1545.9294995099308,836.6345539725389,526.1913723441897,437.2349341892609
"Indiana, USA",,,1622.569879582302,1041.4973235189962,655.7263147387407,523.619588211009
"Maryland, USA",,,3484.917736896399,2172.175181026695,1453.1599587839344,1238.8481089963702
"Missouri, USA",,,1605.038060513235,1063.4121188683084,729.4126974657029,594.5186208084667
"Wisconsin, USA",,,1801.032452234494,1311.4416604408448,838.1065865115672,641.7185774953306
"Colorado, USA",,,2564.386035022653,1897.2394042909755,1340.3326069100926,1121.5302362382915
"Minnesota, USA",,,1944.0442415937525,1354.3642779652116,941.910652890325,796.5309720510213
"South Carolina, USA",,,1618.2596291018124,765.3868305636463,440.4531171888239,361.92722433353975
"Alabama, USA",,,1289.7559704022926,643.023411426044,378.17380495951727,308.75068703245444
"Louisiana, USA",,,1891.9090402762872,1110.2990084150624,691.375423842739,556.3337129339053
"Kentucky, USA",,,1550.402963962539,890.3044069938538,560.9557700491608,453.6984603821315
"Oregon, USA",,,2415.380473859854,1812.001485910459,1254.090288041269,997.4538533300588
"Oklahoma, USA",,,1541.8963922350947,987.5785310696583,632.4810189924716,500.19260466666276
"Connecticut, USA",,,2451.6528659780456,1687.515097229616,1147.481504782228,887.5229046734568
"Puerto Rico, USA",,,2852.2227923763107,1849.593578400941,1192.0051838268741,968.3861281582406
"Utah, USA",,,2382.904361085364,1844.3156445508241,1320.6345530375,1066.6118836054839
"Iowa, USA",,,1497.0090880906712,1031.4202107632425,597.6429605505044,423.2305860336214
"Nevada, USA",,,3523.574038367673,2638.550640774072,1884.632481767969,1582.181828335137
"Arkansas, USA",,,1231.5688754368057,672.8352371233121,386.7126032389568,288.2007307201745
"Mississippi, USA",,,1148.873706422676,547.0462943152447,277.97257779934114,199.43418189639632
"Kansas, USA",,,1526.6236654452027,1085.1511301006349,712.1121951075932,554.4778625938089
"New Mexico, USA",,,1637.0983961763257,1192.3532392273594,794.5900939695824,617.3435677049545
"Nebraska, USA",,,1690.1518965035586,1329.8087963563419,895.2909365549132,716.4435968545562
"Idaho, USA",,,1736.2374831731722,1189.314754221624,765.1588268187361,555.4148463655795
"West Virginia, USA",,,1223.1890981136944,605.7225676144418,290.32564915385524,198.35317874677733
"Hawaii, USA",,,5130.795267496907,3508.6526142517782,1967.3189039583585,1252.676231157519
"New Hampshire, USA",,,1617.6476140865122,872.5268455798357,482.3803023086726,357.5253253244485
"Maine, USA",,,1233.7634003512946,649.7868268707846,309.2202406735584,212.13205280356388
"Rhode Island, USA",,,2928.798362200386,2418.4264549141258,1665.8612988536954,1372.0503691296378
"Montana, USA",,,1192.329097163785,806.2401379749923,459.38423081307826,305.1022038149795
"Delaware, USA",,,2333.52074749342,1440.480624404781,868.0095413015731,658.035799216673
"South Dakota, USA",,,1296.1765788986024,887.1304307385075,511.87304346325624,344.61773468293825
"North Dakota, USA",,,1478.541133091091,1060.5798214071656,643.2341848249652,466.9580839698432
"Alaska, USA",,,1950.335161507102,1127.1486366691906,600.3175396820725,445.82386938907683
"District of Columbia, USA",,,9496.253972913319,7799.97294887986,5403.862536099544,4475.922009424432
"Vermont, USA",,,1173.6025850657013,636.6066963403151,304.1773341305682,181.40186099668642
"Wyoming, USA",,,1226.2494080476717,851.9270026938565,434.54902227070187,271.29145119086644
