longname,PW Density (r=250m),PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m),PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km),PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km),PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020)
"CA-HD034, USA",1991.9400147226356,2085.737160514524,-0.04497074107302661,3112.9942780135134,-0.36012088785664365,1211.032296672135,1136.3264314239136,0.06574331387734128,1264.999658371249,-0.042661957528589145,675.7597449736605,608.3387708532026,0.11082800793034968,486.35746415513984,0.3894301923535496,506.02945996461403,453.77429028174856,0.11515674378647636,331.60450690751736,0.5260029626368824
"CA-HD027, USA",3031.062156069294,3050.6088116696046,-0.006407460545428894,2725.6649740606463,0.11204501834048682,2070.7676330340273,1966.1409074737378,0.05321425598876465,1785.9895165992327,0.15945116910711263,1146.1613781451433,1050.3538364391034,0.09121453969344798,906.2914481798617,0.2646719556352663,756.7253318275308,684.3511309818766,0.10575594540453945,569.4110937875924,0.3289613428392602
"CA-HD011, USA",3105.7110634415494,3162.1009883521833,-0.017833056287054106,4061.679848433385,-0.23536290910780636,2327.0811153548334,2214.3686617294206,0.05090049167214298,2488.611736038935,-0.06490792370094901,1555.0354936995197,1477.253054091754,0.05265342954771421,1506.9132734608982,0.03193429979424114,1119.0002803801433,1046.1928606700783,0.06959273232225312,1041.6858516179627,0.07422048465196546
"CA-HD032, USA",2165.3423453777227,2348.3152114530967,-0.07791665496309312,2113.0985001532395,0.024723809713884423,1670.0071452988034,1570.265838838943,0.06351873930697575,1422.7263057505854,0.1738077369826661,1122.8679584098222,1004.6898278447563,0.1176264826116331,863.0570725138037,0.301035579419185,866.776577286672,766.287048939206,0.13113823140633354,627.0997192641615,0.38219895601890425
"CA-HD017, USA",15336.365725913118,14153.52896238678,0.08357186159506547,14794.260393573639,0.03664294921934454,13809.704195565833,12819.662267869273,0.07722839393187174,13119.196664895297,0.05263336988599428,9817.808825049657,8815.863274718013,0.11365257367420918,8654.256315816152,0.13444858423098072,7143.432539171869,6436.228482641983,0.10987864374876716,6238.175206656071,0.1451157273604463
"CA-HD006, USA",3499.623237218113,3115.556918217118,0.12327372892958653,3189.5392156117027,0.09721906540250551,2848.8601578502085,2513.787900790469,0.13329376633341855,2458.3207783973908,0.15886428772221298,2110.3184076034586,1853.3594628538958,0.13864495792623224,1855.1520811927796,0.1375446945819226,1802.0508323620206,1578.1188344102316,0.14189805803532918,1603.0843091550537,0.1241148217038175
"CA-HD016, USA",3363.5332592984105,2941.2344586566287,0.14357876142749307,3431.496010826526,-0.019805574977703553,2105.756976724043,1833.5331634109325,0.1484695334371214,1855.4238533478047,0.13491964271374096,1416.0905011107732,1229.0544376567332,0.15217882766090948,1137.0791388822595,0.24537549998743255,1115.0668523139204,956.1459909744763,0.16620982866588882,879.8955117270654,0.26727189473356794
"CA-HD042, USA",3099.3812318608916,3164.1995235258673,-0.02048489394649447,3175.5745655209184,-0.023993558358636164,1998.9708390392348,1935.122809307382,0.03299430373346955,1886.801154546766,0.05944965860454619,1280.7819205145975,1235.6381208371452,0.03653480652318122,1182.976494160382,0.08267740469655994,976.2399066518489,940.3307744782365,0.038187766633009844,891.1778205428822,0.0954490609485199
"CA-HD047, USA",1986.1578007527721,1955.7357527036554,0.015555295753560036,1810.5579916064298,0.09698656986432132,1446.9082184228428,1405.3822197469278,0.029547832676716707,1251.1272410453375,0.15648366605296435,875.121686817347,819.2342344659293,0.06821913684778032,691.2780430595442,0.2659474658621079,612.4188419191986,569.6612429760924,0.07505793920563542,467.05699460872523,0.31122935527868406
"CA-HD020, USA",4612.067361641658,4262.777082041163,0.08193960718050086,4559.4775787629715,0.011534168546773419,3757.181740734344,3529.699845450877,0.06444794323705703,3541.252819092438,0.06097529113926549,2890.250583943193,2665.9287719122312,0.08414396303246276,2621.8146911548442,0.10238553231621006,2385.326174332575,2176.564811144038,0.09591323084875615,2120.754774531842,0.12475341467008484
"CA-HD052, USA",6558.892067739565,6994.512755939532,-0.06228034795276494,7400.994199824859,-0.11378229861404583,5798.6932166383785,6150.931953286353,-0.057265913413296385,6482.333002843147,-0.10546199738657747,4686.028246508406,4854.019112043334,-0.03460861229782246,5053.410879863059,-0.07269993319138314,4193.449253396926,4324.078915884167,-0.030209823878880483,4478.087651729971,-0.06356248927443033
"CA-HD010, USA",3412.4032104873872,3321.4769385296263,0.027375253130016552,3422.647587891627,-0.0029931148741347675,2904.1828478334737,2769.7405811672074,0.04853966020514832,2728.7509298778555,0.06429019081029537,2261.037189719803,2104.1832924852506,0.07454383740937899,2071.5293691090083,0.09148208248300356,1939.6490546086268,1774.7073933548525,0.09294020066145871,1709.7149136037485,0.13448683121107105
"CA-HD040, USA",4166.638503802622,4286.051380559614,-0.02786081317144653,4507.970790240893,-0.07571750180307424,2742.776684227589,2757.8914837530956,-0.005480563544486298,2732.3962748774547,0.0037990131393368133,1926.7590596626565,1862.6171101684868,0.03443646530680028,1747.6582846118192,0.10248043145952766,1682.2966422049326,1602.3538928778335,0.04989081980106259,1479.6576755242957,0.1369498972854209
"CA-HD033, USA",2869.8445117479523,3433.611768153049,-0.16419073980176535,3483.2366910886017,-0.17609833431932195,1929.8860446332594,1993.2800529736828,-0.03180386431191583,1963.0129041633793,-0.01687551796519559,1037.549842913508,959.885922518923,0.08090953161473609,869.3802823755659,0.19343613370022814,608.7598808194285,548.0812473225487,0.11071101920254188,467.3163068720587,0.3026720272059628
"CA-HD080, USA",5167.731749353642,5440.167300317749,-0.05007852441379788,5590.74218184459,-0.07566266136625556,3899.383039022577,3933.7066483544386,-0.008725513211876089,3997.622936918272,-0.02457457830463296,2863.6675404994194,2776.8773540838815,0.03125459836672216,2744.554516810073,0.043399765958297844,2268.9548676733925,2183.698908587487,0.03904199372479094,2091.4778909570246,0.08485720909780095
"CA-HD044, USA",5436.078742726842,5277.367992743294,0.030073845561231546,5344.348129808786,0.017164041467736136,4537.121576753325,4334.682564478038,0.046702153909547774,4266.098704554111,0.06352944246458579,3293.32222330221,3126.731019704853,0.053279672139205085,3063.8773843609965,0.0748870826594997,2651.5622500361533,2536.8864494333493,0.04520336360676233,2504.4260576765214,0.05875046376739001
"CA-HD001, USA",1346.6614296660175,1321.0534806930011,0.019384490747174684,1567.9398858376924,-0.14112687493338047,661.3085102727307,652.5039365011205,0.013493518244230661,706.1269789083092,-0.0634708345301705,324.9395557712427,314.20454021621737,0.03416569202863236,292.5876362035723,0.11057172472305377,222.05657775988502,212.66824867655765,0.044145419646568214,195.00392486176656,0.1387287610610679
"CA-HD078, USA",5442.473882203135,4768.120388253371,0.1414296282474506,5520.3946352724,-0.014115069341490979,3601.874225500813,3407.9377614898312,0.056907278707519396,3598.935353457794,0.000816594841081322,2621.3948346345655,2534.7660893013835,0.03417622860697891,2533.0112617126747,0.03489268849998362,2356.958486600047,2231.1418833285293,0.05639112609181898,2159.7075002461593,0.09133226899078015
"CA-HD015, USA",3450.5819112334184,3204.6110468046395,0.07675529442926926,3631.294043910439,-0.049765216061219,2580.017028854907,2452.738740869431,0.0518923136266684,2480.250354937918,0.04022443690749365,1826.5143448079932,1683.907591591939,0.08468799233884088,1650.4490369544178,0.10667721566154484,1364.334627058861,1259.4739334466162,0.08325753382230634,1206.785158775436,0.13055303766189472
