longname,Population (2010),Population Change (2010-2020),PW Density (r=1km) (2010),PW Density (r=1km) Change (2010-2020),AW Density (2010),White % (2010),Hispanic % (2010),Black % (2010),Asian % (2010),Native % (2010),Hawaiian / PI % (2010),Other / Mixed % (2010),Racial Homogeneity (2010) %,Racial Homogeneity Change (2010-2020) %,Segregation (2010) %,Segregation Change (2010-2020) %,Mean Local Segregation (2010) %,Mean Local Segregation Change (2010-2020) %,Housing Units per Adult (2010),Vacancy % (2010),PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020)
"New Taipei [Taipei] 50MPC, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riyadh 50MPC, Iran-Saudi Arabia-United Arab Emirates",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kaohsiung 50MPC, China-Russia-India",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Davao City 50MPC, Indonesia-Philippines-Malaysia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baghdad 50MPC, Iran-Iraq",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Khartoum 50MPC, Sudan-Ethiopia-Yemen",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abidjan 50MPC, Ivory Coast-Burkina Faso-Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dalian 50MPC, China-North Korea",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chennai 50MPC, India",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pune 50MPC, India",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antananarivo 50MPC, Madagascar-Mozambique-Tanzania",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sapporo 50MPC, Japan-China-Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naples 50MPC, Italy-Serbia-Croatia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lima 50MPC, Brazil-Peru-Chile",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saint Petersburg 50MPC, Ukraine-Russia-Bulgaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kolkata 50MPC, India-Bangladesh",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wenzhou 50MPC, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chattogram 50MPC, India-Bangladesh",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dublin 50MPC, United Kingdom-Algeria-Ireland",,,,,,,,,,,,,,,,,,,,,,,,,,,,
