longname,Population,PW Density (r=1km),AW Density,Population [GHS-POP],PW Density (r=1km) [GHS-POP],AW Density [GHS-POP],Area,Compactness
"Brevig Mission ANVSA, USA",428.0,53.22022302643004,66.07419751246134,,,,6.477566374064261,0.2762885450577137
"Fort Yukon ANVSA, USA",428.0,77.46234697513762,23.751098244590676,,,,18.020219342803536,0.17719133112966617
"Anaktuvuk Pass ANVSA, USA",425.0,115.54199489808752,31.391318382729523,,,,13.5387751103127,0.21484687507576325
"Russian Mission ANVSA, USA",421.0,89.78682639901115,28.423154247834056,,,,14.811867688192336,0.46742291161602345
"St. Paul ANVSA, USA",413.0,86.79532162854137,3.7631885816452137,,,,109.74735680650959,0.1934126759569969
"Tununak ANVSA, USA",411.0,130.82536322153797,2.6070572936278564,,,,157.6490094807514,0.17301197229689788
"Chilkoot ANVSA, USA",410.0,148.8844028862237,336.009017753661,,,,1.220205346692761,0.3961381541673644
"Eek ANVSA, USA",404.0,105.437786111107,210.28139252554948,,,,1.9212351371075949,0.22363177229112965
"False Pass ANVSA, USA",394.0,108.85551792995928,12.03874519667402,,,,32.72766335388937,0.1771394569054656
"Atmautluak ANVSA, USA",386.0,122.8676160669432,142.0076621322129,,,,2.7181631906637813,0.12764246162015408
"Saxman ANVSA, USA",384.0,201.55647251396113,158.96046743327,,,,2.4156949598880573,0.44069018638921914
"Hydaburg ANVSA, USA",380.0,117.34242656886877,502.7125722644329,,,,0.7558991379274983,0.3370336195453809
"Kwigillingok ANVSA, USA",380.0,73.82946512754458,6.1510939226285,,,,61.77762927697542,0.08601794045231001
"Elim ANVSA, USA",366.0,68.67840189115186,0.45865264889897206,,,,797.9895044291334,0.16651874039265954
"Napakiak ANVSA, USA",358.0,90.3075377651264,65.74864186762899,,,,5.444979391677131,0.3617128033520905
"Nenana ANVSA, USA",358.0,73.269956650451,23.47542857770268,,,,15.249987825143856,0.19937720901237074
"Angoon ANVSA, USA",357.0,50.636237384492034,4.954051450667405,,,,72.06223099517977,0.11062937302761465
"Clifton Choctaw SDTSA, USA",349.0,14.71430771863351,2.7548263266141806,,,,126.68675212964821,0.28285090580259353
"Point Lay ANVSA, USA",330.0,60.4229330009849,4.004933060193034,,,,82.39838095673298,0.02985342496907579
"Koyuk ANVSA, USA",312.0,96.38464162604949,23.673343861198035,,,,13.179380227369817,0.2591405100904093
"Newtok ANVSA, USA",308.0,54.842313052691665,14.104524172382037,,,,21.83696495079873,0.1422218093834658
"Nightmute ANVSA, USA",306.0,97.40282517223994,22.559577297048925,,,,13.56408393520869,0.1952912365130495
"Huslia ANVSA, USA",304.0,43.79902151009198,3.6624459999071655,,,,83.00463679401845,0.26855169949926605
"McGrath ANVSA, USA",301.0,32.16198859969311,2.424155314325271,,,,124.16696167166955,0.36702259463645115
"Kaktovik ANVSA, USA",283.0,88.49802174850473,105.24344774072277,,,,2.6890035063959266,0.14744789108082607
"Lower Kalskag ANVSA, USA",278.0,69.78085504886668,61.31720301941545,,,,4.533801059255332,0.3700187690586944
"Atqasuk ANVSA, USA",276.0,63.87649042092548,2.4931428664269912,,,,110.70364386921199,0.2766868928178408
"Ambler ANVSA, USA",274.0,45.30223475044927,8.931412634411824,,,,30.678237722922564,0.24343566084525028
"Shungnak ANVSA, USA",272.0,86.58028904199107,11.698614116100655,,,,23.250617321042313,0.3654682114367159
"Tazlina ANVSA, USA",263.0,21.571243731763122,7.710129596383455,,,,34.11097008322193,0.2426030312747516
"Goodnews Bay ANVSA, USA",258.0,40.70912017255953,29.720672963360418,,,,8.680826316350974,0.29608685916951155
"Miami OTSA, USA",257.0,6.45908971380727,3.5333211573922365,,,,72.73609970673556,0.5084454077938055
"Teller ANVSA, USA",249.0,35.846295254938454,57.233885752545234,,,,4.350569539810195,0.09644240051822078
"Nanwalek ANVSA, USA",247.0,56.83055737173679,11.251476901571477,,,,21.952673605498127,0.17513234951871912
