longname,PW Mean % of parkland within 1km,Within 10km of Hospital %,Mean distance to nearest Hospital,Within 2km of Public School %,Mean distance to nearest Public School,Within 30km of Airport %,Mean distance to nearest Airport,Within 10km of Active Superfund Site %,Mean distance to nearest Active Superfund Site,Within 0.5mi of a grocery store %,Within 1mi of a grocery store %,Within 10mi of a grocery store %,Within 20mi of a grocery store %
"Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0010652654384071358,0.25827995010838106,30.455947020893962,0.3245013865510602,6.370302169617852,0.0,182.5865340696723,0.014010825996924157,97.68574877722499,0.029616870258505568,0.07224509308656013,0.4031921003982746,0.6569950157042193
"Oneida Indian Nation Reservation, USA",0.012070380218354982,0.46853035651814395,10.869050463238695,0.5469420856788474,2.78472159929316,0.42513437013007666,32.62563768920372,0.0,26.428624335570767,0.19376957594102096,0.4255166797996849,0.9461391311891393,0.9928446671458874
"Puyallup Reservation and Off-Reservation Trust Land, USA",0.05373545362448527,1.0,4.60570311747958,0.9795719307286012,0.9125244436357653,1.0,22.779220520531222,0.9928409739220052,5.518357443140718,0.30188828491709996,0.791561942911001,1.0,1.0
"Osage Reservation, USA",0.008290918216985167,0.35296171810205595,13.059721620412061,0.4921210004801606,3.3729025307743044,0.5119167139552141,41.66979866247451,0.0,35.39962582206855,0.06352563079189921,0.16175955371522,0.8663545233620051,0.9979761576534205
"Yakama Nation Reservation and Off-Reservation Trust Land, USA",0.005967901053364088,0.44870902417415515,9.898090098502305,0.6153651436527022,2.3137897346059715,0.9369700037969877,23.32774877733868,0.04569041893431211,21.212212129924527,0.3801402194950617,0.5597861905268422,0.9090438710108119,0.9980096600603806
"Flathead Reservation, USA",0.0034129598679639595,0.5679924794969042,11.888860868675193,0.43220201627281274,4.0734325647324825,0.0831469415540212,61.64773278740904,0.0,62.82945782943748,0.23540109022105937,0.3909707171100616,0.9401996218397785,0.9999616346200654
"Oneida (WI) Reservation and Off-Reservation Trust Land, USA",0.0243778006409108,0.7621541866469937,7.405913226365591,0.6430837329398745,1.979455479638438,1.0,5.997614170706569,0.4769826632239026,10.90211373285075,0.07325953431655807,0.31025391413791514,1.0,1.0
"Agua Caliente Indian Reservation and Off-Reservation Trust Land, USA",0.007346261732722645,1.0,4.396381658913797,0.8388704318936877,1.3102466351797124,1.0,4.510774233384159,0.0,70.20986733315097,0.29624828340518605,0.766956347666887,1.0,1.0
"Wind River Reservation and Off-Reservation Trust Land, USA",0.005447408997372651,0.6407469234054117,10.333207728470816,0.48786831786948254,3.9602473177740642,0.8814783182576963,13.743818469684047,0.0,185.82474520029945,0.06685469722424453,0.2862414949557923,0.9094949221342611,0.9920074838121126
"Isabella Reservation and Off-Reservation Trust Land, USA",0.0390808976344916,0.7234866259971844,6.567921283634892,0.4567495698420147,3.1726110254705104,0.0,57.95166896820434,0.030893164398560925,21.483789480734142,0.23228713368182152,0.3811454339234127,0.9982154783608573,1.0
