longname,2020 Presidential Election,2016 Presidential Election,2016-2020 Swing,geoid
"Los Angeles County, California, USA",0.44170426005315583,0.49506769108331977,-0.053363431030163944,06037
"Cook County, Illinois, USA",0.50296029254509,0.5313714680900077,-0.028411175544917677,17031
"Harris County, Texas, USA",0.13262537227554455,0.12346589900902043,0.009159473266524124,48201
"Maricopa County, Arizona, USA",0.021810978999321967,-0.028354090641829754,0.05016506964115172,04013
"San Diego County, California, USA",0.2276882920611076,0.1988300443102938,0.028858247750813804,06073
"Orange County, California, USA",0.0905208209946887,0.08670301445105667,0.0038178065436320213,06059
"Kings County, New York, USA",0.5457765367968231,0.6178990246555947,-0.07212248785877151,36047
"Miami-Dade County, Florida, USA",0.07332091078285731,0.29271698958473935,-0.21939607880188206,12086
"Dallas County, Texas, USA",0.3171881688963023,0.2627011174134245,0.0544870514828778,48113
"Riverside County, California, USA",0.07962103666001683,0.05446687696314403,0.025154159696872798,06065
"Queens County, New York, USA",0.45021847239546087,0.534547985170167,-0.08432951277470613,36081
"King County, Washington, USA",0.5271681461341017,0.5027354575193606,0.024432688614741127,53033
"Clark County, Nevada, USA",0.09347809767479756,0.107121721289036,-0.013643623614238445,32003
"San Bernardino County, California, USA",0.10709121681911622,0.1077144373360302,-0.0006232205169139776,06071
"Tarrant County, Texas, USA",0.0020612286496087505,-0.08616330777978042,0.08822453642938917,48439
"Bexar County, Texas, USA",0.18179374449338112,0.13321219819095592,0.0485815463024252,48029
"Broward County, Florida, USA",0.29734379559001545,0.3492959639248654,-0.051952168334849946,12011
"Santa Clara County, California, USA",0.47426703938313464,0.5261956938448551,-0.05192865446172046,06085
"Wayne County, Michigan, USA",0.3812448699783127,0.37336706720417456,0.007877802774138132,26163
"New York County, New York, USA",0.741981929990121,0.7683167257610948,-0.02633479577097375,36061
"Alameda County, California, USA",0.6252305089641974,0.6458483663114273,-0.020617857347229873,06001
"Middlesex County, Massachusetts, USA",0.45188375063204056,0.37723982377278936,0.0746439268592512,25017
"Philadelphia County, Pennsylvania, USA",0.6351856051822491,0.6715853516448252,-0.036399746462576155,42101
"Sacramento County, California, USA",0.25255260439435034,0.24657132618822478,0.005981278206125568,06067
"Suffolk County, New York, USA",-0.00030270192169087445,-0.06842774292812914,0.06812504100643826,36103
"Palm Beach County, Florida, USA",0.12761377971106244,0.15342801454755023,-0.025814234836487787,12099
"Bronx County, New York, USA",0.6710728099900004,0.7884091906561808,-0.11733638066618035,36005
"Hillsborough County, Florida, USA",0.0686096247099063,0.06797191336246489,0.0006377113474414081,12057
"Orange County, Florida, USA",0.23047737296216148,0.24402520737376882,-0.01354783441160734,12095
"Nassau County, New York, USA",0.09525194289223785,0.06202082604086225,0.03323111685137559,36059
"Franklin County, Ohio, USA",0.3140045187126758,0.26264298042634676,0.051361538286329056,39049
"Travis County, Texas, USA",0.4497292342622529,0.38619603444634215,0.06353319981591077,48453
"Hennepin County, Minnesota, USA",0.43209443773487916,0.3493029911305773,0.08279144660430188,27053
