longname,Silent % [StatCan],Boomer % [StatCan],Gen X % [StatCan],Millennial % [StatCan],Gen Z % [StatCan],Gen Alpha % [StatCan]
"Amos CMA, QC, Canada",0.07739361702127663,0.28138297872340423,0.18191489361702134,0.17792553191489358,0.17101063829787225,0.11037234042553197
"Camrose CMA, AB, Canada",0.1230359520639149,0.24820239680426093,0.1677762982689746,0.1840213049267643,0.1683089214380826,0.1086551264980027
"Swift Current CMA, SK, Canada",0.10636023516835912,0.24585783003741316,0.1710315339390702,0.19535008017103156,0.17290219134152868,0.10849812934259745
"Tillsonburg CMA, ON, Canada",0.14235831318828898,0.2925060435132957,0.16411496105291432,0.1614289551437014,0.14638732205210853,0.09320440504969119
"Matane CMA, QC, Canada",0.11930585683297171,0.35683297180043405,0.1667570498915402,0.13855748373101948,0.14018438177874182,0.07836225596529284
"Petawawa CMA, ON, Canada",0.035034482758620714,0.1503448275862069,0.15944827586206894,0.31255172413793114,0.1848275862068966,0.15779310344827577
"Summerside CMA, PE, Canada",0.10436223081170626,0.28547763666482606,0.17973495306460516,0.1595803423522916,0.17586968525676427,0.09497515184980673
"Dawson Creek CMA, BC, Canada",0.06061452513966482,0.2234636871508377,0.17821229050279302,0.22402234636871513,0.18156424581005615,0.13212290502793306
"Powell River CMA, BC, Canada",0.13160124258683986,0.3592205591640779,0.16323072578367695,0.13894380118610555,0.12680033888732004,0.08020333239197962
"Steinbach CMA, MB, Canada",0.0848076383038472,0.18590283628194337,0.16933445661331092,0.21005335579893283,0.20612187587756242,0.14377983712440323
"Port Hope CMA, ON, Canada",0.11959654178674359,0.3288184438040345,0.16368876080691647,0.16887608069164262,0.137463976945245,0.0815561959654178
"Lloydminster (Saskatchewan part / partie de la Saskatchewan) CMA, SK, Canada",0.026268656716417916,0.15910447761194021,0.19432835820895492,0.24895522388059707,0.21492537313432866,0.15641791044776127
"Sylvan Lake CMA, AB, Canada",0.034660991182730305,0.19975676497415626,0.20158102766798427,0.2271207053815749,0.2012769838856796,0.1356035269078746
"Canmore CMA, AB, Canada",0.05834633385335414,0.2667706708268331,0.2152886115444618,0.23650546021840876,0.1372854914196568,0.08580343213728547
"Ladysmith CMA, BC, Canada",0.11893443441467504,0.3508210502848305,0.16462497513200364,0.14362748399352543,0.13525829042878224,0.08673376574618308
"Dolbeau-Mistassini CMA, QC, Canada",0.11544715447154479,0.33398373983739826,0.1658536585365854,0.13821138211382122,0.15349593495934957,0.09300813008130081
"Cowansville CMA, QC, Canada",0.13186451825057544,0.29891483064781327,0.16705031239723775,0.16409075961854655,0.14008549819138444,0.0979940808944426
"Kenora CMA, ON, Canada",0.08797850906648752,0.2874412357286769,0.1776359973136334,0.1910678307588985,0.15748824714573548,0.09838817998656813
"Brooks CMA, AB, Canada",0.04913101604278077,0.15942513368983952,0.21958556149732622,0.20922459893048126,0.21557486631016054,0.1470588235294117
"Strathmore CMA, AB, Canada",0.07399650959860384,0.22303664921465968,0.2041884816753927,0.1849912739965096,0.19092495636998258,0.12286212914485166
"High River CMA, AB, Canada",0.11154116819141449,0.2698803659394793,0.1850809289232934,0.15482054890921879,0.1766361717100633,0.1020408163265306
