longname,Fair or poor self-rated health status %,Physical health not good for two weeks in last year %,Arthritis %,Current asthma %,High blood pressure %,Cancer (excluding skin cancer) %,Chronic kidney disease %,COPD %,Coronary heart disease %,Diagnosed diabetes %,Obesity %,Stroke %,Disability %,Hearing disability %,Vision disability %,Cognitive disability %,Mobility disability %,Self-care disability %,Independent living disability %,Binge drinking among adults %,Smoking %,No leisure-time physical activity %,Sleeping less than 7 hours %,Attended doctor in last year %,Attended dentist in last year %,Cholesterol screening in last year %
"New York-Newark-Jersey City MSA, NY-NJ-PA, USA",0.1543958031734865,0.10239299029510639,0.20773336351861862,0.10076812758057802,0.28487246206204286,0.060226608556348975,0.028589773894711724,0.054216455758945466,0.05057445346509112,0.1032959849887414,0.2819901914641548,0.027772376509027877,0.2604468018297273,0.052360822679489855,0.05397472846959577,0.11881364755101956,0.12502158263692437,0.037697214789006624,0.07535734610965168,0.16164044855811555,0.13283989870126406,0.2575979224385546,0.34490576289162084,0.7577344663563107,0.647096310975321,0.874681500489195
"Los Angeles-Long Beach-Anaheim MSA, CA, USA",0.17665232290342542,0.10991381553413233,0.174302856491276,0.0935391381567792,0.261304809158717,0.05031683839378639,0.02786378325652475,0.04632771105543241,0.043263557534214035,0.10704194840842476,0.2789901829102902,0.026096928961463838,0.26133584317531167,0.05465590067744613,0.05727063831710507,0.1307124037211344,0.11443701519632962,0.0386523114836134,0.07359089276594606,0.15483402608852742,0.10959289885824226,0.2077328893759062,0.3261506524741865,0.6277162343175955,0.6117655506041303,0.8470384312911359
"Chicago-Naperville-Elgin MSA, IL-IN-WI, USA",0.1533843527804434,0.10417105645550864,0.20176527884332804,0.09605155951675387,0.2861929618258251,0.05855582575287331,0.02776200206633745,0.05588283255560679,0.04878651514836926,0.10002686516958985,0.3299665639500757,0.02816819847895351,0.28844160099660143,0.06114978697596443,0.050282082044345235,0.13608959875358068,0.13689203226190358,0.036977029492237544,0.07810971364152153,0.17444775309267882,0.14173585599649635,0.26063904456772913,0.33061464274822605,0.7590643419139442,0.6412882736241962,0.8220352566253833
"Dallas-Fort Worth-Arlington MSA, TX, USA",0.1762663530102439,0.11013883706205292,0.198940626348792,0.09839265530123292,0.3040440390925949,0.05270752146610241,0.026628131919622634,0.05946852493267995,0.046188410105886014,0.09993619170401907,0.3435364287867994,0.026684200255561768,0.2830721058338264,0.05545380317620897,0.054401627425053105,0.1416166134105799,0.1221032271782457,0.03899362543965684,0.08014589716753219,0.18403536969885098,0.15697049255522047,0.2499153938040948,0.3433005415057115,0.6994897048555019,0.5611306368089278,0.8323026707943247
"Houston-The Woodlands-Sugar Land MSA, TX, USA",0.18987207919220847,0.1119227651378068,0.18973744817316499,0.09686444158977586,0.3069642914304912,0.05052915537476567,0.02754940532404248,0.05912513256290298,0.046938321868137366,0.10918249167194265,0.36302496714756816,0.0276513302918094,0.2813691276554767,0.055412899812525125,0.06231782907123179,0.14830248543666683,0.12458500202773494,0.04313223154760757,0.08339017706928474,0.18612735008129444,0.16196857913847645,0.26551996570956354,0.34235947387268767,0.6983449471243834,0.5302412875604549,0.8211483024649099
"Washington-Arlington-Alexandria MSA, DC-VA-MD-WV, USA",0.12710930063880926,0.08358000459406056,0.2051893422827852,0.09886505128803674,0.29182015139351947,0.055411436755978406,0.024689241138749547,0.04403665735711273,0.039308032346311673,0.08680894480096749,0.3075978310549078,0.024240071521955536,0.20917438401918134,0.04188875055647512,0.039016067689462454,0.10236057338977327,0.09263445740794365,0.028103214256346674,0.05768172995899857,0.16114138369844275,0.11039535139602742,0.18348353075480986,0.3349103519620253,0.7193235321948133,0.6857102701323864,0.8769182470621714
"Philadelphia-Camden-Wilmington MSA, PA-NJ-DE-MD, USA",0.1584024314032554,0.10989444530487699,0.24011314424514618,0.10643761113823738,0.3083686212236,0.06552361051163721,0.02886839906031127,0.059680888794123296,0.05368738478306981,0.09842770995424563,0.3204816241820272,0.030120850073513623,0.273004944503016,0.05713430315587202,0.049965149979406584,0.13040879645201112,0.12550415365163722,0.03706064876021245,0.07680846944291833,0.1718445011352779,0.15833415066200632,0.24762653133359666,0.3528336944668599,0.7452709181097511,0.6601036440167374,0.8565809220156775
"Miami-Fort Lauderdale-West Palm Beach MSA, FL, USA",0.17895230729346315,0.12323489349511704,0.2682640394241054,0.10427776663481522,0.33952163909326377,0.06957067636563793,0.03160970520186504,0.07570033914847978,0.06344030106625857,0.11329064190900705,0.35925843432690985,0.0331985653107032,0.3082986938889584,0.07226797181784005,0.05478410305238322,0.1436927235547794,0.14800279890633872,0.042378652452574765,0.08501597775378017,0.16555453666054973,0.17630184278569141,0.26107542037802983,0.35964702175005564,0.7343522688376879,0.5955318054912486,0.8355309634739941
"Atlanta-Sandy Springs-Roswell MSA, GA, USA",0.15796882347809632,0.10602728736981674,0.21388442761681473,0.0994674489061457,0.32748761186812364,0.05304548478269168,0.027433088853473047,0.05326939216976493,0.04483869270139963,0.10234254827085602,0.33171550130637584,0.027557703586033027,0.2615342394897296,0.04730500726079664,0.0508459164417741,0.13360540585192243,0.12017533351672878,0.03646666145127868,0.07504512450922467,0.15922113945748453,0.15107527682512684,0.23092844093972378,0.3643515370938852,0.7449534024869643,0.6032032009268221,0.8603740315398813
"Boston-Cambridge-Newton MSA, MA-NH, USA",0.12140787220814861,0.09186328850348581,0.2226515247277677,0.10811125953085829,0.26178532915360014,0.06649324482338126,0.02587764041602798,0.05379007561011699,0.047330934465571774,0.07863013462768938,0.2639021978795074,0.02480255948857344,0.24041925235282272,0.05512883026552895,0.03812076027958904,0.12192062842393553,0.10282367050265205,0.029032496798194078,0.06294610181266687,0.18173783818563238,0.1195221278159577,0.2011853386131444,0.30092731154538416,0.7264749377769196,0.7267441528706287,0.8715797544136058
