longname,Population,PW Density (r=1km),AW Density,Area,Compactness
"77494, USA",138925.0,1704.263803645665,1304.863921367786,106.46704052816165,0.36988616508371047
"08701, USA",135158.0,3471.2998399566404,2086.4966472100564,64.7774824755772,0.6079295568413119
"77449, USA",132896.0,2425.951461600743,1711.128698278384,77.66569524180764,0.397502010025342
"75034, USA",130367.0,1500.0468815161275,931.9120642179216,139.89195440817312,0.28316360373956856
"11368, USA",117518.0,26923.29887628595,16969.47738884747,6.92525746710586,0.41608307173177855
"75070, USA",113901.0,2026.9209419540714,1826.8983206067733,62.34665537497988,0.24994152692545224
"60629, USA",113605.0,6631.753567873036,6420.008951928139,17.695458191827083,0.39579068553366553
"11211, USA",111983.0,21095.987797790218,17976.867444178453,6.229283291303572,0.17564161868039607
"78660, USA",110697.0,1493.6877267503812,940.5644821608286,117.69209033461222,0.24907292001445094
"77084, USA",108955.0,2277.158802375456,1365.8552305427866,79.77053318945202,0.3277559094231578
"77433, USA",107721.0,1671.7568647408327,701.2188192289185,153.6196648550495,0.2275802855540573
"11220, USA",105468.0,26691.5785760688,23790.80694441794,4.4331409290320885,0.3565596500351973
"11373, USA",104849.0,29795.093246653698,26600.069648365436,3.941681408583941,0.5858790090699503
"79936, USA",104780.0,2437.0617642739408,1518.4782738284796,69.00329218133777,0.39782417954355603
"10467, USA",103978.0,17467.622384113074,17261.343613195055,6.023748923028002,0.19295887720700952
"11208, USA",103601.0,16338.416365702918,11207.046364035416,9.244273346853142,0.33171985940465937
"90011, USA",103244.0,8379.05594329789,9271.468473663668,11.135668561379749,0.5206003425756346
"11219, USA",102817.0,25678.548114511643,26730.74889383273,3.8463942932673225,0.48218364547944725
"90650, USA",102801.0,4046.9951565142214,4018.552335282002,25.58160039311419,0.42441577492238536
"11207, USA",102335.0,16065.238567543847,14661.476869549917,6.979856184375068,0.4089085433694095
"11226, USA",101094.0,25051.675771365735,30143.318720533032,3.353778027471699,0.6867001520788915
"11385, USA",100909.0,15636.057602654731,10657.839938341593,9.468053619099658,0.2791065961034982
"91331, USA",100727.0,4601.882234127651,4368.665065114533,23.056700044218026,0.4301371435995175
"37013, USA",100521.0,1408.9894251354945,854.8573710861418,117.58803678826881,0.19026171218829516
"11236, USA",100493.0,12101.790611494123,10675.475130485524,9.413445188310748,0.5544252976184325
"94565, USA",100302.0,2399.1910322950744,1142.282967245482,87.80836524409509,0.1682384234171327
"00926, USA",99803.0,2432.9806432648297,1566.4454292274293,63.71303981474978,0.27556350087500076
"92336, USA",99792.0,2544.842922047103,1543.5758413226154,64.64988459167193,0.28705085260362756
"11214, USA",98165.0,18352.433594087033,17451.512700167314,5.625013813218545,0.38718858196802575
"77573, USA",97011.0,1370.8786668712874,1190.8921189609507,81.46077923887998,0.18393000992005518
"90250, USA",96971.0,6942.372516320594,5563.243163124214,17.430659986744654,0.30147595740981475
"10025, USA",96697.0,30627.405620981033,49314.80667044995,1.9608106880796525,0.3722975510617207
"91342, USA",96637.0,3180.9547094218437,673.5901292829117,143.46558210833268,0.171027066145197
"90201, USA",96116.0,6211.401028968862,6111.8483727101075,15.726175477318062,0.28422235187589384
"92335, USA",95854.0,3146.382812368028,2134.187685684114,44.91357561613612,0.42087174797796906
"29483, USA",95753.0,818.3812495908467,272.9377444792395,350.8235923276023,0.1300270451434058
"90805, USA",95276.0,5094.306472345677,4890.589492231088,19.48149607554468,0.47469165630801347
"90044, USA",95260.0,7105.667974713792,7152.05930792419,13.319240780687572,0.3298281900685165
"77429, USA",94708.0,1310.6143610780505,945.521544435091,100.16482496608157,0.2566561884685642
"75052, USA",94439.0,1866.0216427712783,1298.7531116367998,72.7151289600992,0.3169563946424767
"78245, USA",94363.0,2089.2813973842162,1093.6878467107717,86.27964577259723,0.26338385579360096
"79938, USA",94135.0,1989.2129420862498,99.75152263151551,943.6948681749643,0.10290458836143863
"10456, USA",93760.0,32298.660163282337,35898.80163506211,2.611786347442452,0.4385348817870695
"77584, USA",93502.0,1481.9669478489366,1122.6066458442135,83.29008236868702,0.225242372954708
"11377, USA",93074.0,18061.108283647955,14125.27805809126,6.589180023021581,0.3430667003768186
"11206, USA",92833.0,25199.86366425567,25195.229738285194,3.6845466766646076,0.48529739870916
"90280, USA",92727.0,6162.9704362117955,4822.394714107728,19.22841357816082,0.23984156679361546
"30044, USA",92437.0,1665.5253619681628,1443.6541838711637,64.02987712204724,0.2747339307336497
"10314, USA",92100.0,4592.574291334917,2539.7459218361473,36.26346998262524,0.24338138331939227
