longname,Silent %,Boomer %,Gen X %,Millennial %,Gen Z %,Gen Alpha %,geoid
"Los Angeles County, California, USA",0.05671468474038805,0.2016689421091286,0.20032595805828038,0.23207044504815622,0.1944095634623255,0.11481040658172122,06037
"Cook County, Illinois, USA",0.06053387464336843,0.2104313648441138,0.19072107687425122,0.232732895456016,0.18731863143917596,0.11826215674307454,17031
"Harris County, Texas, USA",0.038299457762189106,0.175734387645167,0.19354299472844447,0.23322413573262715,0.2134901146701967,0.1457089094613755,48201
"Maricopa County, Arizona, USA",0.06215283094228932,0.2061977198808377,0.19029024464859803,0.21190730240324224,0.20411818050653935,0.12533372161849324,04013
"San Diego County, California, USA",0.05714237839583161,0.20279909767526197,0.18839758068496237,0.2346315517721469,0.1986277867691883,0.11840160470260894,06073
"Orange County, California, USA",0.06249322243956413,0.21499306270086038,0.20347347759659745,0.20931516105331058,0.1950705361913446,0.11465454001832277,06059
"Kings County, New York, USA",0.05884176870768381,0.19466852584588545,0.18289663268330902,0.2554975319912036,0.17557224327030746,0.13252329750161065,36047
"Miami-Dade County, Florida, USA",0.0732962427370259,0.21636736310217083,0.21617674521958877,0.206805157338973,0.17579036980598947,0.11156412179625211,12086
"Dallas County, Texas, USA",0.040211968878060556,0.1779802220736039,0.1912411382097587,0.23468723341684614,0.21335175116576943,0.1425276862559613,48113
"Riverside County, California, USA",0.059918707724260306,0.19939518480441132,0.18911722797739303,0.20436336891859283,0.21718186500734074,0.13002364556800172,06065
"Queens County, New York, USA",0.0676806001291605,0.2266955678407571,0.19965500933495636,0.22908451494154802,0.1645610436833183,0.11232326407025962,36081
"King County, Washington, USA",0.0509277299823328,0.19875393037168348,0.20464079320109171,0.2635848089951007,0.16970941760205685,0.11238331984773438,53033
"Clark County, Nevada, USA",0.05570722144260367,0.21127429075717608,0.1992948021802231,0.22013072200083733,0.189334454430837,0.12425850918832274,32003
"San Bernardino County, California, USA",0.043181452840556564,0.18576177379735648,0.18485715114798418,0.2207555625771799,0.22401340168055128,0.1414306579563715,06071
"Tarrant County, Texas, USA",0.04222609207759471,0.18688660787312075,0.1961831838478217,0.21847718376082026,0.21655027622513584,0.13967665621550676,48439
"Bexar County, Texas, USA",0.046764764657831734,0.1800137587371479,0.18593112437525802,0.2297588614618054,0.21835656530479106,0.1391749254631659,48029
"Broward County, Florida, USA",0.07134265263619292,0.23178556678009482,0.20787355825718834,0.19958584705184784,0.17734347659999652,0.11206889867467952,12011
"Santa Clara County, California, USA",0.05835025117542724,0.1971671119916958,0.20666079475527,0.23623639425893236,0.18512665442293352,0.11645879339574118,06085
"Wayne County, Michigan, USA",0.06095438492195408,0.22622600195219306,0.18730168663093516,0.20165651551782063,0.19519147873399034,0.12866993224310674,26163
"New York County, New York, USA",0.07508537535198596,0.20833922473189134,0.18859025822299452,0.2952567251812356,0.14786711401354022,0.08486130249835241,36061
"Alameda County, California, USA",0.05563930432194995,0.2066759077754981,0.20559500934163705,0.2456374060631387,0.1732003629366627,0.11325200956111361,06001
"Middlesex County, Massachusetts, USA",0.06324769266685991,0.21997756575506758,0.19600027349820728,0.22455681278493336,0.18921887310114377,0.10699878219378801,25017
"Philadelphia County, Pennsylvania, USA",0.05593704156786962,0.19812376205855992,0.17153819873753803,0.2600594954891055,0.191061879649291,0.12327962249763594,42101
"Sacramento County, California, USA",0.055242284638880826,0.20745123163929363,0.18942629537329744,0.22732504245222182,0.19251326691551632,0.12804187898078997,06067
"Suffolk County, New York, USA",0.07162893792412572,0.24648279943755563,0.20367439812007845,0.17737163855220228,0.19364626360770718,0.10719596235833076,36103
