longname,Never Married % [StatCan],Married (not divorced) % [StatCan],Divorced % [StatCan]
"Sorel-Tracy CMA, QC, Canada",0.47977589505329343,0.3816616561902159,0.13856244875649074
"Timmins CMA, ON, Canada",0.3844810016013975,0.4923569660794874,0.12316203231911498
"Campbell River CMA, BC, Canada",0.31279620853080586,0.5437311503662214,0.14347264110297275
"Moose Jaw CMA, SK, Canada",0.33012596221133683,0.539888033589923,0.12998600419874026
"Saint-Georges CMA, QC, Canada",0.5006908462867014,0.3639032815198617,0.13540587219343697
"New Glasgow CMA, NS, Canada",0.3324255319148934,0.533617021276596,0.13395744680851054
"Val-d'Or CMA, QC, Canada",0.5635972769616624,0.32156932998925125,0.1148333930490864
"Orillia CMA, ON, Canada",0.35859551538327816,0.48461672171041204,0.15678776290630983
"Stratford CMA, ON, Canada",0.33005445283681706,0.5350430353065169,0.13490251185666616
"Owen Sound CMA, ON, Canada",0.3144385026737967,0.5532976827094475,0.13226381461675576
"Winkler CMA, MB, Canada",0.2768762677484784,0.6687626774847873,0.05436105476673428
"Whitehorse CMA, YT, Canada",0.4458767772511851,0.43090047393364905,0.12322274881516584
"Brockville CMA, ON, Canada",0.31310942578548207,0.5366558324304803,0.15023474178403756
"Bathurst CMA, NB, Canada",0.35498380712486516,0.5277078085642314,0.11730838431090344
"Centre Wellington CMA, ON, Canada",0.28190661478599205,0.6157587548638135,0.10233463035019445
"Parksville CMA, BC, Canada",0.19876325088339244,0.6607773851590105,0.14045936395759714
"Okotoks CMA, AB, Canada",0.28264532434709366,0.6090985678180285,0.10825610783487777
"Alma CMA, QC, Canada",0.48343079922027304,0.38226120857699786,0.13430799220272915
"Rivière-du-Loup CMA, QC, Canada",0.5403772407327448,0.34851893399834033,0.11110382526891484
"Corner Brook CMA, NL, Canada",0.34031961317669046,0.553223145150524,0.10645724167278552
"Fort St. John CMA, BC, Canada",0.4101372288623285,0.4791943337760072,0.11066843736166439
"Thetford Mines CMA, QC, Canada",0.4542289576080276,0.4130657382756505,0.1327053041163219
"Midland CMA, ON, Canada",0.33237822349570206,0.5218993041342611,0.14572247237003683
"Sept-Îles CMA, QC, Canada",0.5925525059591218,0.30771901726111867,0.09972847677975966
"Miramichi CMA, NB, Canada",0.32021052631578917,0.5642105263157897,0.11557894736842117
"Cranbrook CMA, BC, Canada",0.31575520833333337,0.5546875,0.12955729166666669
"Kentville CMA, NS, Canada",0.33043855840208425,0.5360399478940513,0.1335214937038645
"Baie-Comeau CMA, QC, Canada",0.5570660649090944,0.33254444383290205,0.11038949125800358
"Port Alberni CMA, BC, Canada",0.33250843644544426,0.5169853768278965,0.15050618672665922
"Wasaga Beach CMA, ON, Canada",0.25471912667727986,0.6067773481919492,0.13850352513077105
"Collingwood CMA, ON, Canada",0.30174621653084976,0.5518044237485449,0.14644935972060538
"Squamish CMA, BC, Canada",0.4272611464968154,0.4736305732484076,0.09910828025477705
