longname,PW Density (r=250m),PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m),PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km),PW Density (r=2km) [GHS-POP],PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km),PW Density (r=4km) [GHS-POP],PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020)
"Recife 100MPC, USA-Mexico-Morocco",,,,,,,,,,,,2990.6033,,,,,,2137.214,,,,
"Sydney 100MPC, Indonesia-Australia-South Africa",,,,,,,,,,,,2318.7432,,,,,,1692.1993,,,,
"Dar es Salaam 100MPC, Madagascar-South Africa-Mozambique",,,,,,,,,,,,4661.1797,,,,,,3458.145,,,,
"Chennai 100MPC, India-Sri Lanka",,,,,,,,,,,,4630.0923,,,,,,3635.7563,,,,
"New Taipei [Taipei] 100MPC, China-Japan-Russia",,,,,,,,,,,,4334.7563,,,,,,3381.6091,,,,
"Hefei 100MPC, China",,,,,,,,,,,,5002.7534,,,,,,3508.5583,,,,
"Doha 100MPC, Russia-India-Yemen",,,,,,,,,,,,4170.9067,,,,,,2637.444,,,,
"Dhaka 100MPC, Bangladesh-India",,,,,,,,,,,,17451.75,,,,,,14471.733,,,,
"Quezon City [Manila] 100MPC, Philippines",,,,,,,,,,,,6048.651,,,,,,4943.2646,,,,
"Buenos Aires 100MPC, Argentina-Brazil-Chile",,,,,,,,,,,,3758.0044,,,,,,3103.2136,,,,
"Comilla 100MPC, Bangladesh-India",,,,,,,,,,,,4582.352,,,,,,3272.0054,,,,
"Tokyo 100MPC, Japan",,,,,,,,,,,,5140.961,,,,,,4864.253,,,,
"Bengaluru 100MPC, India",,,,,,,,,,,,8304.73,,,,,,6968.8423,,,,
"Istanbul 100MPC, Turkey-Syria",,,,,,,,,,,,8385.375,,,,,,6108.407,,,,
"Addis Ababa 100MPC, Ethiopia",,,,,,,,,,,,3023.443,,,,,,1993.2177,,,,
"Chengdu 100MPC, China",,,,,,,,,,,,5210.6787,,,,,,3612.8694,,,,
"Mexico City 100MPC, Mexico",,,,,,,,,,,,4162.5283,,,,,,3454.1191,,,,
"Ürümqi 100MPC, India-China-Bangladesh",,,,,,,,,,,,3287.0984,,,,,,2364.0671,,,,
"Wuhan 100MPC, China",,,,,,,,,,,,5176.013,,,,,,3837.0476,,,,
"Seoul (Outer) 100MPC, China-South Korea",,,,,,,,,,,,5751.2534,,,,,,4333.8203,,,,
"Lahore 100MPC, Pakistan-India",,,,,,,,,,,,8205.757,,,,,,6436.0205,,,,
