longname,PW Density (r=250m),PW Density (250m) [StatCan],PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m),PW Density (500m) [StatCan],PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km),PW Density (2km) [StatCan],PW Density (r=2km) [GHS-POP],PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km),PW Density (4km) [StatCan],PW Density (r=4km) [GHS-POP],PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020)
"Jawa Barat, Indonesia",,,,,,,,,,,,,,,7641.397,,,,,,,7102.719,,,,
"Andhra Pradesh, India",,,,,,,,,,,,,,,3556.284,,,,,,,2115.3892,,,,
"Sindh, Pakistan",,,,,,,,,,,,,,,17851.568,,,,,,,15421.487,,,,
"Jiangxi Sheng, China",,,,,,,,,,,,,,,3954.952,,,,,,,2619.722,,,,
"Yunnan Sheng, China",,,,,,,,,,,,,,,3055.2275,,,,,,,1976.6998,,,,
"Guangxi Zhuangzu Zizhiqu, China",,,,,,,,,,,,,,,3765.8718,,,,,,,2710.1875,,,,
"Dhaka, Bangladesh",,,,,,,,,,,,,,,21612.527,,,,,,,18101.018,,,,
"Liaoning Sheng, China",,,,,,,,,,,,,,,7265.157,,,,,,,5539.968,,,,
"São Paulo, Brazil",,,,,,,,,,,,,,,6395.0728,,,,,,,5563.5625,,,,
"Odisha, India",,,,,,,,,,,,,,,2049.991,,,,,,,1298.4418,,,,
"Oromīya, Ethiopia",,,,,,,,,,,,,,,1835.8546,,,,,,,932.3353,,,,
"Kerala, India",,,,,,,,,,,,,,,5670.588,,,,,,,4361.1763,,,,
"Heilongjiang Sheng, China",,,,,,,,,,,,,,,4360.7876,,,,,,,3051.7888,,,,
"California, USA",4558.306134097022,,4526.586914289109,0.0070073148728868025,4843.6580479161,-0.05891248122725062,3598.369570911301,,3537.970982229593,0.017071533086358188,3647.810940719729,-0.013553709501916549,2629.94993023814,,2523.255,2553.8783393989925,0.029786693307031063,2590.7197522834117,0.015142578783425568,2170.8474527798912,,2167.3245,2104.1150013137444,0.03171521110988759,2122.6411904371753,0.022710509227792507
"Shanxi Sheng, China",,,,,,,,,,,,,,,4650.312,,,,,,,3332.8086,,,,
"Jawa Timur, Indonesia",,,,,,,,,,,,,,,3188.628,,,,,,,2776.3452,,,,
"Shaanxi Sheng, China",,,,,,,,,,,,,,,5032.749,,,,,,,3749.8872,,,,
"Jhārkhand, India",,,,,,,,,,,,,,,3783.2268,,,,,,,2750.6726,,,,
"Telangāna, India",,,,,,,,,,,,,,,5000.638,,,,,,,4051.5125,,,,
"Fujian Sheng, China",,,,,,,,,,,,,,,6243.2905,,,,,,,4248.656,,,,
"Khyber Pakhtunkhwa, Pakistan",,,,,,,,,,,,,,,3520.9875,,,,,,,2595.967,,,,
"Assam, India",,,,,,,,,,,,,,,2339.4004,,,,,,,1528.8793,,,,
"Guizhou Sheng, China",,,,,,,,,,,,,,,3772.8677,,,,,,,2361.6477,,,,
