longname,PW Density (r=250m),PW Density (250m) [StatCan],PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m),PW Density (500m) [StatCan],PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km),PW Density (2km) [StatCan],PW Density (r=2km) [GHS-POP],PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km),PW Density (4km) [StatCan],PW Density (r=4km) [GHS-POP],PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020)
"Kocaeli, Turkey",,,,,,,,,,,,,,,4005.7417,,,,,,,2797.724,,,,
"Kentrikí Makedonía, Greece",,,,,,,,,,,,,,,4613.303,,,,,,,2982.1887,,,,
"Valparaíso, Chile",,,,,,,,,,,,,,,3203.7566,,,,,,,2071.6614,,,,
"Xorazm, Uzbekistan",,,,,,,,,,,,,,,1363.4714,,,,,,,1049.3754,,,,
"Diourbel, Senegal",,,,,,,,,,,,,,,5111.091,,,,,,,4203.784,,,,
"Al Qādisīyah, Iraq",,,,,,,,,,,,,,,7517.362,,,,,,,4960.247,,,,
"Idaho, USA",1736.2374831732288,,1487.3436198249804,0.16734119811367898,1777.002752980199,-0.022940465195455062,1189.3147542216732,,1033.1836301030264,0.15111652911407217,1065.956973398022,0.11572491564121522,765.1588268187395,,765.76556,646.0839196274839,0.1843025396142212,581.8561372798263,0.31503094630203976,555.4148463655783,,582.06146,465.04813674482733,0.19431689427525944,398.55138015216767,0.39358404969898714
"Nam Ðịnh, Vietnam",,,,,,,,,,,,,,,2048.0632,,,,,,,1663.7458,,,,
"Pwani, Tanzania",,,,,,,,,,,,,,,1018.6506,,,,,,,747.67847,,,,
"Montserrado, Liberia",,,,,,,,,,,,,,,6305.5522,,,,,,,5354.4683,,,,
"Porto, Portugal",,,,,,,,,,,,,,,2513.238,,,,,,,2249.666,,,,
"Southern, Sierra Leone",,,,,,,,,,,,,,,1738.15,,,,,,,1112.558,,,,
"Ash Shāriqah, United Arab Emirates",,,,,,,,,,,,,,,7520.2,,,,,,,6047.6167,,,,
"Balkh, Afghanistan",,,,,,,,,,,,,,,6301.876,,,,,,,4082.7786,,,,
"Pathum Thani, Thailand",,,,,,,,,,,,,,,3462.5857,,,,,,,3210.0137,,,,
"Qoraqalpog'iston Respublikasi, Uzbekistan",,,,,,,,,,,,,,,1525.19,,,,,,,1034.8636,,,,
"Ḩimş, Syria",,,,,,,,,,,,,,,5659.745,,,,,,,4096.4624,,,,
"Nonthaburi, Thailand",,,,,,,,,,,,,,,5866.7334,,,,,,,5977.0283,,,,
"Hamburg, Germany",,,,,,,,,,,,,,,4007.7683,,,,,,,3645.9878,,,,
"Sétif, Algeria",,,,,,,,,,,,,,,2799.612,,,,,,,1649.9343,,,,
"Diyarbakır, Turkey",,,,,,,,,,,,,,,5256.9434,,,,,,,2851.4978,,,,
"Kwango, Democratic Republic of the Congo",,,,,,,,,,,,,,,1860.5117,,,,,,,682.484,,,,
"Calabria, Italy",,,,,,,,,,,,,,,909.85406,,,,,,,490.08344,,,,
"Lara, Venezuela",,,,,,,,,,,,,,,3896.2324,,,,,,,2743.5469,,,,
"West Virginia, USA",1223.1890981137053,,1145.716844964453,0.06761902252703282,1271.063112376113,-0.03766454536857136,605.7225676144552,,595.3978011696042,0.017340954945700045,617.4514691760693,-0.01899566548487637,290.32564915385336,,272.89786,285.1154441666563,0.018274018801140754,284.1782670147542,0.021632133250991958,198.35317874677807,,190.47401,193.32446973280665,0.026011756405806212,189.05390783517518,0.04918846173605874
"South Australia, Australia",,,,,,,,,,,,,,,1271.0065,,,,,,,1096.0298,,,,
"Kumamoto, Japan",,,,,,,,,,,,,,,1992.2704,,,,,,,1709.7252,,,,
"Songkhla, Thailand",,,,,,,,,,,,,,,2276.7292,,,,,,,1630.9885,,,,
"Budapest, Hungary",,,,,,,,,,,,,,,5782.1646,,,,,,,5055.297,,,,
"Mashonaland East, Zimbabwe",,,,,,,,,,,,,,,513.53357,,,,,,,376.5274,,,,
"Mongala, Democratic Republic of the Congo",,,,,,,,,,,,,,,2178.2334,,,,,,,1073.7925,,,,
"Ruvuma, Tanzania",,,,,,,,,,,,,,,876.0284,,,,,,,551.681,,,,
"Khon Kaen, Thailand",,,,,,,,,,,,,,,837.88983,,,,,,,646.4692,,,,
"Kermānshāh, Iran",,,,,,,,,,,,,,,4440.5737,,,,,,,2940.9773,,,,
"Markazī, Iran",,,,,,,,,,,,,,,2562.5688,,,,,,,1512.2266,,,,
"Hormozgān, Iran",,,,,,,,,,,,,,,1811.8104,,,,,,,1041.0337,,,,
"Jeollabuk-do, South Korea",,,,,,,,,,,,,,,3872.6082,,,,,,,2910.65,,,,
"Bukidnon, Philippines",,,,,,,,,,,,,,,825.8805,,,,,,,479.69617,,,,
"Auckland, New Zealand",,,,,,,,,,,,,,,2384.77,,,,,,,2001.6455,,,,
"Drâa-Tafilalet, Morocco",,,,,,,,,,,,,,,1343.6422,,,,,,,580.0501,,,,
"Hải Dương, Vietnam",,,,,,,,,,,,,,,1816.8491,,,,,,,1490.9938,,,,
"Biobío, Chile",,,,,,,,,,,,,,,3048.282,,,,,,,1772.5708,,,,
"Atsimo-Andrefana, Madagascar",,,,,,,,,,,,,,,752.119,,,,,,,386.05765,,,,
"Golestān, Iran",,,,,,,,,,,,,,,2583.3337,,,,,,,1450.9215,,,,
"Bình Dương, Vietnam",,,,,,,,,,,,,,,4287.9624,,,,,,,3685.2898,,,,
"Arunāchal Pradesh, India",,,,,,,,,,,,,,,600.2687,,,,,,,279.5908,,,,
"Al Qaḑārif, Sudan",,,,,,,,,,,,,,,1617.2268,,,,,,,930.15137,,,,
"Rondônia, Brazil",,,,,,,,,,,,,,,1771.3181,,,,,,,1187.0763,,,,
"Central, Zambia",,,,,,,,,,,,,,,813.16626,,,,,,,528.8534,,,,
"Eastern, Sierra Leone",,,,,,,,,,,,,,,1723.7152,,,,,,,957.24677,,,,
"Pulau Pinang, Malaysia",,,,,,,,,,,,,,,3760.971,,,,,,,2774.3088,,,,
"Kayin, Myanmar",,,,,,,,,,,,,,,2779.5984,,,,,,,1336.9973,,,,
"Jeollanam-do, South Korea",,,,,,,,,,,,,,,1929.7397,,,,,,,1372.784,,,,
"Kandahār, Afghanistan",,,,,,,,,,,,,,,5595.9785,,,,,,,3804.8374,,,,
"Zachodniopomorskie, Poland",,,,,,,,,,,,,,,1678.1796,,,,,,,1050.715,,,,
"Djelfa, Algeria",,,,,,,,,,,,,,,5723.1494,,,,,,,3172.639,,,,
"Västra Götalands län, Sweden",,,,,,,,,,,,,,,1648.0049,,,,,,,1206.6285,,,,
"Zaporizka oblast, Ukraine",,,,,,,,,,,,,,,2607.2334,,,,,,,1881.4684,,,,
"Zacatecas, Mexico",,,,,,,,,,,,,,,1469.6404,,,,,,,802.52094,,,,
"Mie, Japan",,,,,,,,,,,,,,,1241.7968,,,,,,,1004.54803,,,,
"Manisa, Turkey",,,,,,,,,,,,,,,4369.369,,,,,,,1994.3754,,,,
"Masqaţ, Oman",,,,,,,,,,,,,,,3863.5474,,,,,,,2769.6934,,,,
"Centre-Nord, Burkina Faso",,,,,,,,,,,,,,,833.6098,,,,,,,408.2463,,,,
"Bungoma, Kenya",,,,,,,,,,,,,,,858.1217,,,,,,,768.0953,,,,
"Aragua, Venezuela",,,,,,,,,,,,,,,4093.0454,,,,,,,2747.7053,,,,
"Littoral, Benin",,,,,,,,,,,,,,,8051.9956,,,,,,,6391.348,,,,
"Tucumán, Argentina",,,,,,,,,,,,,,,4131.748,,,,,,,3390.1865,,,,
"Kampala, Uganda",,,,,,,,,,,,,,,9347.8,,,,,,,9179.52,,,,
"Niederösterreich, Austria",,,,,,,,,,,,,,,465.78522,,,,,,,321.22357,,,,
"Adana, Turkey",,,,,,,,,,,,,,,4068.0955,,,,,,,2602.8672,,,,
"Centre-Ouest, Burkina Faso",,,,,,,,,,,,,,,764.5521,,,,,,,434.6113,,,,
"Bié, Angola",,,,,,,,,,,,,,,4267.069,,,,,,,2944.9119,,,,
"Panamá, Panama",,,,,,,,,,,,,,,5518.6475,,,,,,,4338.8696,,,,
"Kirkūk, Iraq",,,,,,,,,,,,,,,5908.6,,,,,,,4810.533,,,,
"Kyivska oblast, Ukraine",,,,,,,,,,,,,,,1602.7675,,,,,,,956.695,,,,
"Ubon Ratchathani, Thailand",,,,,,,,,,,,,,,748.19,,,,,,,544.35974,,,,
"San Salvador, El Salvador",,,,,,,,,,,,,,,6127.029,,,,,,,4724.38,,,,
"Vallée du Bandama, Ivory Coast",,,,,,,,,,,,,,,2636.6814,,,,,,,2021.4015,,,,
"Nariño, Colombia",,,,,,,,,,,,,,,3108.9143,,,,,,,1823.5865,,,,
"Daejeon-gwangyeoksi, South Korea",,,,,,,,,,,,,,,9465.119,,,,,,,7696.159,,,,
"Pahang, Malaysia",,,,,,,,,,,,,,,1372.0575,,,,,,,901.02246,,,,
"Ðồng Tháp, Vietnam",,,,,,,,,,,,,,,1500.561,,,,,,,1055.5227,,,,
"Borgou, Benin",,,,,,,,,,,,,,,1257.7698,,,,,,,791.40314,,,,
"Lagunes, Ivory Coast",,,,,,,,,,,,,,,1087.2374,,,,,,,453.21658,,,,
"Kosovo-Metohija, Serbia",,,,,,,,,,,,,,,1852.3694,,,,,,,964.6935,,,,
"Uusimaa, Finland",,,,,,,,,,,,,,,2296.221,,,,,,,1716.5898,,,,
"Quintana Roo, Mexico",,,,,,,,,,,,,,,4600.2476,,,,,,,3249.189,,,,
"Haut-Uélé, Democratic Republic of the Congo",,,,,,,,,,,,,,,1517.5249,,,,,,,756.7571,,,,
"Northern, Zambia",,,,,,,,,,,,,,,1086.7646,,,,,,,630.76337,,,,
"Cibao Nord, Dominican Republic",,,,,,,,,,,,,,,3482.5652,,,,,,,2711.717,,,,
"San José, Costa Rica",,,,,,,,,,,,,,,4743.8066,,,,,,,4284.997,,,,
"Belgorodskaya oblast', Russia",,,,,,,,,,,,,,,1873.698,,,,,,,1236.1909,,,,
"Brazzaville, Congo",,,,,,,,,,,,,,,33114.12,,,,,,,25704.984,,,,
"Khanty-Mansiyskiy avtonomnyy okrug, Russia",,,,,,,,,,,,,,,1651.9701,,,,,,,906.24445,,,,
"Kangwon-do [Kangweonto], North Korea",,,,,,,,,,,,,,,4324.527,,,,,,,2020.3293,,,,
"Ḩaḑramawt, Yemen",,,,,,,,,,,,,,,2608.6912,,,,,,,1101.5778,,,,
"Chungcheongbuk-do, South Korea",,,,,,,,,,,,,,,4465.9604,,,,,,,3384.087,,,,
"Kagosima, Japan",,,,,,,,,,,,,,,1730.3967,,,,,,,1313.634,,,,
"Ardabīl, Iran",,,,,,,,,,,,,,,9064.108,,,,,,,3657.9949,,,,
"Luapula, Zambia",,,,,,,,,,,,,,,1605.1461,,,,,,,988.5084,,,,
"Sofia, Madagascar",,,,,,,,,,,,,,,291.64688,,,,,,,116.06464,,,,
"Manabí, Ecuador",,,,,,,,,,,,,,,2041.4221,,,,,,,1284.1288,,,,
"Puducherry, India",,,,,,,,,,,,,,,9480.762,,,,,,,6680.041,,,,
"Ulaanbaatar, Mongolia",,,,,,,,,,,,,,,7028.5894,,,,,,,6011.5967,,,,
"An Najaf, Iraq",,,,,,,,,,,,,,,8828.972,,,,,,,7104.68,,,,
"Meru, Kenya",,,,,,,,,,,,,,,961.61163,,,,,,,818.31445,,,,
"Tocantins, Brazil",,,,,,,,,,,,,,,1246.3859,,,,,,,732.6122,,,,
"Managua, Nicaragua",,,,,,,,,,,,,,,6251.0913,,,,,,,5259.016,,,,
"Kelantan, Malaysia",,,,,,,,,,,,,,,1289.6763,,,,,,,1068.9906,,,,
"Nahr an Nīl, Sudan",,,,,,,,,,,,,,,1714.3318,,,,,,,1030.3083,,,,
"Songwe, Tanzania",,,,,,,,,,,,,,,1008.8839,,,,,,,627.4052,,,,
"Næ̆gĕnahira paḷāta, Sri Lanka",,,,,,,,,,,,,,,1441.7227,,,,,,,792.53265,,,,
"Fāryāb, Afghanistan",,,,,,,,,,,,,,,3123.8857,,,,,,,1396.5055,,,,
"Dumyāţ, Egypt",,,,,,,,,,,,,,,6191.045,,,,,,,4067.9026,,,,
"Kepulauan Bangka Belitung, Indonesia",,,,,,,,,,,,,,,1923.4463,,,,,,,1192.1991,,,,
"Gangwon-do, South Korea",,,,,,,,,,,,,,,2589.316,,,,,,,1623.32,,,,
"Mtwara, Tanzania",,,,,,,,,,,,,,,579.8537,,,,,,,316.44974,,,,
"Tyumenskaya oblast', Russia",,,,,,,,,,,,,,,2358.949,,,,,,,1799.6677,,,,
"Goa, India",,,,,,,,,,,,,,,1805.0099,,,,,,,1152.5856,,,,
"Vinnytska oblast, Ukraine",,,,,,,,,,,,,,,1922.728,,,,,,,1316.9744,,,,
"Cajamarca, Peru",,,,,,,,,,,,,,,1759.8514,,,,,,,952.0195,,,,
"Nord, Burkina Faso",,,,,,,,,,,,,,,714.1858,,,,,,,390.42285,,,,
"Mecklenburg-Vorpommern, Germany",,,,,,,,,,,,,,,769.9872,,,,,,,461.6675,,,,
"Sardegna, Italy",,,,,,,,,,,,,,,1423.097,,,,,,,741.8506,,,,
"Negros Oriental, Philippines",,,,,,,,,,,,,,,991.98724,,,,,,,683.3115,,,,
"Bolívar, Venezuela",,,,,,,,,,,,,,,4757.959,,,,,,,2980.7139,,,,
"Badakhshān, Afghanistan",,,,,,,,,,,,,,,2046.662,,,,,,,859.8468,,,,
"Gia Lai, Vietnam",,,,,,,,,,,,,,,1340.0334,,,,,,,799.63965,,,,
"Murcia, Región de, Spain",,,,,,,,,,,,,,,2050.1084,,,,,,,1351.2903,,,,
"Chagang-do [Jakangto], North Korea",,,,,,,,,,,,,,,4543.4497,,,,,,,2087.9832,,,,
"Bắc Giang, Vietnam",,,,,,,,,,,,,,,1135.6343,,,,,,,926.63806,,,,
"South Cotabato, Philippines",,,,,,,,,,,,,,,1841.5713,,,,,,,1368.1837,,,,
"Inhambane, Mozambique",,,,,,,,,,,,,,,694.0173,,,,,,,408.31287,,,,
"Anzoátegui, Venezuela",,,,,,,,,,,,,,,3511.7205,,,,,,,2341.9373,,,,
"Gaza, Mozambique",,,,,,,,,,,,,,,996.7611,,,,,,,591.0381,,,,
"Sulawesi Barat, Indonesia",,,,,,,,,,,,,,,1577.1512,,,,,,,798.54114,,,,
"Samsun, Turkey",,,,,,,,,,,,,,,5542.381,,,,,,,3058.378,,,,
"Junín, Peru",,,,,,,,,,,,,,,2963.819,,,,,,,1868.6342,,,,
"Liguria, Italy",,,,,,,,,,,,,,,2925.0837,,,,,,,1826.5597,,,,
"Warmińsko-mazurskie, Poland",,,,,,,,,,,,,,,1282.7596,,,,,,,653.28503,,,,
"Marche, Italy",,,,,,,,,,,,,,,932.88855,,,,,,,478.306,,,,
"Bình Định, Vietnam",,,,,,,,,,,,,,,1480.0748,,,,,,,1029.9338,,,,
"Maluku Utara, Indonesia",,,,,,,,,,,,,,,1819.1995,,,,,,,881.87695,,,,
"Siga, Japan",,,,,,,,,,,,,,,1898.8285,,,,,,,1453.5555,,,,
"Takhār, Afghanistan",,,,,,,,,,,,,,,2882.57,,,,,,,1459.0344,,,,
"Mashonaland Central, Zimbabwe",,,,,,,,,,,,,,,256.15665,,,,,,,154.0961,,,,
"Tel-Aviv, Israel",,,,,,,,,,,,,,,10582.035,,,,,,,8495.733,,,,
"Puno, Peru",,,,,,,,,,,,,,,2017.8113,,,,,,,1240.5436,,,,
"Baat Dambang [Batdâmbâng], Cambodia",,,,,,,,,,,,,,,1020.84296,,,,,,,576.3445,,,,
"Zürich, Switzerland",,,,,,,,,,,,,,,2608.6555,,,,,,,2070.3113,,,,
"Chechenskaya Respublika, Russia",,,,,,,,,,,,,,,1139.7266,,,,,,,591.47894,,,,
"Homieĺskaja voblasć, Belarus",,,,,,,,,,,,,,,3355.4497,,,,,,,2497.3538,,,,
"Davao del Norte, Philippines",,,,,,,,,,,,,,,2268.1172,,,,,,,1615.0718,,,,
"Tanintharyi, Myanmar",,,,,,,,,,,,,,,3258.758,,,,,,,1549.716,,,,
"Udmurtskaya Respublika, Russia",,,,,,,,,,,,,,,2981.8774,,,,,,,2085.6372,,,,
"Madīnat Injamīnā, Chad",,,,,,,,,,,,,,,8259.96,,,,,,,7040.731,,,,
"Wajir, Kenya",,,,,,,,,,,,,,,1543.8048,,,,,,,627.58057,,,,
"Středočeský kraj, Czech Republic",,,,,,,,,,,,,,,619.24274,,,,,,,378.95264,,,,
"Wāsiţ, Iraq",,,,,,,,,,,,,,,3423.0093,,,,,,,2126.025,,,,
"Oberösterreich, Austria",,,,,,,,,,,,,,,882.8754,,,,,,,651.31244,,,,
"Idlib, Syria",,,,,,,,,,,,,,,1493.673,,,,,,,617.9706,,,,
"Kandaal [Kândal], Cambodia",,,,,,,,,,,,,,,1159.6781,,,,,,,917.5511,,,,
"Okinawa, Japan",,,,,,,,,,,,,,,3620.0933,,,,,,,3014.7761,,,,
"Albay, Philippines",,,,,,,,,,,,,,,1625.2325,,,,,,,1231.6042,,,,
"Sahel, Burkina Faso",,,,,,,,,,,,,,,617.3338,,,,,,,253.14215,,,,
"Hawaii, USA",5130.795267496907,,5088.249562584418,0.008361560176871516,5561.986878073336,-0.07752474430967961,3508.652614251784,,3434.902359712084,0.021470844529590038,3359.3606893272713,0.044440576267625875,1967.3189039583551,,1932.8208,1871.5429294200965,0.051174874502042625,1780.4496270178201,0.10495622796896159,1252.6762311575246,,1325.654,1190.662958267681,0.05208297819230721,1143.352540408638,0.09561678212549723
"Lacs, Ivory Coast",,,,,,,,,,,,,,,906.2473,,,,,,,330.7952,,,,
"Kayseri, Turkey",,,,,,,,,,,,,,,4224.8003,,,,,,,2940.3135,,,,
"Quảng Nam, Vietnam",,,,,,,,,,,,,,,979.5136,,,,,,,731.2197,,,,
"Atsinanana, Madagascar",,,,,,,,,,,,,,,1384.6699,,,,,,,804.7195,,,,
"Al Ismā‘īlīyah, Egypt",,,,,,,,,,,,,,,5428.992,,,,,,,3264.4497,,,,
"Bresckaja voblasć, Belarus",,,,,,,,,,,,,,,2889.659,,,,,,,1995.0491,,,,
"Cunene, Angola",,,,,,,,,,,,,,,2105.27,,,,,,,1120.8326,,,,
"Tunis, Tunisia",,,,,,,,,,,,,,,6859.0635,,,,,,,5757.002,,,,
"Arequipa, Peru",,,,,,,,,,,,,,,4487.0757,,,,,,,3648.6948,,,,
"Karbalā’, Iraq",,,,,,,,,,,,,,,6813.7637,,,,,,,5511.0312,,,,
"Garissa, Kenya",,,,,,,,,,,,,,,3994.8071,,,,,,,1762.7649,,,,
"Malange, Angola",,,,,,,,,,,,,,,6793.824,,,,,,,4951.0923,,,,
"HaTsafon, Israel",,,,,,,,,,,,,,,2038.9255,,,,,,,1198.7887,,,,
"Chon Buri, Thailand",,,,,,,,,,,,,,,1079.6439,,,,,,,853.8584,,,,
"Tarlac, Philippines",,,,,,,,,,,,,,,1424.93,,,,,,,1095.2423,,,,
"Al Ḩasakah, Syria",,,,,,,,,,,,,,,2679.1125,,,,,,,1604.4093,,,,
"Jāzān, Saudi Arabia",,,,,,,,,,,,,,,1289.9957,,,,,,,651.72565,,,,
"Gwangju-gwangyeoksi, South Korea",,,,,,,,,,,,,,,8401.327,,,,,,,7176.6484,,,,
"Skåne län, Sweden",,,,,,,,,,,,,,,2059.302,,,,,,,1343.5038,,,,
"Salta, Argentina",,,,,,,,,,,,,,,2855.163,,,,,,,2001.3024,,,,
"Plateaux, Togo",,,,,,,,,,,,,,,1490.1511,,,,,,,789.00085,,,,
"'Amrān, Yemen",,,,,,,,,,,,,,,2129.976,,,,,,,941.73016,,,,
"Northern, Sierra Leone",,,,,,,,,,,,,,,1574.7604,,,,,,,780.62897,,,,
"Bohol, Philippines",,,,,,,,,,,,,,,646.70306,,,,,,,463.86334,,,,
"Shyghys Qazaqstan oblysy, Kazakhstan",,,,,,,,,,,,,,,1754.3444,,,,,,,1247.5573,,,,
"Rukwa, Tanzania",,,,,,,,,,,,,,,821.10876,,,,,,,451.44763,,,,
"Lâm Ðồng, Vietnam",,,,,,,,,,,,,,,1685.2095,,,,,,,1087.2285,,,,
"Sofia (stolitsa), Bulgaria",,,,,,,,,,,,,,,4844.2305,,,,,,,4262.686,,,,
"Yamaguti, Japan",,,,,,,,,,,,,,,1518.8408,,,,,,,1040.6873,,,,
"Alta Verapaz, Guatemala",,,,,,,,,,,,,,,2210.2922,,,,,,,1070.5718,,,,
"Sóc Trăng, Vietnam",,,,,,,,,,,,,,,1021.43994,,,,,,,684.5985,,,,
"Qaraghandy oblysy, Kazakhstan",,,,,,,,,,,,,,,2140.7217,,,,,,,1300.1677,,,,
"Balıkesir, Turkey",,,,,,,,,,,,,,,3097.0737,,,,,,,1643.6901,,,,
"Nayarit, Mexico",,,,,,,,,,,,,,,2254.1785,,,,,,,1464.2181,,,,
"Batna, Algeria",,,,,,,,,,,,,,,2891.0732,,,,,,,1723.8761,,,,
"Tul'skaya oblast', Russia",,,,,,,,,,,,,,,1896.6404,,,,,,,1269.4961,,,,
"Aguascalientes, Mexico",,,,,,,,,,,,,,,4371.558,,,,,,,3476.3828,,,,
"Mary, Turkmenistan",,,,,,,,,,,,,,,1021.27466,,,,,,,764.03357,,,,
"Al Uqşur, Egypt",,,,,,,,,,,,,,,32672.055,,,,,,,20668.975,,,,
"Moxico, Angola",,,,,,,,,,,,,,,5190.569,,,,,,,3214.657,,,,
"Ghaznī, Afghanistan",,,,,,,,,,,,,,,1685.287,,,,,,,657.7053,,,,
"Ivano-Frankivska oblast, Ukraine",,,,,,,,,,,,,,,1803.7336,,,,,,,1113.7473,,,,
"Mombasa, Kenya",,,,,,,,,,,,,,,9598.299,,,,,,,7010.7285,,,,
"Cauca, Colombia",,,,,,,,,,,,,,,1897.1226,,,,,,,964.7751,,,,
"New Hampshire, USA",1617.6476140865573,,1549.2036323884474,0.044180106647818775,1635.3823336406642,-0.010844387388376751,872.5268455798537,,837.054271572091,0.04237786630147744,879.6111200188573,-0.008053870941117388,482.3803023086719,,474.18137,456.5686660191613,0.0565339634770892,470.33969469086014,0.02559981169721531,357.52532532444684,,357.9614,337.22664517265696,0.06019299021107049,343.0722877196884,0.04212825728601977
"Poltavska oblast, Ukraine",,,,,,,,,,,,,,,1990.493,,,,,,,1243.1978,,,,
"Kisii, Kenya",,,,,,,,,,,,,,,1139.4368,,,,,,,1086.0502,,,,
"Nakhon Si Thammarat, Thailand",,,,,,,,,,,,,,,745.98395,,,,,,,492.60468,,,,
"North Western, Sierra Leone",,,,,,,,,,,,,,,1066.4537,,,,,,,465.23953,,,,
"Uturumæ̆da paḷāta, Sri Lanka",,,,,,,,,,,,,,,358.1703,,,,,,,294.09854,,,,
"Entre Ríos, Argentina",,,,,,,,,,,,,,,1691.7803,,,,,,,1025.4487,,,,
"Maine, USA",1233.7634003513285,,1184.996638002264,0.04115350270636913,1196.7874358089973,0.030896016649219264,649.7868268707905,,627.7513382782231,0.035102256656283116,648.590083976532,0.0018451452216493944,309.2202406735549,,305.92526,296.23263785553195,0.04384257896780701,299.33651606584954,0.033018773444704205,212.13205280356445,,211.61122,202.2050150447634,0.04909392458245132,201.03406954159888,0.05520448990199207
"Huehuetenango, Guatemala",,,,,,,,,,,,,,,1018.99365,,,,,,,510.79465,,,,
"Ehime, Japan",,,,,,,,,,,,,,,1854.6085,,,,,,,1470.6241,,,,
"Cagayan, Philippines",,,,,,,,,,,,,,,812.96075,,,,,,,563.2347,,,,
"Aragón, Spain",,,,,,,,,,,,,,,5420.7563,,,,,,,3741.3704,,,,
"Tlaxcala, Mexico",,,,,,,,,,,,,,,1798.5277,,,,,,,1255.4554,,,,
"Almaty, Kazakhstan",,,,,,,,,,,,,,,10096.534,,,,,,,9005.699,,,,
"Kilifi, Kenya",,,,,,,,,,,,,,,1011.27026,,,,,,,677.8255,,,,
"Penzenskaya oblast', Russia",,,,,,,,,,,,,,,2077.2305,,,,,,,1463.6552,,,,
"Cotabato, Philippines",,,,,,,,,,,,,,,727.2209,,,,,,,510.6443,,,,
"Msila, Algeria",,,,,,,,,,,,,,,2188.5222,,,,,,,1073.685,,,,
"Nuwākshūţ, Mauritania",,,,,,,,,,,,,,,10165.917,,,,,,,7284.867,,,,
"Manitoba, Canada",,2987.847978506896,,,,,,2238.4875745866466,,,,,,1523.8848924380295,1560.1438,,,,,,1215.0025628319684,1270.7145,,,,
"Boké, Guinea",,,,,,,,,,,,,,,998.94147,,,,,,,472.53333,,,,
"Palawan, Philippines",,,,,,,,,,,,,,,850.8567,,,,,,,488.7165,,,,
"Van, Turkey",,,,,,,,,,,,,,,6465.254,,,,,,,3800.4727,,,,
"Comoé, Ivory Coast",,,,,,,,,,,,,,,1348.4214,,,,,,,601.02527,,,,
"Tây Ninh, Vietnam",,,,,,,,,,,,,,,1742.9177,,,,,,,1314.1177,,,,
"Praha, Hlavní město, Czech Republic",,,,,,,,,,,,,,,4741.373,,,,,,,4263.224,,,,
"Cusco, Peru",,,,,,,,,,,,,,,2943.8809,,,,,,,1840.2723,,,,
"Midtjylland, Denmark",,,,,,,,,,,,,,,1089.49,,,,,,,725.452,,,,
"Nagasaki, Japan",,,,,,,,,,,,,,,1796.5465,,,,,,,1271.3861,,,,
"Misiones, Argentina",,,,,,,,,,,,,,,1890.4236,,,,,,,1230.8583,,,,
"Atsimo-Atsinanana, Madagascar",,,,,,,,,,,,,,,452.18845,,,,,,,238.91489,,,,
"Al Qaşīm, Saudi Arabia",,,,,,,,,,,,,,,1360.1803,,,,,,,955.01306,,,,
"Blida, Algeria",,,,,,,,,,,,,,,4551.7046,,,,,,,3027.0393,,,,
"Tolima, Colombia",,,,,,,,,,,,,,,3856.2117,,,,,,,2245.1858,,,,
"Khabarovskiy kray, Russia",,,,,,,,,,,,,,,2482.8762,,,,,,,1694.4901,,,,
"Mai-Ndombe, Democratic Republic of the Congo",,,,,,,,,,,,,,,678.9743,,,,,,,235.6487,,,,
"Boumerdès, Algeria",,,,,,,,,,,,,,,2028.8165,,,,,,,1470.0975,,,,
"Ūva paḷāta, Sri Lanka",,,,,,,,,,,,,,,584.3167,,,,,,,483.8572,,,,
"Northern Cape, South Africa",,,,,,,,,,,,,,,1402.5367,,,,,,,799.68604,,,,
"Chlef, Algeria",,,,,,,,,,,,,,,1680.1241,,,,,,,1000.13477,,,,
"Jonglei, South Sudan",,,,,,,,,,,,,,,1594.291,,,,,,,754.8968,,,,
"Mzimba, Malawi",,,,,,,,,,,,,,,817.95575,,,,,,,561.1027,,,,
"Bīnshangul Gumuz, Ethiopia",,,,,,,,,,,,,,,1209.1818,,,,,,,486.42157,,,,
"Minskaja voblasć, Belarus",,,,,,,,,,,,,,,1099.1752,,,,,,,698.3609,,,,
"Quảng Ngãi, Vietnam",,,,,,,,,,,,,,,1620.3123,,,,,,,1212.0272,,,,
"Helmand, Afghanistan",,,,,,,,,,,,,,,2459.5476,,,,,,,1116.1473,,,,
"Lambayeque, Peru",,,,,,,,,,,,,,,6788.7256,,,,,,,4485.806,,,,
"North East, Singapore",,,,,,,,,,,,,,,28562.02,,,,,,,16750.338,,,,
"Montevideo, Uruguay",,,,,,,,,,,,,,,6284.6704,,,,,,,5296.961,,,,
"Gorontalo, Indonesia",,,,,,,,,,,,,,,2806.986,,,,,,,1988.006,,,,
"Mizoram, India",,,,,,,,,,,,,,,4263.927,,,,,,,2104.0693,,,,
