longname,PW Mean PM2.5 Pollution,Utility gas heating %,Electricity heating %,"Bottled, tank, or LP gas heating %","Fuel oil, kerosene, etc. heating %",Other fuel heating %,No heating %
"DE-00, USA",6.747597540414532,0.4274659732299132,0.35762548642471587,0.09205530350540632,0.10203439019462236,0.016352792071309807,0.0044660545740323205
"ID-01, USA",7.241631233689065,0.5164645894528801,0.32061628904863043,0.04217646386264763,0.017706738226774703,0.09960988556878804,0.003426033840279099
"ID-02, USA",6.669431897793378,0.5196566289562886,0.35810716741245635,0.06293202201839973,0.010239175596083398,0.046286935118609734,0.002778070898162166
"WV-02, USA",6.6626478538241125,0.4540008134949802,0.3762103562430057,0.05894449026630712,0.038528026031839246,0.06899736743986394,0.0033189465240037515
"WV-01, USA",6.149294266396023,0.3656037657700031,0.5210901030997062,0.04512991010959246,0.01335762501259366,0.052028411189844456,0.0027901848182601864
"SD-00, USA",5.30196814568422,0.4687878673950681,0.3242909488430533,0.15802868306056325,0.015310357193467647,0.025843096312962863,0.007739047194884698
"UT-01, USA",6.650409132145919,0.8395788044480255,0.12283474195693209,0.021144889889114966,0.0009962482840894563,0.012316912016670822,0.003128403405167312
"UT-02, USA",6.474252611132104,0.7287313427718018,0.2196718134322395,0.02513138418486344,0.002522887929193024,0.020265207446972383,0.0036773642349298276
"UT-03, USA",6.541794861625936,0.7980655172427056,0.1447249086881492,0.028307081143435758,0.0005564806327693863,0.025999454100213187,0.002346558192726856
"UT-04, USA",6.909799620023022,0.8563579290860457,0.11300034728053934,0.019010244218613824,0.0003894167255489579,0.009877890099786076,0.001364172589466131
"IA-04, USA",6.2866878440729606,0.5739049364768295,0.2537450224385397,0.14610328045003151,0.006020479110043557,0.014771506225902217,0.005454775298653518
"IA-02, USA",6.594882431646634,0.6359272383071455,0.1890003103957994,0.1408981809576787,0.006441481171882463,0.022803335064583943,0.0049294541029101056
"IA-01, USA",7.131011131891958,0.6234027356053473,0.20646363067125476,0.1394485366997137,0.003401414056870685,0.022183135153504174,0.005100547813309251
"IA-03, USA",6.884627122312583,0.6018186819614672,0.2914602258175715,0.08188811564692548,0.001511352534044978,0.01718768279303017,0.006133941246960693
"AZ-02, USA",5.565363407249532,0.40835782325317094,0.33039938793629287,0.10107073678422938,0.0027430221040142294,0.15334444240700565,0.004084587515286951
"AZ-03, USA",9.50887687842844,0.20489438524364859,0.7620316149254728,0.010074628641972255,0.000530541970478657,0.004462463612382391,0.018006365606045346
"AZ-05, USA",9.016478287383492,0.38993922874114845,0.5846713609458808,0.013836835536851739,0.0007514299162423175,0.007429600272580329,0.003371544587296271
"AZ-09, USA",8.377723434665839,0.33208738775621405,0.5921901192563666,0.038224916158928944,0.0014545537479768113,0.027710751356886026,0.00833227172362766
