longname,PW Density (r=250m),PW Density (r=500m),PW Density (r=2km),PW Density (r=4km)
"Northeast Neighborhood, El Paso City, Texas, USA",2820.999160786082,2177.2409218664843,1523.105329976653,1048.1173561330093
"South Scottsdale Neighborhood, Scottsdale City, Arizona, USA",2843.307303909446,2199.8677454038357,1634.6611310158714,1266.9661612353675
"Alafaya Neighborhood, Orlando City, Florida, USA",4617.826713532859,2013.8084691691486,1323.764838310357,1120.3403329658884
"Koreatown Neighborhood, Los Angeles City, California, USA",21900.252185211233,17686.868019265698,13336.798225525505,9263.833655221599
"Flushing Neighborhood, New York City, New York, USA",27553.724334355273,23024.43786994346,11497.942196286547,10277.077981078863
"Westlake Neighborhood, Los Angeles City, California, USA",18309.124683238377,15736.335475231674,12228.12572288887,8675.009702554595
"Soundview Neighborhood, New York City, New York, USA",24010.742196970048,22745.977368721033,16959.180686703556,13642.404843618173
"Southeast Neighborhood, Arlington City, Texas, USA",2950.5605851453483,2378.0269920452706,1872.358818547093,1663.2650307671047
"Northwest Neighborhood, El Paso City, Texas, USA",2517.6197315292243,1678.1879830526207,1289.23553153612,1058.3760655966407
"Central City Neighborhood, Corpus Christi City, Texas, USA",2362.752023204944,1998.7408221456112,1576.9310614898056,1263.3745451086045
"Canarsie Neighborhood, New York City, New York, USA",15557.595508601056,13755.413795836277,10261.410363558862,9770.979356123984
"Downtown Neighborhood, San Jose City, California, USA",6940.393984083915,5294.156931157058,4213.588068356728,3685.674803496697
"Evergreen Neighborhood, San Jose City, California, USA",3785.5864607950507,3090.7442795833563,2426.944722981241,2145.9652898153877
"Lower East Side Neighborhood, New York City, New York, USA",38659.941738283946,33371.33847138367,22337.25505689865,17755.773308877324
"Sun Valley Neighborhood, Los Angeles City, California, USA",5503.839773086657,4260.363193359332,3074.265999258565,3044.2360544046633
"Northwest Raleigh Neighborhood, Raleigh City, North Carolina, USA",2745.97554157045,1617.066328156957,1074.8928835301112,868.8480303204159
"Sylmar Neighborhood, Los Angeles City, California, USA",5061.722628834354,4075.033456306484,2868.1610401880093,2095.1089013001942
"Mid City Neighborhood, Los Angeles City, California, USA",7608.090223400386,6732.578777637617,6480.7993421110505,6428.981904284358
"North Raleigh Neighborhood, Raleigh City, North Carolina, USA",2596.955958389574,1525.0842442538617,1122.5183705971647,979.8802376515166
"White Haven-Coro Lake Neighborhood, Memphis City, Tennessee, USA",1860.797816918178,1284.7480214404163,870.8230069984758,724.1301768300102
"North Valley Neighborhood, San Jose City, California, USA",5717.738662667722,4789.338444339887,3885.742986891608,3608.124512316978
"Northridge Neighborhood, Los Angeles City, California, USA",4602.268541393547,3406.2309407797816,2716.8480898916173,2790.684543239957
"West Neighborhood, Arlington City, Texas, USA",2661.811175819489,1938.372470112266,1473.9601271123233,1391.9917688012745
"Ahwatukee Foothills Neighborhood, Phoenix City, Arizona, USA",2713.2264650602133,1890.6882325518422,1289.3347447402682,945.9968978907588
"San Pedro Neighborhood, Los Angeles City, California, USA",6318.9345300317755,5032.870854200277,3232.4939708815,1813.8941370797909
"Woodland Hills Neighborhood, Los Angeles City, California, USA",4942.45385718278,3576.7422463043035,2442.7783273652785,2243.6308352796123
"Logan Square Neighborhood, Chicago City, Illinois, USA",9629.752601766415,9320.203812077498,8003.592548403245,7195.978734259052
"Sharpstown Neighborhood, Houston City, Texas, USA",6993.193422151448,5521.5302894873685,3501.317158629769,3392.9617138032118
"Murray Hill Neighborhood (Queens), New York City, New York, USA",21962.22569327709,20811.890654250623,11799.425752801182,7828.753258682386
"Preston Hollow Neighborhood, Dallas City, Texas, USA",3944.48682383726,3149.3498114879217,1864.7147599983766,1367.7777746394656
"South Ozone Park Neighborhood, New York City, New York, USA",13208.929005908238,12323.469684037667,9779.358584592464,8555.906084884447
"Sheepshead Bay Neighborhood, New York City, New York, USA",14379.948519523414,14633.689814180549,12209.121761165778,9694.136483953773
"Northeast Raleigh Neighborhood, Raleigh City, North Carolina, USA",3094.3911204625274,1856.3695224777168,1145.7450461834528,1035.0951166034415
"North Hollywood Neighborhood, Los Angeles City, California, USA",7725.838440564094,6454.075755031953,4846.033746416545,4044.4209208459424
"Gravesend Neighborhood, New York City, New York, USA",15209.489281529955,16375.668706289109,16676.379638781207,12495.276309251849
"Willow Glen Neighborhood, San Jose City, California, USA",4117.229144243575,3747.127843945697,3277.467776791173,3274.1612559699793
"Canyon Country Neighborhood, Santa Clarita City, California, USA",4758.587028552916,3081.3567176901774,1871.5393852162647,1233.2998217409677
"Sherman Oaks Neighborhood, Los Angeles City, California, USA",5217.962250338614,4240.238199677119,3457.49740927858,3077.641865796937
"Boyle Heights Neighborhood, Los Angeles City, California, USA",8184.7031870519295,7416.894856496401,5498.496606852961,4175.059545447114
"Pacoima Neighborhood, Los Angeles City, California, USA",6507.874640520194,5262.194882606235,3867.558755720328,3173.3121282615343
"Mira Mesa Neighborhood, San Diego City, California, USA",5972.187206622555,4029.888622284243,2695.631939247502,1882.9026498909204
"West Anaheim Neighborhood, Anaheim City, California, USA",6487.811328967117,5141.968696793566,4486.963971779971,3960.844664203416
"Forest Hills Neighborhood, New York City, New York, USA",22554.01001979753,18317.46599205165,12557.427566568587,13145.635104253613
"Far Rockaway Neighborhood, New York City, New York, USA",13293.570570863007,10647.92145660204,4892.215728459918,2185.8208248462925
"Little Village Neighborhood, Chicago City, Illinois, USA",12324.735504497097,10364.704652998136,6036.216952101507,4689.477852075014
"Southwest Neighborhood, Chula Vista City, California, USA",4977.231095457544,4089.017865069902,3216.2271938826834,2747.4569598864596
"Cordova-Appling Neighborhood, Memphis City, Tennessee, USA",2336.245720073232,1629.586276982986,1117.321089138151,954.1025458539162
"Central Southwest Neighborhood, Houston City, Texas, USA",3595.8127635005376,2237.1670985486185,1446.567125883062,1330.224439718783
"Eldridge - West Oaks Neighborhood, Houston City, Texas, USA",5020.346149881917,3386.647120895087,2565.961323843099,2219.0102178746433
"West Rogers Park Neighborhood, Chicago City, Illinois, USA",10374.755981394213,9245.827554388892,7119.957777831204,5788.542992457741
"Blossom Valley Neighborhood, San Jose City, California, USA",5198.430962417352,3943.407998684979,3373.1467631038304,3022.2872397987003
"Santurce Neighborhood, San Juan City, Puerto Rico, USA",7000.133855410998,5997.8308958656235,3747.1548735294123,2201.767150362278
"Cambrian Park Neighborhood, San Jose City, California, USA",3408.4717612329955,3158.8041545495066,2856.606879031339,2602.486114695479
"Jackson Heights Neighborhood, New York City, New York, USA",41888.14535744118,37264.23904769028,24098.10662446972,14041.51341940685
"East Elmhurst Neighborhood, New York City, New York, USA",20180.029403126657,18441.309442841062,17075.068888428163,13020.89985518572
"Reseda Neighborhood, Los Angeles City, California, USA",6046.283557183495,5195.724308454327,4310.117535904046,3639.308600698689
"East Village Neighborhood, New York City, New York, USA",44749.85881598695,39330.401987022735,26364.93794709541,17965.18574758245
"Cedar Crest Neighborhood, Dallas City, Texas, USA",2434.574570545151,2058.8472758398143,1737.087235901574,1547.252564667733
"Midwood Neighborhood, New York City, New York, USA",16694.15906539931,17041.601941209043,16680.838855871327,16537.39102401839
"Laveen Neighborhood, Phoenix City, Arizona, USA",2705.5419615189044,2182.4688993864843,1380.2427023253047,980.2522435029188
"Ridgewood Neighborhood, New York City, New York, USA",23502.52224546364,21870.299749945738,14278.94790594574,13339.740175108407
"Bath Beach Neighborhood, New York City, New York, USA",20239.1282044317,17727.860692839626,12732.842102383769,11169.583556515767
"Princess Anne Neighborhood, Virginia Beach City, Virginia, USA",2572.5822832222993,1275.2735087102787,763.6238993840195,616.7785502157516
"Centennial Hills Neighborhood, Las Vegas City, Nevada, USA",3285.531955942281,2699.6862459276012,1932.1446678839939,1599.7316354367113
"Kingwood Neighborhood, Houston City, Texas, USA",2437.6846472207444,1588.5147177058634,1157.982281007905,874.4399324200022
"Far Eastside Neighborhood, Indianapolis City, Indiana, USA",2464.824462456663,1846.7038382211651,1368.522191137651,1153.6326281854108
"Brentwood Neighborhood, Town of Islip City, New York, USA",3474.8451676924,3086.8673346977052,2369.7471194303125,1937.2245709819501
"Park Slope Neighborhood, New York City, New York, USA",24084.72692658907,21225.440726318244,14936.227705668261,16387.1815061163
"South Dorchester Neighborhood, Boston City, Massachusetts, USA",8455.82049603304,7858.616462928367,6051.853450006916,4365.080202246061
"Southeast Colorado Springs Neighborhood, Colorado Springs City, Colorado, USA",3670.5732360026045,2899.8525297729684,1972.26104889338,1523.8320565646113
"East Colorado Springs Neighborhood, Colorado Springs City, Colorado, USA",2686.4303069137213,2072.2044017147186,1707.5618893736942,1687.4540523257226
"Hickory Ridge-South Riverdale Neighborhood, Memphis City, Tennessee, USA",3305.2545209240834,2385.6312174986965,1729.2334439620809,1429.166506059765
"Panorama City Neighborhood, Los Angeles City, California, USA",12291.532540972652,10672.030204608911,6871.222672076889,4870.791075171719
"Northeast Colorado Springs Neighborhood, Colorado Springs City, Colorado, USA",2681.583949999308,2093.2360736701585,1762.9846599012092,1633.7040653966421
"South Belt - Ellington Neighborhood, Houston City, Texas, USA",3529.143745753301,2251.374326284371,1679.1012425437223,1543.373380256351
"Greater Fondren Southwest Neighborhood, Houston City, Texas, USA",5280.044264387556,3945.2075919312465,2867.778313630351,2448.8716040573827
"Central Colorado Springs Neighborhood, Colorado Springs City, Colorado, USA",2217.931968546275,1873.9282533262228,1444.5258821044163,1429.3091486688681
"Brownsville Neighborhood, New York City, New York, USA",24655.104348453417,20629.458578398335,18131.58791645059,16533.853625489653
"Woodward Park Neighborhood, Fresno City, California, USA",2833.174973194962,2238.20875447242,1762.150682870854,1399.7651720058282
"Summerlin North Neighborhood, Las Vegas City, Nevada, USA",3182.383284154245,2286.3959840719117,1689.6394440308354,1477.1725891434403
"Clear Lake Neighborhood, Houston City, Texas, USA",3034.4511895885303,2066.0024029649353,1440.2621782747226,1083.0932537358185
"Ozone Park Neighborhood, New York City, New York, USA",15221.263923489272,13827.202614564147,12924.048348681954,9788.559548619576
"Central City Neighborhood, Phoenix City, Arizona, USA",3772.4451662069455,2614.2843972362857,1835.7441244170202,1550.8389056724695
"Mclane Neighborhood, Fresno City, California, USA",3603.093260713163,2977.378226770591,2346.968124642166,2170.182836673972
"Oak Lawn Neighborhood, Dallas City, Texas, USA",6431.47863728292,5407.55465407298,3894.875673066677,2720.6212830247887
"Kempsville Neighborhood, Virginia Beach City, Virginia, USA",3811.163521950765,2537.7014859470296,1814.664774452677,1734.7398441136895
"Gramercy Neighborhood, New York City, New York, USA",55145.311216759554,43505.813471218455,25855.52164375851,18351.20315714679
"Midtown Neighborhood, Memphis City, Tennessee, USA",2013.1812261475384,1780.9030886922878,1414.392033458106,1258.4867429439064
"Fresno High Roeding Neighborhood, Fresno City, California, USA",3357.6724033469195,2993.9350152973293,2583.6549578173585,2241.343015787541
