longname,Within 10km of Hospital %,Mean distance to nearest Hospital
"South Bend-Elkhart IN Media Market, USA",0.7603729624243437,1.0
"Jackson MS Media Market, USA",0.6796306556275076,1.0
"Ft. Smith-Fayetteville-Springdale-Rogers AR Media Market, USA",0.6943921060856365,1.0
"Boise ID Media Market, USA",0.8487340597214488,1.0
"Burlington VT-Plattsburgh NY Media Market, USA",0.5107588547021883,1.0
"Bakersfield CA Media Market, USA",0.8194764258532129,1.0
"Reno NV Media Market, USA",0.7963631618962546,1.0
"Greenville-New Bern-Washington NC Media Market, USA",0.5296049474997349,1.0
"Tri-Cities TN-VA Media Market, USA",0.6402818010875642,1.0
"Myrtle Beach-Florence SC Media Market, USA",0.62648532897675,1.0
"Monterey-Salinas CA Media Market, USA",0.7661594993100526,1.0
"Davenport IA-Rock Island-Moline IL Media Market, USA",0.7351825708426205,1.0
"Tallahassee FL-Thomasville GA Media Market, USA",0.6384700576342752,1.0
"Tyler-Longview (Lufkin & Nacogdoches) TX Media Market, USA",0.6535675978021255,1.0
"Yakima-Pasco-Richland-Kennewick WA Media Market, USA",0.802045206785231,1.0
"Lincoln & Hastings-Kearney NE Media Market, USA",0.7733803919252182,1.0
"Ft. Wayne IN Media Market, USA",0.7448617373190377,1.0
"Johnstown-Altoona PA Media Market, USA",0.639060954029024,1.0
"Evansville IN Media Market, USA",0.6375109085094505,1.0
"Santa Barbara-Santa Maria-San Luis Obispo CA Media Market, USA",0.8253964995264451,1.0
"Augusta GA Media Market, USA",0.6521440263213137,1.0
"Sioux Falls (Mitchell) SD Media Market, USA",0.6967770545898258,1.0
"Springfield-Holyoke MA Media Market, USA",0.8417577042230556,1.0
"Lansing MI Media Market, USA",0.6465515718567282,1.0
"Macon GA Media Market, USA",0.6986663462693741,1.0
"Fargo-Valley City ND Media Market, USA",0.6808079237384386,1.0
"Eugene OR Media Market, USA",0.7770859030264681,1.0
"Youngstown OH Media Market, USA",0.7860057221047394,1.0
"Montgomery (Selma) AL Media Market, USA",0.7153515010503113,1.0
"Peoria-Bloomington IL Media Market, USA",0.6659696153582754,1.0
"Lafayette LA Media Market, USA",0.8090992511878041,1.0
"Traverse City-Cadillac MI Media Market, USA",0.37117290149395366,1.0
"Columbus GA Media Market, USA",0.7206326557995084,1.0
"Corpus Christi TX Media Market, USA",0.7256508528357706,1.0
"La Crosse-Eau Claire WI Media Market, USA",0.5965605754835931,1.0
"Amarillo TX Media Market, USA",0.7189918390642176,1.0
"Chico-Redding CA Media Market, USA",0.6869493225803309,1.0
"Wilmington NC Media Market, USA",0.5907931954902195,1.0
"Columbus-Tupelo-West Point MS Media Market, USA",0.5493023198430682,1.0
"Columbia-Jefferson City MO Media Market, USA",0.5874526601286653,1.0
"Odessa-Midland TX Media Market, USA",0.8237826618793488,1.0
"Rockford IL Media Market, USA",0.7203133622094721,1.0
"Lubbock TX Media Market, USA",0.7933591893870318,1.0
"Monroe LA-El Dorado AR Media Market, USA",0.7211016424987974,1.0
"Topeka KS Media Market, USA",0.758348528094738,1.0
"Beaumont-Port Arthur TX Media Market, USA",0.7076011760636458,1.0
"Anchorage AK Media Market, USA",0.6892704557436652,1.0
"Medford-Klamath Falls OR Media Market, USA",0.6876703385300278,1.0
"Wausau-Rhinelander WI Media Market, USA",0.6291259789760433,1.0
"Salisbury MD Media Market, USA",0.5401716163989003,1.0
"Palm Springs CA Media Market, USA",0.8236663920848005,1.0
"Minot-Bismarck-Dickinson ND Media Market, USA",0.6984954597128461,1.0
"Duluth MN-Superior WI Media Market, USA",0.6180828993606842,1.0
"Idaho Falls-Pocatello ID Media Market, USA",0.7235684047006368,1.0
"Sioux City IA Media Market, USA",0.6728256165127129,1.0
"Wichita Falls TX & Lawton OK Media Market, USA",0.7314222648474888,1.0
"Albany GA Media Market, USA",0.6476368089282354,1.0
"Joplin MO-Pittsburg KS Media Market, USA",0.6422751810269712,1.0
"Erie PA Media Market, USA",0.6511447606894746,1.0
"Panama City FL Media Market, USA",0.5150135160041777,1.0
"Yuma AZ-El Centro CA Media Market, USA",0.5334412630382472,1.0
"Rochester MN-Mason CityIa-Austin MN Media Market, USA",0.6200573036022015,1.0
"Biloxi-Gulfport MS Media Market, USA",0.7451662047616733,1.0
"Terre Haute IN Media Market, USA",0.5989757262257891,1.0
