longname,PW Density (r=2km) [GHS-POP],PW Density (r=4km) [GHS-POP]
"Tokyo 200MPC, South Africa-China-Madagascar",3440.4053,2678.971
"New Taipei [Taipei] 200MPC, Indonesia-China-Philippines",3312.0527,2585.7217
"Quezon City [Manila] 200MPC, Philippines-Vietnam-China",6017.9478,4850.687
"New York 200MPC, USA-Canada",1810.3604,1559.0668
"Jakarta 200MPC, Indonesia",5602.553,4933.48
"Dhaka 200MPC, Bangladesh-India",11251.557,8995.347
"Paris 200MPC, Germany-France-Italy",2370.8337,1939.1532
"Cairo 200MPC, Turkey-Egypt-Syria",11759.554,9198.781
"Bogota 200MPC, Colombia-Peru-Venezuela",5519.998,4326.737
"Bengaluru 200MPC, India",6908.6265,5569.773
"London 200MPC, Spain-United Kingdom-Algeria",3384.2397,2514.375
"Lahore 200MPC, Pakistan-India",5858.1353,4533.516
"Shanghai 200MPC, China",8316.827,6645.6685
"Lucknow 200MPC, India",2966.871,2100.1519
"Zhengzhou 200MPC, China",3258.747,2501.1086
"Luanda 200MPC, Democratic Republic of the Congo-Angola-Malawi",5476.059,4222.719
"Dar es Salaam 200MPC, Ethiopia-Tanzania-Cameroon",6144.1187,4441.2407
"Varanasi 200MPC, India",3982.9949,2978.4058
"Guangzhou 200MPC, China",7001.2397,5160.811
"São Paulo 200MPC, Brazil-Argentina-Bolivia",4429.993,3697.3213
"Chongqing 200MPC, China",4749.9517,3351.0435
"Chengdu 200MPC, China-Vietnam",3814.4155,2681.3987
"Moscow 200MPC, Ukraine-Russia-Poland",3018.5286,2316.7654
"Baghdad 200MPC, Russia-Iraq-Uzbekistan",3691.905,2578.3804
"Mumbai (Outer) 200MPC, India-Pakistan",6548.034,4957.141
"Nairobi 200MPC, Ethiopia-Kenya-Uganda",2488.7766,1680.0559
"Beijing 200MPC, China-North Korea",7538.6226,5910.1455
"Mexico City 200MPC, Mexico-USA-Guatemala",2853.1904,2297.8872
"Osaka [Kyoto] 200MPC, Japan-China-South Korea",5108.374,4199.189
"Delhi [New Delhi] 200MPC, India",7665.7354,6050.843
"Bangkok 200MPC, Myanmar-Thailand-Bangladesh",3806.1333,2824.7798
"Saint Petersburg 200MPC, Morocco-United Kingdom-Russia",3363.557,2296.477
"Colombo 200MPC, India-Sri Lanka",2918.253,1963.8251
"Karachi 200MPC, Iran-Afghanistan-Pakistan",9411.54,7223.7656
"Kano 200MPC, Nigeria",3613.9204,2423.8948
"Riyadh 200MPC, Egypt-Ethiopia-Saudi Arabia",4998.1636,3452.0142
"Taiyuan 200MPC, China",4198.109,2904.0864
"Abidjan 200MPC, Ghana-Ivory Coast-Burkina Faso",3202.9463,2343.415
"Mumbai (Center) 200MPC, India",9402.631,6613.517
"Los Angeles 200MPC, USA-Brazil-Mexico",2576.2903,2027.0195
