longname,Population,PW Density (r=1km),AW Density,Area,Compactness
"California, USA",39531994.0,3071.1959579820814,96.46199244118934,409819.38066541334,0.25293696264920984
"Texas, USA",29143938.0,1391.497113944523,42.37990617390788,687682.9288013645,0.15535333109607946
"Florida, USA",21535757.0,1488.5808956802234,142.7475297973021,150866.0572311145,0.08746224371095651
"New York, USA",20200470.0,9190.162944330168,159.1294360127758,126943.64101421305,0.1554479045857623
"Pennsylvania, USA",13002739.0,1833.2781389835552,110.81228485245968,117340.23007749018,0.4519111324778775
"Illinois, USA",12810530.0,2508.586504837062,87.79400282992607,145915.77541824206,0.4036242567696052
"Ohio, USA",11798637.0,1018.0435016833655,110.41414260218139,106858.02309320202,0.42018058282203175
"Georgia, USA",10711705.0,782.5993222552372,70.20814159253246,152570.6956063245,0.39775204942264775
"North Carolina, USA",10438387.0,619.319863134111,81.20498291187711,128543.6758397898,0.085716004822236
"Michigan, USA",10075930.0,1002.5088743792106,66.76743865153682,150910.83623241668,0.05649010589852632
"New Jersey, USA",9288463.0,3041.6055468018,461.7960786548695,20113.77625175089,0.3196821244753462
"Virginia, USA",8631075.0,1288.6817684304647,82.35514714557205,104803.10337790543,0.10530595453124546
"Washington, USA",7704256.0,1598.8588840625353,43.94114862844642,175331.23826928032,0.09355970253892505
"Arizona, USA",7151502.0,1570.0502316061686,24.22321600147248,295233.3827005165,0.6146833638099249
"Massachusetts, USA",7027821.0,2432.8610697027384,331.3633703856278,21208.8046781432,0.07690629894743979
"Tennessee, USA",6910843.0,632.2266268407894,63.336886373895055,109112.45240574969,0.23393874797632913
"Indiana, USA",6785528.0,812.0111422116352,72.39885674399352,93724.24241440736,0.4132166059492239
"Maryland, USA",6177226.0,1724.8814625039386,231.82926803914594,26645.582985479356,0.039453508851846966
"Missouri, USA",6154921.0,867.6699610989217,34.090767892315895,180545.0971196025,0.34998603038869225
"Wisconsin, USA",5893303.0,1057.8229140824922,40.54915276381003,145337.2659677307,0.23262953134892247
"Colorado, USA",5773714.0,1578.2790057410468,21.41588180448794,269599.638843265,0.6684799796883069
"Minnesota, USA",5706331.0,1107.7437732966916,26.108697543408695,218560.53870602208,0.2205417440143432
"South Carolina, USA",5118438.0,538.3531170827106,63.52378555843528,80575.14134278992,0.3545624005368991
"Alabama, USA",5024186.0,462.2766598144904,37.523956885993535,133892.75590697004,0.45266356159047944
"Louisiana, USA",4657744.0,847.5517130987212,38.1759531356584,122007.27466970342,0.09407021354604561
"Kentucky, USA",4505917.0,685.4557460491545,43.05601328270716,104652.4435602991,0.23836274410229116
"Oregon, USA",4237190.0,1519.420170316513,16.85872660418837,251335.11560400508,0.4654263333319922
"Oklahoma, USA",3959361.0,769.9488030484047,21.870451007437563,181037.0073600003,0.28317657440423744
"Connecticut, USA",3605659.0,1377.2868291812308,278.995193861769,12923.73158867554,0.352243944221523
"Puerto Rico, USA",3284932.0,1453.0144915981286,367.9370091171266,8927.973861292918,0.1562632549701399
"Utah, USA",3271616.0,1555.3865426416874,14.878470233631635,219889.27279665918,0.7113496887037501
"Iowa, USA",3190369.0,797.504197155686,21.89014538389103,145744.5322564095,0.4077933781329231
"Nevada, USA",3104614.0,2231.1159943673106,10.841143402396321,286373.29890071903,0.651278625169258
"Arkansas, USA",3011508.0,492.91269954145645,21.857039579236158,137782.06280327574,0.3266503267696555
"Mississippi, USA",2961067.0,369.8214228876935,23.981660507648684,123472.14235042651,0.23805617575383392
"Kansas, USA",2937880.0,878.8019412015726,13.786662267108731,213095.81268332014,0.534225863139955
"New Mexico, USA",2117522.0,972.2659839881569,6.723991491469433,314920.38660168584,0.6782596355578608
"Nebraska, USA",1961504.0,1091.7262203712298,9.791147364273087,200334.43753051158,0.39193029309813043
"Idaho, USA",1839106.0,961.3315864475305,8.496993216796001,216441.97577616517,0.3119598197457824
"West Virginia, USA",1793668.0,399.7037933717337,28.581812393438774,62755.57250567334,0.19123301741650528
"Hawaii, USA",1453772.0,2660.929673124569,86.9060889974509,16728.07989371886,0.08338490280469622
"New Hampshire, USA",1377387.0,626.4408113335447,57.30025412234838,24038.06093178893,0.3575134248605944
"Maine, USA",1362190.0,436.8230116043947,16.047228088446904,84886.31136119388,0.08168101245952422
"Rhode Island, USA",1097097.0,2011.1912198467314,385.83977065510317,2843.4005082920285,0.11376588085667938
"Montana, USA",1084225.0,616.6168144898686,2.8469360458487247,380839.2540397838,0.34946512051570183
"Delaware, USA",989822.0,1097.9577588338136,190.0900017660704,5207.122893386577,0.3862582752383626
"South Dakota, USA",886667.0,685.9096411077655,4.439362859146461,199728.43584371384,0.43347130436582443
"North Dakota, USA",779123.0,834.0566838803317,4.254978444022012,183108.56570721781,0.3499739810510243
"Alaska, USA",731461.0,804.6252621808336,0.48103576582472496,1520595.8724211007,0.0062595640962523165
"District of Columbia, USA",689482.0,6569.571121790082,3896.9233401173087,176.92983408271115,0.5262571019289503
"Vermont, USA",643045.0,447.37006789505784,25.822110629872352,24902.883006631237,0.3483908064883227
"Wyoming, USA",576851.0,623.9747945904411,2.2771187694848183,253324.95069218916,0.6525538840992468
