longname,PW Mean % of parkland within 1km,Within 10km of Hospital %,Mean distance to nearest Hospital,Within 2km of Public School %,Mean distance to nearest Public School,Within 30km of Airport %,Mean distance to nearest Airport,Within 10km of Active Superfund Site %,Mean distance to nearest Active Superfund Site
"Dover-Rochester [Urban Area], NH-ME, USA",0.003589754841137613,0.9994750728681743,3.5159563177685493,0.7919630893343095,1.3285465075203473,0.9287618626624856,20.458932684312355,0.9797074221933666,6.186327437058571
"Janesville [Urban Area], WI, USA",0.04027126213599331,0.9513453690253856,3.7188643510713804,0.9551497544442139,0.846174853318144,0.0,53.99681795079641,0.9485370408798506,4.270003897274915
"Pocatello [Urban Area], ID, USA",0.030787267379520297,0.9993075847170099,4.204313413697364,0.9656285053523701,0.7624629275471958,1.0,12.61159708554879,0.9101521928792012,6.888457966145641
"Bluffton East-Hilton Head Island [Urban Area], SC, USA",0.00617147239783616,0.49594842949431944,9.488700350499903,0.4487079527734462,3.216442452315281,0.018963020717308977,39.532092618953975,0.0,18.480212763087707
"Kiryas Joel [Urban Area], NY, USA",0.02545904782370729,0.03369562180436422,14.220259045377475,0.7198597412757397,1.5456398925718642,1.0,19.441352395377667,0.0008381995473722444,15.607558300498455
"Fairbanks [Urban Area], AK, USA",0.013503581508069077,0.798041907109642,5.554499565764727,0.7459241414084823,1.3828975795592948,0.9600677909126561,12.373119858030403,0.6476133116701216,8.176309406315841
"Michigan City-La Porte [Urban Area], IN-MI, USA",0.01838736501892746,0.9449325318424482,3.5060893636962933,0.8494121933106338,1.2357131430058168,0.0,42.09517087272815,0.01558143119368896,16.136200973364616
"Glens Falls [Urban Area], NY, USA",0.011727607114007272,0.953407031787726,4.550435884737841,0.7336882471098874,1.4791744229756865,0.0,60.439803013669334,0.9361998005365847,5.605935995453516
"San Marcos [Urban Area], TX, USA",0.016607865438322596,1.0,2.659220109971978,0.8695922373977769,1.377701831614239,0.0,44.153194535934844,0.0,78.9335470043011
"Bristol [Urban Area], TN-VA, USA",0.0064269473137823245,0.9575016280189134,4.80877964435587,0.7066734618760441,1.603710384496246,0.75939296129562,27.484738364573243,0.0,44.85838434189875
"Tulare [Urban Area], CA, USA",0.02269443120390892,1.0,2.6943841929814125,0.9768222234807725,0.6853683362643436,0.0,71.65866064016824,0.0,33.71702926121463
"Dubuque [Urban Area], IA-IL, USA",0.028497439111461426,0.9992748677700051,3.1918632268948746,0.8975430813854292,0.9789301942151748,1.0,11.982590953076206,0.9821702781095376,4.078675798008622
"Porterville [Urban Area], CA, USA",0.010752536177789216,1.0,2.325175750254636,0.9881051215252927,0.6445498851476797,0.0,70.95254303971393,1.0,3.5352255835994586
"Longview [Urban Area], WA-OR, USA",0.02961200457300049,0.9543248235277273,3.6283808739709746,0.9351097492876677,0.842680489534466,0.0,68.41506120895397,0.0,51.88370901509347
"Sumter [Urban Area], SC, USA",0.009780394426016024,0.8548056665455867,5.925405404506267,0.7030294224482383,1.6954588596799536,0.0,64.63746532713668,0.0,45.80635998169318
"Brunswick-St. Simons [Urban Area], GA, USA",0.007213232375794426,0.8570036363636364,5.073961243487625,0.6739927272727273,1.7120414059791396,1.0,9.182009571470347,0.8558690909090909,4.8661866567844925
"Watsonville [Urban Area], CA, USA",0.0500865677887271,1.0,3.0666420069990203,0.9564134676996563,0.58528123257983,0.0,38.24804745938694,0.0,18.910904259888174
"Lima [Urban Area], OH, USA",0.017591451700866196,0.9982514935159551,3.338974897793968,0.7891884015736559,1.2847329734447783,0.0,91.53807331070338,0.0,74.36731734447935
"Fajardo [Urban Area], PR, USA",0.004187006634676844,0.7868983918235234,5.959986553304718,0.8535290944348054,1.101202906626474,0.06265035648154899,37.35673399745426,0.0,26.344101808456127
"Bay City [Urban Area], MI, USA",0.021836012210442735,0.998875452739806,2.8284976013320122,0.9425750671807455,0.897464590419892,1.0,17.352130574231033,0.0,52.84766969825171
"Grand Forks [Urban Area], ND-MN, USA",0.04874794703391248,1.0,2.2154054142248683,0.9776848591549295,0.7584222878072986,1.0,10.458742153671631,0.0,184.56310187861845
"Dalton [Urban Area], GA, USA",0.010511162765756627,0.9811587793011942,4.786224862553576,0.783311219224532,1.391191290937959,0.08987173816895179,35.51967199650823,0.0,37.22573080071299
"El Paso de Robles (Paso Robles)-Atascadero [Urban Area], CA, USA",0.01719198646983995,0.9056692820482567,5.7265828907837,0.9506666273376202,0.9405702654172541,0.35915285233909505,35.42990575020588,0.0,22.893110122485393
"Casper [Urban Area], WY, USA",0.011741934136674168,0.9643990494605246,3.598774094903005,0.9167097164617496,0.8723167298950036,1.0,14.17907969051073,0.6071497099673806,8.873771076494332
"Great Falls [Urban Area], MT, USA",0.03299178496969085,1.0,2.7425501737522304,0.9737842228415577,0.8074270315122706,1.0,7.538982316635262,0.9942769423372133,4.133429227529773
"Mount Vernon [Urban Area], WA, USA",0.031518302567993976,1.0,3.0017965160195983,0.9407407407407408,0.8192032245928682,0.0,41.93882758667489,0.0,29.453088778467926
"Corvallis [Urban Area], OR, USA",0.04291538566709852,0.9298857630519082,4.917789401744523,0.954754383075564,1.0110352964770253,0.0,49.81919701956079,0.83250737374796,7.673202984276628
"Sherman-Denison [Urban Area], TX, USA",0.011482117745398014,1.0,2.2585003162873587,0.841432876999895,1.1561224455321144,0.0,95.60813640493096,0.0,77.33281486686624
"Hanford [Urban Area], CA, USA",0.01445233638556725,1.0,2.081916328425928,0.9985593805336295,0.7045755871925271,0.0,49.352155280488105,0.0,25.135855939311337
"Conway [Urban Area], AR, USA",0.009283558345777364,0.9947612542968223,2.987765393713248,0.9335624971854877,1.1970946330182233,0.003347393386271184,44.53720656569359,0.0,37.43707795211742
"Morristown [Urban Area], TN, USA",0.010355580198172436,0.8377192323299117,5.529781532835061,0.5972888080674492,1.8952075131751585,0.0,72.74190016028004,0.0,60.43920967869985
"Kankakee [Urban Area], IL, USA",0.034028986798502525,1.0,3.5807184553479927,0.8051705997294454,1.226766571455299,0.0,72.30550414565248,0.0,23.960013656110604
"Ames [Urban Area], IA, USA",0.05424593504974527,1.0,3.5582886230753417,0.8046938590937868,1.3248824026717954,0.0,54.90591126936183,0.0,49.963987489408915
"Victoria [Urban Area], TX, USA",0.0068110128216136165,0.9989240141848271,2.37316038620441,0.9844057830448883,0.7853931862189734,1.0,7.638524041304996,0.0,45.98034717730392
"Petaluma [Urban Area], CA, USA",0.027578489521147012,1.0,2.5046665606837966,0.9989268247811489,0.580050418194755,0.04792493905897864,33.26998674231846,0.0,42.88716300622477
"Barceloneta-Florida-Bajadero [Urban Area], PR, USA",0.0016737876483263658,0.6975872137697864,8.604205194604333,0.8054095589365299,1.2834352566417166,0.0,46.27351006597063,1.0,5.171696145794331
"Juana Díaz [Urban Area], PR, USA",0.0004123296041931589,0.8068990972425142,6.111622868580587,0.7757716500315273,1.2487093207110944,1.0,9.196120406045917,0.0,29.59653813692735
"Steubenville-Weirton [Urban Area], OH-WV-PA, USA",0.010507268117492705,0.9333189701605085,3.8749617967775625,0.8914451916714117,1.0965073192513277,0.15732290977362615,35.08381998644895,0.0,37.92486941486612
"DeKalb [Urban Area], IL, USA",0.044556044664421826,1.0,3.6407664107104827,0.8928880375679684,1.0638767080727325,0.0,40.5783904138393,0.0,33.27280399968842
"Yauco [Urban Area], PR, USA",0.0037017476297845483,0.759787117476716,5.968360567003241,0.8962980355325977,1.0253018977662092,0.5083822493543085,27.163951943422706,0.0,21.2122886963198
"Rocky Mount [Urban Area], NC, USA",0.009719080805656309,0.9280534622493957,4.8393144588333,0.7247262903455141,1.651409428461846,0.0,86.65790136116853,0.0,72.91636258152204
"Sebring-Avon Park [Urban Area], FL, USA",0.006874018877813102,0.9386384820765598,4.873767027108714,0.5599001532458094,2.2330625696984114,0.0,84.01554678010923,0.0,75.10703810516841
"Beloit [Urban Area], WI-IL, USA",0.03066475086120503,0.8525359504066716,5.779649860605284,0.9766143991882422,0.7772854510424259,0.1449907250328984,34.89917211726201,0.9281943145244399,5.613514799226323
"Kokomo [Urban Area], IN, USA",0.01794785306562231,1.0,2.394127047357249,0.858939529532089,1.2066080284009086,0.0,84.79876735821857,0.9947903349526975,3.626491285062085
"Parkersburg [Urban Area], WV-OH, USA",0.023412247743835914,0.952704,3.3823336311226333,0.898368,0.9215242356906453,1.0,12.901575776890345,0.831856,6.587873863427133
"Elmira [Urban Area], NY, USA",0.018622124004426588,0.9492220016648524,3.792895500258916,0.9409137478388935,0.9556863339665203,1.0,8.532513747269084,0.9818146891208299,4.906986516773679
"Titusville [Urban Area], FL, USA",0.004847103174837642,0.9258873821226725,5.5994197192811805,0.8487327686962648,1.2898232393137332,0.0,44.70281764661133,0.0,46.0751445136103
"Lexington Park-California-Chesapeake Ranch Estates [Urban Area], MD, USA",0.010283574009337295,0.14463048498845266,15.477113811116,0.6714139081344624,1.7397229777882484,0.0,66.82566985526412,0.7207788042083654,7.698623673438091
"Albany [Urban Area], OR, USA",0.026977619622781474,0.9955053645648742,3.5916605635859726,0.9006991655121307,0.9617507584756294,0.0,56.983528514607706,0.9791700228759223,4.991645200249289
"Benton Harbor-Lincoln-St. Joseph [Urban Area], MI, USA",0.014942242829584998,0.9032607290589452,5.682853820198852,0.8595527404343329,1.2858417849377843,0.0002585315408479835,42.177728618385814,0.9189342037228542,4.4914054545698745
"Sandusky-Port Clinton [Urban Area], OH, USA",0.01604477212446774,0.809662633820838,4.878743049491686,0.8034109129779894,1.5729185679729984,0.0,70.47911694198456,0.0,97.72479192076042
"Carson City [Urban Area], NV, USA",0.020371893059511165,0.9939476545132974,3.4437345991882706,0.8564799039413263,1.194165999473699,0.0,37.59305778457042,0.016794041766051697,16.466238490933204
"Bangor [Urban Area], ME, USA",0.01751418667206986,0.748062204455711,5.554809452250093,0.8780123173922229,1.060341091208707,1.0,8.745309125633893,0.0,36.54133049321109
"Johnstown [Urban Area], PA, USA",0.02378349150239086,1.0,2.6705129829362537,0.7775556314104127,1.3888166237546473,1.0,7.500476848348177,0.0,54.360358522293645
"Middletown [Urban Area], NY, USA",0.02835644850457306,1.0,4.125634488193792,0.6635021782950777,1.7765607175283105,0.9995123219975292,25.37190678700072,0.14744131608036934,13.224428479768546
"Woodland [Urban Area], CA, USA",0.01592212609658804,1.0,2.8433161269938454,1.0,0.5639607058890068,1.0,15.697161366676626,0.0,15.497533770915748
"Columbus [Urban Area], IN, USA",0.01672680894071852,0.9013479387360205,4.879416528842153,0.8230953396084091,1.3402727522785263,0.0,63.037301461963324,0.8552523695516709,6.6845521000394
"Lewiston [Urban Area], ME, USA",0.0264277102677215,0.8896827617997135,3.4049584654035803,0.9195627479709596,1.0335925222564488,0.0,41.05756033054449,0.0,18.371789164325445
"Decatur [Urban Area], AL, USA",0.017476493653484883,1.0,2.409106960683326,0.9348969532568063,0.951153206147023,0.9964768930497204,21.53180371397373,0.0,30.65341685700527
"Manhattan [Urban Area], KS, USA",0.04739305591013831,1.0,3.0814274719399117,0.8529460416184206,1.1695666479514975,1.0,9.346911573870795,0.08308796771098687,14.123573850810551
"Rome [Urban Area], GA, USA",0.01436947659553527,0.9832624207406917,3.8531016635334208,0.8282535635647236,1.297453126739933,0.0,85.68796282942064,0.0,28.280579939824992
