longname,Housing Units per Adult,Housing Units per Adult (2010),Housing Units per Adult (2000),Vacancy %,Vacancy % (2010),Vacancy % (2000),Rent/Income < 20%,Rent/Income 20%-40%,Rent/Income > 40%,1BR Rent < $750 %,1BR Rent $750 - $1500 %,1BR Rent > $1500 %,2BR Rent < $750 %,2BR Rent $750 - $1500 %,2BR Rent > $1500 %,% units built pre-1970,% units built in 1970s,% units built in 1980s,% units built in 1990s,% units built in 2000s,% units built in 2010s+,Renter %
"Central District of California, CA, USA",0.4531904499517377,0.47189206580985504,0.48511164960922987,0.06027809155546428,0.07582766598055833,0.05744448858497663,0.19838115999645684,0.39936684180121734,0.402251998202326,0.10779503531938368,0.4375068263375846,0.45469813834303185,0.04290566950217135,0.2893433521645067,0.6677509783333219,0.44805640213610004,0.16327818114750609,0.149596871870927,0.09440494476975832,0.09645238614976075,0.048211213925947745,0.46756854893811894
"Middle District of Florida, FL, USA",0.5777365826951679,0.621826934419403,0.6041402600124859,0.13508094403246781,0.17656929330875842,0.13309588584443488,0.21007127842996143,0.4208651065426636,0.36906361502737495,0.2079109443458647,0.6682230686225887,0.12386598703154655,0.10486038402278265,0.6545419509977612,0.24059766497945623,0.17011524382217366,0.15599322736985385,0.19895760881336894,0.16800924261648748,0.20696061051450307,0.09996406686361288,0.3103919528616965
"Southern District of Texas, TX, USA",0.5193442996541627,0.5335516918296197,0.535763820050479,0.10064937778627525,0.11217283255149248,0.10150732363386465,0.25185297556318137,0.40299309634710045,0.345153928089718,0.21000828101022234,0.686840489692774,0.10315122929700363,0.1480812323371563,0.6670315544263954,0.18488721323644833,0.19275087205044947,0.15209708032721822,0.1564002385429286,0.14668673926420778,0.20190313828748366,0.15016193152771232,0.38040614701665065
"Northern District of Illinois, IL, USA",0.5273517018199804,0.5363274331768074,0.5210536909035905,0.06936086484729487,0.08395466993949204,0.05221741592211739,0.2743500473331168,0.40018768682673833,0.32546226584014487,0.22589070501893604,0.5495203661284758,0.22458892885258802,0.11167477910067562,0.59073096477463,0.2975942561246944,0.5106499893987471,0.14014410149037448,0.09171209396577573,0.1112080081185252,0.11239642128378821,0.03388938574278928,0.35097716012536784
"District of New Jersey, NJ, USA",0.516032629445718,0.527340625078515,0.5226090318525987,0.08831854996678533,0.09385714696511023,0.07314332620947765,0.25059701380509825,0.3969524068317395,0.3524505793631622,0.1715055655482784,0.5538953991953504,0.2745990352563711,0.06842265402944915,0.4233661568536622,0.5082111891168887,0.5265924173984641,0.12445765090713733,0.1179480768013626,0.09478252355622753,0.08869806297473959,0.04752126836206886,0.36177587252404414
"Eastern District of New York, NY, USA",0.472988201303101,0.49100307806620236,0.48916864661150133,0.06545287814863167,0.07697860273266306,0.0531725562919774,0.24618696780498303,0.382485371958019,0.37132766023699787,0.14266505492718753,0.34284369932400083,0.5144912457488116,0.10563378270312636,0.2719853391549953,0.6223808781418784,0.7241592641592857,0.08479541785772489,0.05552075390283124,0.0456854242416379,0.052533692275524915,0.037305447562995336,0.4627853876958151
"Northern District of California, CA, USA",0.47902634294902946,0.5025601958485348,0.49558694038439965,0.06186786966944391,0.06879616982865024,0.0413682010537551,0.2792211864210644,0.3977677238581539,0.32301108972078174,0.11408219502220229,0.22551147485488998,0.6604063301229077,0.049198352474996904,0.16279123028382442,0.7880104172411787,0.4782656560199841,0.17149214428524093,0.12167064709823776,0.0940694877525339,0.08318816920092856,0.0513138956430747,0.4367894940023864
"Eastern District of California, CA, USA",0.4850987735263972,0.5143135081540929,0.521929486635369,0.07446711689747307,0.1019222025587398,0.07807712259784191,0.22637703902652448,0.4062275262697717,0.36739543470370384,0.28882624229564224,0.5544094964742494,0.15676426123010825,0.123230056149947,0.6182368092899639,0.258533134560089,0.290355529802247,0.1808764068025657,0.16654196167346258,0.1465445930979256,0.1610782748310578,0.05460323379274137,0.3964157119179861
"Western District of Texas, TX, USA",0.5342114181128704,0.5421934635471041,0.5360263151526653,0.0933460904554227,0.09439330463869997,0.08334309776452858,0.25605434480880307,0.4232128173299986,0.32073283786119827,0.20909629586807613,0.6788873151908458,0.11201638894107806,0.1469438622330483,0.6194295289007092,0.2336266088662425,0.20875296801215962,0.12999659845796765,0.14968819198037006,0.14905523837473267,0.18899967985486812,0.17350732331990182,0.37658624976327004
"Northern District of Texas, TX, USA",0.5308059945686127,0.5531525228666877,0.547924048608965,0.08493397750746387,0.09914914252964775,0.07768388637865561,0.26165213200731746,0.4212801088233391,0.3170677591693435,0.1741119290239929,0.7032545973628913,0.1226334736131159,0.12006083588949609,0.6571491086267696,0.22279005548373432,0.29920878420849906,0.15270217341381062,0.16603042930199316,0.12734691283987767,0.15009973701143253,0.104611963224387,0.39921710439206015
