longname,High School %,Undergrad %,Grad %,Undergrad STEM %,Undergrad Humanities %,Undergrad Business %,% of women with high school education - % of men with high school education,% of women with undergraduate education - % of men with undergraduate education,% of women with graduate education - % of men with graduate education
"Mumbai 50MPC, India",,,,,,,,,
"Ahmedabad 50MPC, India",,,,,,,,,
"Jamshedpur 50MPC, India",,,,,,,,,
"Varanasi 50MPC, India",,,,,,,,,
"Agra 50MPC, India",,,,,,,,,
"Solapur 50MPC, India",,,,,,,,,
"Dakar 50MPC, Senegal-Guinea-Sierra Leone",,,,,,,,,
"Onitsha 50MPC, Nigeria",,,,,,,,,
"Shenyang 50MPC, China-North Korea",,,,,,,,,
"Lagos 50MPC, Nigeria",,,,,,,,,
"Niamey 50MPC, Nigeria-Niger",,,,,,,,,
"Warsaw 50MPC, Poland-Sweden-Germany",,,,,,,,,
"Patna 50MPC, India",,,,,,,,,
"Alexandria 50MPC, Egypt-Israel-State of Palestine",,,,,,,,,
"Athens 50MPC, Tunisia-Italy-Algeria",,,,,,,,,
"Cebu City 50MPC, Philippines",,,,,,,,,
"Berlin 50MPC, Poland-Germany-Czech Republic",,,,,,,,,
"Hyderabad 50MPC, India",,,,,,,,,
"Rostov-on-Don 50MPC, Russia-Ukraine-Turkey",,,,,,,,,
"Berhampore 50MPC, India-Bangladesh",,,,,,,,,
"Gwalior 50MPC, India-Pakistan",,,,,,,,,
"Nanjing (Jiangsu Sheng) 50MPC, China",,,,,,,,,
"Kathmandu 50MPC, India-Nepal",,,,,,,,,
"Taiyuan 50MPC, China",,,,,,,,,
"Montreal 50MPC, USA-Canada",,,,,,,,,
"Mashhad 50MPC, Afghanistan-Iran-Turkmenistan",,,,,,,,,
"Raipur 50MPC, India",,,,,,,,,
"Ta'izz 50MPC, Ethiopia-Yemen",,,,,,,,,
"Chengdu 50MPC, China",,,,,,,,,
"Santiago 50MPC, Brazil-Argentina-Chile",,,,,,,,,
"Douala 50MPC, Nigeria-Cameroon",,,,,,,,,
"Nairobi 50MPC, Tanzania-Kenya",,,,,,,,,
"Jieyang 50MPC, China",,,,,,,,,
"Prayagraj 50MPC, India",,,,,,,,,
"Toronto 50MPC, USA-Canada",,,,,,,,,
"Sydney 50MPC, Australia-Papua New Guinea-Indonesia",,,,,,,,,
"Dallas 50MPC, USA",0.8824197214756448,0.2927163895849079,0.10663338610060588,0.12539382988890105,0.10053809104025309,0.06678446865574258,0.021077861913438856,0.02002832075101668,0.007011566844862233
"Damascus 50MPC, Syria-Turkey-Lebanon",,,,,,,,,
"Huizhou 50MPC, China",,,,,,,,,
"Belo Horizonte 50MPC, Brazil",,,,,,,,,
"Kampala (Outer) 50MPC, Uganda-Ethiopia-South Sudan",,,,,,,,,
"Indore 50MPC, India",,,,,,,,,
"Lanzhou 50MPC, China",,,,,,,,,
"Wuhan 50MPC, China",,,,,,,,,
"Miami 50MPC, USA-Haiti-Cuba",,,,,,,,,
"Comilla 50MPC, Bangladesh",,,,,,,,,
"Liuzhou 50MPC, China",,,,,,,,,
"Los Angeles 50MPC, USA",0.8485486787655383,0.33435832574882535,0.12680097439043217,0.16474187449135552,0.10658466098208645,0.06303179027539683,0.0062725709725559575,0.008437263068018341,-0.001277065648689124
"Mirzapur 50MPC, India",,,,,,,,,
"Karachi (Center) 50MPC, Pakistan",,,,,,,,,
"Karachi (Outer) 50MPC, Pakistan-India-China",,,,,,,,,
"Lyon 50MPC, France-Spain",,,,,,,,,
"Myitkyina 50MPC, India-China-Myanmar",,,,,,,,,
"Kampala (Center) 50MPC, Kenya-Uganda",,,,,,,,,
"Bamako 50MPC, Ivory Coast-Burkina Faso-Mali",,,,,,,,,
"Kinshasa 50MPC, Democratic Republic of the Congo-Angola",,,,,,,,,
"Guayaquil 50MPC, Ecuador-Peru-Colombia",,,,,,,,,
"Fuzhou (Fujian Sheng) 50MPC, China",,,,,,,,,
"Kuala Lumpur 50MPC, Malaysia-Indonesia",,,,,,,,,
"Jeddah 50MPC, Saudi Arabia-Yemen-Sudan",,,,,,,,,
"Asyut 50MPC, Egypt-Sudan-Democratic Republic of the Congo",,,,,,,,,
"Tehran 50MPC, Iran-Iraq",,,,,,,,,
"Amman 50MPC, Egypt-Saudi Arabia-Jordan",,,,,,,,,
"Manaus 50MPC, Brazil-Peru-Bolivia",,,,,,,,,
"Luanda 50MPC, Democratic Republic of the Congo-Angola-Congo",,,,,,,,,
