longname,No internet access %,Uninsured %,Public Insurance %,Private Insurance %,Never Married %,Married (not divorced) %,Divorced %
"Indiana-White [Urban Area], PA, USA",0.11024687170179244,0.05571919520352137,0.16302812231813585,0.7812526824783427,0.5119305977258665,0.39771634119253396,0.09035306108159964
"Sterling [Urban Area], IL, USA",0.14575422652187675,0.08872248767658351,0.2441283176920688,0.6671491946313477,0.3446914530750459,0.5134359337371547,0.14187261318779937
"Woodburn [Urban Area], OR, USA",0.1671593080727191,0.23612770656146387,0.24489271785349487,0.5189795755850413,0.296979138434588,0.5784624153185789,0.12455844624683314
"Ashtabula [Urban Area], OH, USA",0.13888418523775362,0.10535709610843504,0.39069380392206926,0.5039490999694959,0.3096176676063153,0.5058871806361281,0.18449515175755643
"Norfolk [Urban Area], NE, USA",0.10847080506190726,0.10835436056633377,0.12167300284571715,0.7699726365879492,0.3327772129173956,0.5577108608770553,0.10951192620554903
"Marshalltown [Urban Area], IA, USA",0.17060081912463182,0.09879547936800502,0.2525513208311201,0.6486531998008749,0.31158695839225964,0.5821767365899082,0.10623630501783217
"Athens [Urban Area], OH, USA",0.059332431263085975,0.06315073119258084,0.14692189901170793,0.7899273697957112,0.7321205882563762,0.22243397383406088,0.04544543790956298
"Sanger [Urban Area], CA, USA",0.14293909403061597,0.09093583020337087,0.32967070958768135,0.5793934602089477,0.4129398589559411,0.5073975855588623,0.07966255548519664
"Laconia [Urban Area], NH, USA",0.09920564419057394,0.1054150589420173,0.18348177670219137,0.7111031643557914,0.27172486532939344,0.5773196662068424,0.15095546846376423
"Browns Mills [Urban Area], NJ, USA",0.08906957543417234,0.04767115663023769,0.21983498517753597,0.7324938581922263,0.3911088814173617,0.49485635855608656,0.11403476002655163
"Greenville [Urban Area], TX, USA",0.14927922882213432,0.24527376671383078,0.14398963084621366,0.6107366024399555,0.31334841537609,0.5486636554421567,0.13798792918175332
